building_id,pool,k,partitions,expected_tv,expected_missing_mass,expected_cluster_fraction
7y3sRwLe3Va,all_archived,15,2,0.11091299045101712,0.07132806324110672,0.7516699604743082
7y3sRwLe3Va,all_archived,20,2,0.06065179747788446,0.03336495388669301,0.8783135704874836
7y3sRwLe3Va,current20,15,2,0.1160500515995872,0.08718782249742002,0.5848168214654282
7y3sRwLe3Va,current20,20,2,0.07500000000000001,0.06,0.65
B6ByNegPMKs,all_archived,15,4,0.05978045168821052,0.019242844815807323,0.8566297546846746
B6ByNegPMKs,all_archived,20,4,0.037151406007593306,0.008030700626018352,0.9329501114827201
B6ByNegPMKs,current20,15,4,0.06126910177026276,0.025819838056680165,0.7785087719298246
B6ByNegPMKs,current20,20,4,0.04269230769230771,0.019230769230769232,0.8125
S9hNv5qa7GM,all_archived,15,1,0.0,0.0,1.0
S9hNv5qa7GM,all_archived,20,1,0.0,0.0,1.0
S9hNv5qa7GM,current20,15,1,0.0,0.0,1.0
S9hNv5qa7GM,current20,20,1,0.0,0.0,1.0
UwV83HsGsw3,all_archived,15,5,0.14137807463575694,0.08136488088999223,0.7681016147370973
UwV83HsGsw3,all_archived,20,5,0.07937860648068587,0.031482246172227266,0.9025160025160025
UwV83HsGsw3,current20,15,5,0.13809588923288615,0.08265596162187225,0.7579646388469918
UwV83HsGsw3,current20,20,5,0.07260869565217391,0.04033333333333333,0.8803418803418804
X7HyMhZNoso,all_archived,15,2,0.05552984306663236,0.029153846153846155,0.8048076923076923
X7HyMhZNoso,all_archived,20,2,0.03442760249783661,0.011988165680473374,0.9096153846153846
X7HyMhZNoso,current20,15,2,0.05459851551956816,0.03644736842105263,0.680921052631579
X7HyMhZNoso,current20,20,2,0.03730769230769231,0.02,0.75
Z6MFQCViBuw,all_archived,15,1,0.06836249035245692,0.019668124517622846,0.8516164994425864
Z6MFQCViBuw,all_archived,20,1,0.04083050728535678,0.009030100334448161,0.922742474916388
Z6MFQCViBuw,current20,15,1,0.0703262681590855,0.03862030642216401,0.6663226694186446
Z6MFQCViBuw,current20,20,1,0.04615384615384614,0.038461538461538464,0.6666666666666666
e9zR4mvMWw7,all_archived,15,5,0.044614110118131524,0.007600642697676669,0.966611832103823
e9zR4mvMWw7,all_archived,20,5,0.025659910695027748,0.0028152950728201564,0.9865534465534467
e9zR4mvMWw7,current20,15,5,0.04394181154243074,0.006157881506178719,0.9738183694530443
e9zR4mvMWw7,current20,20,5,0.030897435897435894,0.0,1.0
q9vSo1VnCiC,all_archived,15,5,0.06501902975204901,0.036679187033702085,0.8462926421404683
q9vSo1VnCiC,all_archived,20,5,0.036447390736353946,0.01603087213789555,0.9278996655518394
q9vSo1VnCiC,current20,15,5,0.06501742478367865,0.046461538461538464,0.767171052631579
q9vSo1VnCiC,current20,20,5,0.04676923076923077,0.024,0.835
rPc6DW4iMge,all_archived,15,5,0.07290060321593386,0.035532703213610586,0.850617039964866
rPc6DW4iMge,all_archived,20,5,0.04147893190615308,0.013190765881881195,0.9422112428634168
rPc6DW4iMge,current20,15,5,0.07258415219634766,0.039859110692331855,0.8380618621717693
rPc6DW4iMge,current20,20,5,0.037913043478260876,0.024,0.9055555555555556
uNb9QFRL6hY,all_archived,15,9,0.0935250393324802,0.04345945167469961,0.7791525357844288
uNb9QFRL6hY,all_archived,20,9,0.051187468039583794,0.019304340207641064,0.8966581436353693
uNb9QFRL6hY,current20,15,9,0.09254780200331418,0.05520287017191042,0.7133895468518792
uNb9QFRL6hY,current20,20,9,0.05405425492382015,0.035555555555555556,0.8104938271604938
wc2JMjhGNzB,all_archived,15,7,0.042129030041161766,0.012124765243805818,0.9144235042488509
wc2JMjhGNzB,all_archived,20,7,0.021434383202907692,0.00417493558579788,0.9622546190869172
wc2JMjhGNzB,current20,15,7,0.04470258002866699,0.014173291654278329,0.8873088709167877
wc2JMjhGNzB,current20,20,7,0.02904523013218666,0.005494505494505495,0.9285714285714286
x8F5xyUWy9e,all_archived,15,1,0.08819169960474309,0.0625,0.7
x8F5xyUWy9e,all_archived,20,1,0.04297634732417341,0.027777777777777776,0.8666666666666668
x8F5xyUWy9e,current20,15,1,0.0854919160646715,0.041666666666666664,0.8
x8F5xyUWy9e,current20,20,1,0.03333333333333334,0.0,1.0
yqstnuAEVhm,all_archived,15,4,0.07549805130782036,0.03925476339495897,0.7985896802472889
yqstnuAEVhm,all_archived,20,4,0.04144711944301155,0.014964408210663846,0.9097806179327919
yqstnuAEVhm,current20,15,4,0.08119112426699249,0.06732881534941032,0.5804093567251463
yqstnuAEVhm,current20,20,4,0.06607023411371238,0.05010033444816053,0.625
