partition_id,context_key,image_id,stage,condition,building_id,current20_complete,total_k,outside_current20_draws,outside_available,expected_tv,expected_missing_mass,expected_cluster_fraction
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,UwV83HsGsw3,True,20,0,3,0.013043478260869532,0.0,1.0
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,UwV83HsGsw3,True,20,1,3,0.0160869565217391,0.004347826086956522,0.9666666666666667
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,UwV83HsGsw3,True,20,2,3,0.019199084668192194,0.008695652173913044,0.9333333333333332
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,UwV83HsGsw3,True,20,3,3,0.022379862700228813,0.013043478260869565,0.9
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,rPc6DW4iMge,True,20,0,3,0.013043478260869532,0.0,1.0
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,rPc6DW4iMge,True,20,1,3,0.015434782608695623,0.0,1.0
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,rPc6DW4iMge,True,20,2,3,0.01796338672768876,0.00045766590389016015,0.9973684210526316
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,rPc6DW4iMge,True,20,3,3,0.020629290617848947,0.0013729977116704805,0.9921052631578947
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,rPc6DW4iMge,True,20,0,3,0.006521739130434821,0.0,1.0
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,rPc6DW4iMge,True,20,1,3,0.00836956521739134,0.002173913043478261,0.975
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,rPc6DW4iMge,True,20,2,3,0.01021739130434786,0.004347826086956522,0.95
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,rPc6DW4iMge,True,20,3,3,0.012065217391304377,0.006521739130434782,0.925
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,uNb9QFRL6hY,True,20,0,3,0.006521739130434821,0.0,1.0
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,uNb9QFRL6hY,True,20,1,3,0.00836956521739134,0.002173913043478261,0.975
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,uNb9QFRL6hY,True,20,2,3,0.01021739130434786,0.004347826086956522,0.95
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,uNb9QFRL6hY,True,20,3,3,0.012065217391304377,0.006521739130434782,0.925
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,uNb9QFRL6hY,True,20,0,3,0.047826086956521775,0.0,1.0
