LOCAL dinov3__block3__faces_local96
LOCAL dinov3__block6__faces_local96
LOCAL dinov3__block9__faces_local96
LOCAL dinov3__block11__faces_local96
LOCAL dinov3__block12__faces_local96
LOCAL da3__layer5__faces_local96
LOCAL da3__layer7__faces_local96
LOCAL da3__layer9__faces_local96
LOCAL da3__layer11__faces_local96
CV False ('hohonet__encoder_stage2__global', 'cached')
CV False ('hohonet__encoder_stage2__regions', 'cached')
CV False ('hohonet__encoder_stage4__global', 'cached')
CV False ('hohonet__encoder_stage4__regions', 'cached')
CV False ('hohonet__compressed__global', 'cached')
CV False ('hohonet__compressed__regions', 'cached')
CV False ('hohonet__refined__global', 'cached')
CV False ('hohonet__refined__regions', 'cached')
CV False ('hohonet__shared__global', 'cached')
CV False ('hohonet__shared__regions', 'cached')
CV False ('hohonet__legacy_current', 'cached')
CV False ('bilayout__fc__global', 'cached')
CV False ('bilayout__fc__regions', 'cached')
CV False ('bilayout__fg_enclosed__global', 'cached')
CV False ('bilayout__fg_enclosed__regions', 'cached')
CV False ('bilayout__fg_extended__global', 'cached')
CV False ('bilayout__fg_extended__regions', 'cached')
CV False ('ulayout__compressed__global', 'cached')
CV False ('ulayout__compressed__local16', 'cached')
CV False ('ulayout__transformer__global', 'cached')
CV False ('ulayout__transformer__local16', 'cached')
CV False ('dinov3__block3__panorama_global', 'cached')
CV False ('dinov3__block3__panorama_local16', 'cached')
CV False ('dinov3__block3__panorama_mean', 'cached')
CV False ('dinov3__block3__faces_global', 'cached')
CV False ('dinov3__block3__faces_local16', 'cached')
CV False ('dinov3__block3__faces_concat', 'cached')
CV False ('dinov3__block6__panorama_global', 'cached')
CV False ('dinov3__block6__panorama_local16', 'cached')
CV False ('dinov3__block6__panorama_mean', 'cached')
CV False ('dinov3__block6__faces_global', 'cached')
CV False ('dinov3__block6__faces_concat', 'cached')
CV False ('dinov3__block6__faces_local16', 'cached')
CV False ('dinov3__block9__panorama_global', 'cached')
CV False ('dinov3__block9__panorama_local16', 'cached')
CV False ('dinov3__block9__panorama_mean', 'cached')
CV False ('dinov3__block9__faces_global', 'cached')
CV False ('dinov3__block9__faces_local16', 'cached')
CV False ('dinov3__block9__faces_concat', 'cached')
CV False ('dinov3__block11__panorama_global', 'cached')
CV False ('dinov3__block11__panorama_local16', 'cached')
CV False ('dinov3__block11__panorama_mean', 'cached')
CV False ('dinov3__block11__faces_global', 'cached')
CV False ('dinov3__block11__faces_local16', 'cached')
CV False ('dinov3__block11__faces_concat', 'cached')
