canonical_annotation_id,image_id,worker_id,stage,condition,old_processing,new_processing,old_included,new_included,old_count,new_count,reference_score_allowed,imputed,old_ospa30,old_ospa60,new_ospa30,new_ospa60
8487d3e12302f924,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,17,P1,oos,unconfirmed_odd_unchanged,confirmed_point_removed,True,True,9,8,False,False,,,,
cf3e0b1c47e35600,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,19,P1,manual,unconfirmed_odd_unchanged,confirmed_point_removed,True,True,9,8,True,False,16.831953474,30.4890865789,16.831953474,31.831953474
36a4d17901b03d45,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,19,P1,manual,unconfirmed_odd_unchanged,confirmed_point_removed,True,True,9,8,True,False,15.0230966321,22.3546030448,13.1509837111,20.6509837111
c14fda0522180ac6,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,26,P1,oos,unchanged,confirmed_response_excluded,True,False,2,,False,False,,,,
3a772c253f77d4b7,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,30,P1,manual,unconfirmed_odd_unchanged,confirmed_point_added,True,True,9,10,True,True,20.4129154823,39.1629154823,19.2058937569,36.7058937569
7f82401488af7306,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,26,P1,manual,unconfirmed_odd_unchanged,confirmed_response_excluded,True,False,1,,True,False,28.9038775122,57.6538775122,,
40ac299ba105fdef,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,37,P1,manual,unconfirmed_odd_unchanged,confirmed_point_added,True,True,11,12,True,True,15.3529476434,26.5582387395,13.5424391007,22.8727301967
e6701d3b7c423a86,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,19,P1,manual,unconfirmed_odd_unchanged,confirmed_response_excluded,True,False,9,,True,False,15.002694183,25.2232682995,,
d1ded26e80b45fc5,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,19,P1,manual,unconfirmed_odd_unchanged,confirmed_point_removed,True,True,11,10,True,False,14.7328690361,23.1678258707,15.1038449239,21.4011523272
bf715e62b25484d6,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,19,P1,manual,unconfirmed_odd_unchanged,confirmed_point_removed,True,True,11,10,True,False,17.5649043881,27.0639743342,18.6415481772,28.6415481772
2da0deeeb2d81a3f,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,26,P1,manual,unconfirmed_odd_unchanged,confirmed_response_excluded,True,False,1,,True,False,27.7609351311,55.2609351311,,
