building_id,config,source_n,folds,target_appearances,common_people_budget,k_max,outside_pool_n,outside_group_n_min,outside_group_n_max,prediction_identified_folds,prediction_not_reached_folds,prediction_unknown_folds,prediction_lower_onset_finite_folds,prediction_both_onsets_finite_folds,prediction_onset_width_le2_folds,prediction_lower_crossing_lt5_folds,prediction_onset_width_mean_among_both_finite,prediction_lower_onset_mean_among_finite,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,same_prediction_unknown_mean,target_unknown_mean,outside_prediction_unknown_mean,outside_N_identified_prediction_fraction,target_N_identified_n,target_N_not_reached_n,target_N_unknown_n,target_N_both_finite_n,target_N_interval_width_le2_n,target_N_lower_crossing_lt5_n,N_identified_pairs,N_absolute_error_sum,outside_N_identified_pairs,outside_N_absolute_error_sum,N_MAE_identified,outside_N_MAE_identified,cohort
7y3sRwLe3Va,ospa30_t6,all,6,9,24,19,35,35,50,1,4,1,1,1,1,0,0,5,0.283618421053,0.776535087719,0.187963471178,0.64915914787,-0.588571616541,0.365540726817,0.30649122807,0.30649122807,0.329670300752,0.134285714286,3,6,0,3,3,0,0,0,18,46,,2.55555555556,with_workers
7y3sRwLe3Va,q_0.800,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.299342105263,0.783289473684,0.219337468672,0.623704699248,-0.563952005013,0.324362593985,0.297543859649,0.297543859649,0.254162030075,0.184285714286,3,3,3,3,3,0,0,0,23,76,,3.30434782609,with_workers
7y3sRwLe3Va,q_0.850,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.299342105263,0.783289473684,0.219100877193,0.623477255639,-0.564188596491,0.324135150376,0.297543859649,0.297543859649,0.254705827068,0.184285714286,3,3,3,3,3,0,0,0,23,82,,3.5652173913,with_workers
7y3sRwLe3Va,q_0.900,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.291995614035,0.77524122807,0.203421741855,0.63100952381,-0.571819486216,0.339013909774,0.29798245614,0.29798245614,0.287046240602,0.198571428571,3,3,3,3,3,0,0,0,25,100,,4,with_workers
7y3sRwLe3Va,q_0.925,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.291995614035,0.77524122807,0.197885338346,0.639460526316,-0.577355889724,0.347464912281,0.29798245614,0.29798245614,0.306385150376,0.231428571429,3,3,3,3,3,0,0,0,30,92,,3.06666666667,with_workers
7y3sRwLe3Va,q_0.950,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.299539473684,0.792807017544,0.200048558897,0.646671616541,-0.592758458647,0.347132142857,0.30350877193,0.30350877193,0.309633458647,0.207142857143,3,3,3,3,3,0,0,0,27,100,,3.7037037037,with_workers
7y3sRwLe3Va,q_0.975,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0,5,0.227697368421,0.880153508772,0.123912406015,0.775770551378,-0.756241102757,0.548073182957,0.414473684211,0.414473684211,0.502820488722,0.0914285714286,3,3,3,3,3,0,0,0,12,36,,3,with_workers
B6ByNegPMKs,ospa30_t6,all,6,9,24,19,35,35,50,0,0,6,0,0,0,0,,,0.000833333333333,0.629561403509,0.0710479949875,0.649962844612,-0.558513408521,0.649129511278,0.496228070175,0.496228070175,0.290412406015,0.218571428571,0,0,9,0,0,0,0,0,0,0,,,with_workers
B6ByNegPMKs,q_0.800,all,6,9,24,19,35,35,50,2,1,3,2,2,2,0,0,6,0.0573903508772,0.501973684211,0.17711566416,0.574948746867,-0.32485802005,0.51755839599,0.29201754386,0.29201754386,0.243705451128,0.204285714286,3,3,3,3,3,0,0,0,25,89,,3.56,with_workers
B6ByNegPMKs,q_0.850,all,6,9,24,19,35,35,50,2,1,3,2,2,2,0,0,6,0.0573903508772,0.501973684211,0.178349373434,0.576193796992,-0.323624310777,0.518803446115,0.29201754386,0.29201754386,0.244162406015,0.204285714286,3,3,3,3,3,0,0,0,25,91,,3.64,with_workers
