k,h,universal_TV_bound,attained_example,random_test_max
1,1,0.5,0.5,0.5
1,2,0.666666666667,0.666666666667,0.666666666667
1,3,0.75,0.75,0.75
1,5,0.833333333333,0.833333333333,0.833333333333
2,1,0.333333333333,0.333333333333,0.333333333333
2,2,0.5,0.5,0.5
2,3,0.6,0.6,0.6
2,5,0.714285714286,0.714285714286,0.714285714286
4,1,0.2,0.2,0.2
4,2,0.333333333333,0.333333333333,0.333333333333
4,3,0.428571428571,0.428571428571,0.428571428571
4,5,0.555555555556,0.555555555556,0.555555555556
9,1,0.1,0.1,0.1
9,2,0.181818181818,0.181818181818,0.181818181818
9,3,0.25,0.25,0.222222222222
9,5,0.357142857143,0.357142857143,0.285714285714
15,1,0.0625,0.0625,0.0625
15,2,0.117647058824,0.117647058824,0.109803921569
15,3,0.166666666667,0.166666666667,0.155555555556
15,5,0.25,0.25,0.2
20,1,0.047619047619,0.047619047619,0.047619047619
20,2,0.0909090909091,0.0909090909091,0.0863636363636
20,3,0.130434782609,0.130434782609,0.117391304348
20,5,0.2,0.2,0.16
