h,epsilon,first_k_guaranteed
1,0.05,19
1,0.1,9
1,0.2,4
2,0.05,38
2,0.1,18
2,0.2,8
3,0.05,57
3,0.1,27
3,0.2,12
5,0.05,95
5,0.1,45
5,0.2,20
