cohort,config,building,fold,max_abs_error
with_workers,q_0.950,7y3sRwLe3Va,1,1.11022302463e-16
with_workers,q_0.950,7y3sRwLe3Va,2,1.11022302463e-16
with_workers,q_0.950,7y3sRwLe3Va,4,0
with_workers,ospa30_t6,7y3sRwLe3Va,1,1.11022302463e-16
with_workers,ospa30_t6,7y3sRwLe3Va,2,1.11022302463e-16
with_workers,ospa30_t6,7y3sRwLe3Va,4,5.55111512313e-17
with_workers,q_0.950,B6ByNegPMKs,1,0
with_workers,q_0.950,B6ByNegPMKs,2,1.11022302463e-16
with_workers,q_0.950,B6ByNegPMKs,4,2.22044604925e-16
with_workers,ospa30_t6,B6ByNegPMKs,1,1.11022302463e-16
with_workers,ospa30_t6,B6ByNegPMKs,2,1.38777878078e-17
with_workers,ospa30_t6,B6ByNegPMKs,4,1.11022302463e-16
with_workers,q_0.950,S9hNv5qa7GM,1,4.4408920985e-16
with_workers,q_0.950,S9hNv5qa7GM,2,2.22044604925e-16
with_workers,ospa30_t6,S9hNv5qa7GM,1,1.66533453694e-16
with_workers,ospa30_t6,S9hNv5qa7GM,2,4.4408920985e-16
with_workers,q_0.950,UwV83HsGsw3,1,2.77555756156e-17
with_workers,q_0.950,UwV83HsGsw3,2,0
with_workers,q_0.950,UwV83HsGsw3,4,5.55111512313e-17
with_workers,q_0.950,UwV83HsGsw3,8,8.32667268469e-17
with_workers,q_0.950,UwV83HsGsw3,16,1.11022302463e-16
with_workers,q_0.950,UwV83HsGsw3,32,8.32667268469e-17
with_workers,ospa30_t6,UwV83HsGsw3,1,8.32667268469e-17
with_workers,ospa30_t6,UwV83HsGsw3,2,2.22044604925e-16
with_workers,ospa30_t6,UwV83HsGsw3,4,5.55111512313e-17
with_workers,ospa30_t6,UwV83HsGsw3,8,1.11022302463e-16
with_workers,ospa30_t6,UwV83HsGsw3,16,8.32667268469e-17
with_workers,ospa30_t6,UwV83HsGsw3,32,1.11022302463e-16
with_workers,q_0.950,b8cTxDM8gDG,1,1.11022302463e-16
with_workers,q_0.950,b8cTxDM8gDG,2,2.22044604925e-16
with_workers,ospa30_t6,b8cTxDM8gDG,1,2.22044604925e-16
with_workers,ospa30_t6,b8cTxDM8gDG,2,1.38777878078e-16
with_workers,q_0.950,q9vSo1VnCiC,1,1.11022302463e-16
with_workers,q_0.950,q9vSo1VnCiC,2,1.38777878078e-16
with_workers,q_0.950,q9vSo1VnCiC,4,1.11022302463e-16
with_workers,q_0.950,q9vSo1VnCiC,8,1.11022302463e-16
with_workers,q_0.950,q9vSo1VnCiC,16,1.11022302463e-16
with_workers,ospa30_t6,q9vSo1VnCiC,1,1.11022302463e-16
with_workers,ospa30_t6,q9vSo1VnCiC,2,2.77555756156e-17
with_workers,ospa30_t6,q9vSo1VnCiC,4,5.55111512313e-17
with_workers,ospa30_t6,q9vSo1VnCiC,8,2.77555756156e-17
with_workers,ospa30_t6,q9vSo1VnCiC,16,1.11022302463e-16
with_workers,q_0.950,rPc6DW4iMge,1,1.11022302463e-16
with_workers,q_0.950,rPc6DW4iMge,2,1.11022302463e-16
with_workers,q_0.950,rPc6DW4iMge,4,2.22044604925e-16
with_workers,q_0.950,rPc6DW4iMge,8,8.32667268469e-17
with_workers,q_0.950,rPc6DW4iMge,16,1.11022302463e-16
with_workers,q_0.950,rPc6DW4iMge,32,5.55111512313e-17
with_workers,ospa30_t6,rPc6DW4iMge,1,1.11022302463e-16
with_workers,ospa30_t6,rPc6DW4iMge,2,5.55111512313e-17
with_workers,ospa30_t6,rPc6DW4iMge,4,2.77555756156e-17
with_workers,ospa30_t6,rPc6DW4iMge,8,8.32667268469e-17
with_workers,ospa30_t6,rPc6DW4iMge,16,2.77555756156e-17
with_workers,ospa30_t6,rPc6DW4iMge,32,5.55111512313e-17
with_workers,q_0.950,uNb9QFRL6hY,1,0
with_workers,q_0.950,uNb9QFRL6hY,2,1.11022302463e-16
with_workers,q_0.950,uNb9QFRL6hY,4,2.77555756156e-17
with_workers,q_0.950,uNb9QFRL6hY,8,1.11022302463e-16
with_workers,q_0.950,uNb9QFRL6hY,16,1.11022302463e-16
with_workers,q_0.950,uNb9QFRL6hY,32,2.77555756156e-17
with_workers,q_0.950,uNb9QFRL6hY,64,1.11022302463e-16
with_workers,q_0.950,uNb9QFRL6hY,128,0
with_workers,q_0.950,uNb9QFRL6hY,256,1.38777878078e-16
with_workers,q_0.950,uNb9QFRL6hY,512,1.11022302463e-16
with_workers,q_0.950,uNb9QFRL6hY,1024,5.55111512313e-17
with_workers,q_0.950,uNb9QFRL6hY,2048,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,1,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,2,2.22044604925e-16
with_workers,ospa30_t6,uNb9QFRL6hY,4,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,8,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,16,5.55111512313e-17
with_workers,ospa30_t6,uNb9QFRL6hY,32,8.32667268469e-17
with_workers,ospa30_t6,uNb9QFRL6hY,64,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,128,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,256,2.22044604925e-16
with_workers,ospa30_t6,uNb9QFRL6hY,512,1.11022302463e-16
with_workers,ospa30_t6,uNb9QFRL6hY,1024,2.22044604925e-16
with_workers,ospa30_t6,uNb9QFRL6hY,2048,1.11022302463e-16
with_workers,q_0.950,wc2JMjhGNzB,1,2.77555756156e-17
with_workers,q_0.950,wc2JMjhGNzB,2,8.32667268469e-17
with_workers,q_0.950,wc2JMjhGNzB,4,8.32667268469e-17
with_workers,q_0.950,wc2JMjhGNzB,8,1.11022302463e-16
with_workers,ospa30_t6,wc2JMjhGNzB,1,1.11022302463e-16
with_workers,ospa30_t6,wc2JMjhGNzB,2,1.11022302463e-16
with_workers,ospa30_t6,wc2JMjhGNzB,4,1.38777878078e-16
with_workers,ospa30_t6,wc2JMjhGNzB,8,2.77555756156e-17
with_workers,q_0.950,yqstnuAEVhm,1,2.77555756156e-17
with_workers,q_0.950,yqstnuAEVhm,2,0
with_workers,q_0.950,yqstnuAEVhm,4,2.22044604925e-16
with_workers,q_0.950,yqstnuAEVhm,8,0
with_workers,q_0.950,yqstnuAEVhm,16,1.11022302463e-16
with_workers,q_0.950,yqstnuAEVhm,32,8.32667268469e-17
with_workers,q_0.950,yqstnuAEVhm,64,0
with_workers,ospa30_t6,yqstnuAEVhm,1,5.55111512313e-17
with_workers,ospa30_t6,yqstnuAEVhm,2,1.11022302463e-16
with_workers,ospa30_t6,yqstnuAEVhm,4,1.11022302463e-16
with_workers,ospa30_t6,yqstnuAEVhm,8,0
with_workers,ospa30_t6,yqstnuAEVhm,16,2.77555756156e-17
with_workers,ospa30_t6,yqstnuAEVhm,32,2.77555756156e-17
with_workers,ospa30_t6,yqstnuAEVhm,64,5.55111512313e-17
without_workers,q_0.950,7y3sRwLe3Va,1,2.77555756156e-17
without_workers,q_0.950,7y3sRwLe3Va,2,1.11022302463e-16
without_workers,q_0.950,7y3sRwLe3Va,4,1.11022302463e-16
without_workers,ospa30_t6,7y3sRwLe3Va,1,0
without_workers,ospa30_t6,7y3sRwLe3Va,2,2.22044604925e-16
without_workers,ospa30_t6,7y3sRwLe3Va,4,1.11022302463e-16
without_workers,q_0.950,B6ByNegPMKs,1,1.11022302463e-16
without_workers,q_0.950,B6ByNegPMKs,2,1.11022302463e-16
without_workers,q_0.950,B6ByNegPMKs,4,3.33066907388e-16
without_workers,ospa30_t6,B6ByNegPMKs,1,4.16333634234e-17
without_workers,ospa30_t6,B6ByNegPMKs,2,0
without_workers,ospa30_t6,B6ByNegPMKs,4,1.11022302463e-16
without_workers,q_0.950,S9hNv5qa7GM,1,2.22044604925e-16
without_workers,q_0.950,S9hNv5qa7GM,2,2.22044604925e-16
without_workers,ospa30_t6,S9hNv5qa7GM,1,1.66533453694e-16
without_workers,ospa30_t6,S9hNv5qa7GM,2,1.11022302463e-16
without_workers,q_0.950,UwV83HsGsw3,1,5.55111512313e-17
without_workers,q_0.950,UwV83HsGsw3,2,5.55111512313e-17
without_workers,q_0.950,UwV83HsGsw3,4,1.11022302463e-16
without_workers,q_0.950,UwV83HsGsw3,8,1.11022302463e-16
without_workers,q_0.950,UwV83HsGsw3,16,2.77555756156e-17
without_workers,q_0.950,UwV83HsGsw3,32,1.11022302463e-16
without_workers,ospa30_t6,UwV83HsGsw3,1,1.11022302463e-16
without_workers,ospa30_t6,UwV83HsGsw3,2,1.11022302463e-16
without_workers,ospa30_t6,UwV83HsGsw3,4,2.77555756156e-17
without_workers,ospa30_t6,UwV83HsGsw3,8,1.11022302463e-16
without_workers,ospa30_t6,UwV83HsGsw3,16,5.55111512313e-17
without_workers,ospa30_t6,UwV83HsGsw3,32,1.11022302463e-16
without_workers,q_0.950,b8cTxDM8gDG,1,2.22044604925e-16
without_workers,q_0.950,b8cTxDM8gDG,2,8.32667268469e-17
without_workers,ospa30_t6,b8cTxDM8gDG,1,2.22044604925e-16
without_workers,ospa30_t6,b8cTxDM8gDG,2,1.11022302463e-16
without_workers,q_0.950,q9vSo1VnCiC,1,1.11022302463e-16
without_workers,q_0.950,q9vSo1VnCiC,2,1.11022302463e-16
without_workers,q_0.950,q9vSo1VnCiC,4,0
without_workers,q_0.950,q9vSo1VnCiC,8,1.11022302463e-16
without_workers,q_0.950,q9vSo1VnCiC,16,1.11022302463e-16
without_workers,ospa30_t6,q9vSo1VnCiC,1,0
without_workers,ospa30_t6,q9vSo1VnCiC,2,5.55111512313e-17
without_workers,ospa30_t6,q9vSo1VnCiC,4,1.11022302463e-16
without_workers,ospa30_t6,q9vSo1VnCiC,8,1.11022302463e-16
without_workers,ospa30_t6,q9vSo1VnCiC,16,2.22044604925e-16
without_workers,q_0.950,rPc6DW4iMge,1,0
without_workers,q_0.950,rPc6DW4iMge,2,2.77555756156e-17
