cohort,image_id,config,h,last_k,old_possible,old_guaranteed,old_status,support_separated_possible,support_separated_guaranteed,support_separated_status,status_changed,possible_changed,interpretation
with_workers,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,q_0.950,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,q_0.950,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,ospa30_t6,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,q_0.950,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,1,24,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,5,20,5,5,identified,5,5,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.950,1,24,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.950,5,20,5,5,identified,5,5,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,ospa30_t6,1,24,9,9,identified,9,9,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
