cohort,config,h,all_windows,evaluated,known_insufficient,automatic_tv_windows,valid_TV_bound,summary,buildings,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,buildings_positive_lower,buildings_negative_upper,same_prediction_unknown,target_unknown,outside_prediction_unknown
with_workers,ospa30_t6,1,338200,304414,66305,167600,True,,,,,,,,,,,,,
with_workers,ospa30_t6,5,217000,175960,28995,0,True,,,,,,,,,,,,,
with_workers,q_0.950,1,338200,291017,59267,167600,True,,,,,,,,,,,,,
with_workers,q_0.950,5,217000,169462,23868,0,True,,,,,,,,,,,,,
with_workers,ospa30_t6,,,,,,,building_equal_transfer,10,0.177385641387,0.693724671278,0.16082143823,0.634371914738,-0.532903233048,0.456986273351,0,0,0.338873930537,0.338873930537,0.314546395471
with_workers,q_0.800,,,,,,,building_equal_transfer,10,0.224193720937,0.605288401794,0.210671681433,0.569133770713,-0.394616720361,0.344940049775,0,0,0.246632019387,0.246632019387,0.238817775688
with_workers,q_0.850,,,,,,,building_equal_transfer,10,0.222685428704,0.608009015179,0.211119918541,0.570962580041,-0.396889096638,0.348277151336,0,0,0.247987868159,0.247987868159,0.239391198855
with_workers,q_0.900,,,,,,,building_equal_transfer,10,0.19235973056,0.626599569976,0.184571095109,0.596892836715,-0.442028474867,0.404533106156,0,0,0.290650636395,0.290650636395,0.266698682015
with_workers,q_0.925,,,,,,,building_equal_transfer,10,0.186412529053,0.659846071432,0.175628912431,0.61532957529,-0.484217159001,0.428917046237,0,0,0.303654872066,0.303654872066,0.291980350256
with_workers,q_0.950,,,,,,,building_equal_transfer,10,0.162796022455,0.670090831463,0.155739309109,0.619105182248,-0.514351522354,0.456309159794,0,0,0.332202593289,0.332202593289,0.301420830074
with_workers,q_0.975,,,,,,,building_equal_transfer,10,0.0883795355424,0.789624138797,0.0808625972404,0.745384670192,-0.708761541556,0.65700513465,0,0,0.491825158894,0.491825158894,0.480550511218
without_workers,ospa30_t6,1,329400,298046,65378,158800,True,,,,,,,,,,,,,
without_workers,ospa30_t6,5,208200,170273,28135,0,True,,,,,,,,,,,,,
without_workers,q_0.950,1,329400,291910,58757,158800,True,,,,,,,,,,,,,
without_workers,q_0.950,5,208200,169981,23634,0,True,,,,,,,,,,,,,
without_workers,ospa30_t6,,,,,,,building_equal_transfer,10,0.190041221005,0.700349295606,0.177196816361,0.638611029364,-0.523152479245,0.448569808359,0,0,0.326163441283,0.326163441283,0.303383521821
without_workers,q_0.800,,,,,,,building_equal_transfer,10,0.24066447722,0.588337665292,0.236837137147,0.549220166271,-0.351500528145,0.308555689051,0,0,0.224449222935,0.224449222935,0.195687991432
without_workers,q_0.850,,,,,,,building_equal_transfer,10,0.240328137777,0.591906891586,0.236931733178,0.551704813433,-0.354975158408,0.311376675656,0,0,0.226000096647,0.226000096647,0.197514114246
without_workers,q_0.900,,,,,,,building_equal_transfer,10,0.220855248676,0.611791923153,0.221174709789,0.577412115623,-0.390617213364,0.356556866947,0,0,0.260414653873,0.260414653873,0.215875163184
without_workers,q_0.925,,,,,,,building_equal_transfer,10,0.201449511271,0.652231854822,0.198717174594,0.602014840897,-0.453514680228,0.400565329626,0,0,0.285660222656,0.285660222656,0.254780945983
without_workers,q_0.950,,,,,,,building_equal_transfer,10,0.178879538158,0.66724908347,0.178053457656,0.609939505816,-0.489195625814,0.431059967658,0,0,0.318191126919,0.318191126919,0.264165229089
without_workers,q_0.975,,,,,,,building_equal_transfer,10,0.102601969247,0.786934905827,0.0994055311749,0.740931262894,-0.687529374652,0.638329293647,0,0,0.476457486445,0.476457486445,0.444926867149
