pool,metric,outcome,stage,rows,images,buildings,gain
all_initializations,ospa30,edit,C1,93,25,9,-0.00133547198423
all_initializations,ospa30,edit,P1,360,18,10,0.360480426103
all_initializations,ospa30,final,C1,85,23,9,0.0712510074696
all_initializations,ospa30,final,P1,340,17,10,0.114276038033
all_initializations,ospa30,final_via_edit_labels,C1,85,23,9,-0.0786820226474
all_initializations,ospa30,final_via_edit_labels,P1,340,17,10,0.115290515083
all_initializations,ospa60,edit,C1,93,25,9,-0.00742664971984
all_initializations,ospa60,edit,P1,360,18,10,0.282305618813
all_initializations,ospa60,final,C1,85,23,9,-0.0322573056284
all_initializations,ospa60,final,P1,340,17,10,0.0955261178929
all_initializations,ospa60,final_via_edit_labels,C1,85,23,9,-0.106195627782
all_initializations,ospa60,final_via_edit_labels,P1,340,17,10,0.150935355549
without_synthetic,ospa30,edit,C1,93,25,9,0.00200474057743
without_synthetic,ospa30,edit,P1,240,12,7,0.185972214205
without_synthetic,ospa30,final,C1,85,23,9,0.0796358168866
without_synthetic,ospa30,final,P1,240,12,7,0.136714482666
without_synthetic,ospa30,final_via_edit_labels,C1,85,23,9,-0.0712758788256
without_synthetic,ospa30,final_via_edit_labels,P1,240,12,7,0.0121588951495
without_synthetic,ospa60,edit,C1,93,25,9,-0.0240025173053
without_synthetic,ospa60,edit,P1,240,12,7,0.106124988514
without_synthetic,ospa60,final,C1,85,23,9,0.0129264699482
without_synthetic,ospa60,final,P1,240,12,7,0.0328342640106
without_synthetic,ospa60,final_via_edit_labels,C1,85,23,9,-0.0422269707924
without_synthetic,ospa60,final_via_edit_labels,P1,240,12,7,-0.0185909117531
