canonical_annotation_id,max_abs_error,raw_final_equals_canonical
b70dac9310c8fd7f,3.5527136788e-15,True
eb2fd1fd3f466605,3.5527136788e-15,True
5a38b164a2481384,3.5527136788e-15,True
d2965a4546dd5bd3,8.881784197e-16,True
62376c3351699bc6,1.11022302463e-15,True
b49eaa7455fb1edf,8.881784197e-16,True
9ae9084968b32229,1.7763568394e-15,True
517e0e79ed73ad98,1.11022302463e-15,True
c9609d6092bb0730,1.11022302463e-15,True
5c8fc29a99324dd7,1.11022302463e-15,True
db6e2e902a7635ad,1.55431223448e-15,True
0a435ae2b35d25c7,8.881784197e-16,True
a68b2eed7b0c771f,1.11022302463e-15,True
39008f0fe7a1d27b,1.33226762955e-15,True
ffdffd1443b1cef9,1.11022302463e-15,True
9f36f0aa4f6aed02,8.881784197e-16,True
ea4ba198f1b90c5a,3.5527136788e-15,True
afda73e02ce84841,8.881784197e-16,True
7129ad7e523aa525,8.881784197e-16,True
3c2427034d519a1a,1.7763568394e-15,True
3b710fb59e47c8d6,1.7763568394e-15,True
1aaa93ec5fa02d67,8.881784197e-16,True
0225fd516c992f7f,1.55431223448e-15,True
b1ac17483ad1c04e,1.7763568394e-15,True
33a4dc1fd6be1bdd,8.881784197e-16,True
ca291f0b645de9fa,1.55431223448e-15,True
2ac783e03ad61d1a,8.881784197e-16,True
1260b5763825ac73,8.881784197e-16,True
3e32b8564185e9c7,8.881784197e-16,True
a53c36c9bf95be2b,1.7763568394e-15,True
df7f18116de27c41,0,True
5d6bb8dddcf527e1,0,True
1a5c416e7e7c6cfa,1.7763568394e-15,True
8c7bb20e866330e5,0,True
a1c92c4eba590882,1.7763568394e-15,True
874f47b61ab0f967,1.7763568394e-15,True
b6c9e63c1de72fbf,0,True
043215a11b3c07f6,0,True
828f0f7dd8ae779e,8.881784197e-16,True
ae9ad15247583bd3,0,True
a3df2f62a653fcdb,1.7763568394e-15,True
5ef8158b9e970124,0,True
b9d6531c224d6003,0,True
059397cbcdc2fd99,1.7763568394e-15,True
c1ce3be5ac91205f,1.55431223448e-15,True
39f325131750b755,6.66133814775e-16,True
95caac6d8e2b34ae,8.881784197e-16,True
aa27fee9b505606b,1.55431223448e-15,True
39b7f2008e3d4afe,0,True
765b308f64278de8,1.7763568394e-15,True
3f1ad1a502b50429,8.881784197e-16,True
e85a8e90e0c6b636,1.7763568394e-15,True
5a50132cf972f527,0,True
50a0f95f8fc38be2,0,True
6adfe32721762388,0,True
a98f6bc364bdef1b,5.55111512313e-16,True
0df21449d15d6f28,5.55111512313e-16,True
137415ffe0725161,5.55111512313e-16,True
ce3536534b35ed2e,5.55111512313e-16,True
f8c614ff9afdc5fe,1.7763568394e-15,True
67807e1e55df3898,6.66133814775e-16,True
bb7b44da838a4ce1,5.55111512313e-16,True
27ae2237bce7474e,5.55111512313e-16,True
d46f9d2f3c43ead2,5.55111512313e-16,True
a77c10f42f17dfe4,5.55111512313e-16,True
6c28d1705fb5c4b4,6.66133814775e-16,True
13e99fa97abd8cb5,5.55111512313e-16,True
fe5ee0f03c836e42,5.55111512313e-16,True
bcaaea256c246b28,5.55111512313e-16,True
464f553a46a042bd,8.881784197e-16,True
caf781b6512ea9b2,6.66133814775e-16,True
4247b935b5d68e6a,5.55111512313e-16,True
a01f38f168e18ba4,1.33226762955e-15,True
a800256cd64a13c9,6.66133814775e-16,True
f05be155437bb650,5.55111512313e-16,True
c3d7b507aa2d788d,1.33226762955e-15,True
4664edbc4eb51884,8.881784197e-16,True
d73bc90a26b0976b,5.55111512313e-16,True
e7e6e4180354bfe2,5.55111512313e-16,True
4693ec5fcc3f09fc,5.55111512313e-16,True
afc3de4b01f9bf3b,5.55111512313e-16,True
a30abcda8418bd75,8.881784197e-16,True
a73e732348cf85a5,4.4408920985e-16,True
ba9f60a6ed19b5fd,4.4408920985e-16,True
baa09826ba02dd36,4.4408920985e-16,True
d2685886cb5bbef7,4.4408920985e-16,True
8bd66e889fbae752,5.55111512313e-16,True
8516eea42fb75c88,6.66133814775e-16,True
975c986cabcb9ac6,6.66133814775e-16,True
f5d0a36b008eb488,4.4408920985e-16,True
b24c193b4136afd3,6.66133814775e-16,True
2129afe06ece6a6d,4.4408920985e-16,True
a927ea00f7335c7c,6.66133814775e-16,True
7e42d07ce46a72e4,4.4408920985e-16,True
b16f17d58f7aabf2,4.4408920985e-16,True
497e4819ad1ce59c,8.881784197e-16,True
deb77ec3f2ddf78f,6.66133814775e-16,True
d817ad3534ab554d,4.4408920985e-16,True
d2d4c49ab227aa87,4.4408920985e-16,True
c54bc02d1fcd094e,8.881784197e-16,True
080e6e5be0c803cd,4.4408920985e-16,True
71a08671b7d9283b,8.881784197e-16,True
ebe5710d577ed718,4.4408920985e-16,True
cb5459e346731607,8.881784197e-16,True
3cb548d93b1c91ac,4.4408920985e-16,True
e30721b054460f15,4.4408920985e-16,True
7ae79f4e06a3ade1,4.4408920985e-16,True
ace70b27506798d5,1.7763568394e-15,True
9f525c104867f074,0,True
99962e6f9aff29ba,0,True
97cebd93c1965f0f,1.7763568394e-15,True
2e18c2a7c8a3d34b,3.33066907388e-16,True
bcb79f6838d28c17,3.5527136788e-15,True
a05dc6872141702f,1.7763568394e-15,True
315cbd3cacd491e8,3.33066907388e-16,True
251bbbe64ea0a5b5,3.33066907388e-16,True
6ec168db2ef54287,1.7763568394e-15,True
7f2a70bd247387c9,3.33066907388e-16,True
af7a3a1cdf745e0c,1.7763568394e-15,True
812b382e4fb78da4,0,True
641c1f6f413ead20,3.33066907388e-16,True
b6b6d4c497cda8e2,1.7763568394e-15,True
f573b76a994f559e,0,True
a288b216f33e8695,1.7763568394e-15,True
38b4c355b2582da5,0,True
e791bdd39ceb0454,2.22044604925e-16,True
d216cfad4f530a31,3.33066907388e-16,True
05c34463f238a2c1,1.7763568394e-15,True
cdfc8962c0bbffa6,4.4408920985e-16,True
76186667a8178edb,3.33066907388e-16,True
5df4a26ad4def72a,3.33066907388e-16,True
7e2290dbca4fb383,0,True
f034ac00d128e91e,3.33066907388e-16,True
07c99b913f352934,1.7763568394e-15,True
ea824f81860e40de,3.5527136788e-15,True
f2652a9524294607,0,True
e5bc692f352587c0,7.1054273576e-15,True
a816c1bfd2071c13,1.7763568394e-15,True
126bcb79613b3ca2,3.5527136788e-15,True
30d22bced4b75549,3.5527136788e-15,True
80a4655a847e5a65,3.5527136788e-15,True
ba0a6f3ed5f52a3c,4.4408920985e-16,True
4df5538f7a6d52ec,4.4408920985e-16,True
466fc2f8ccaeae80,0,True
31d3caf93d1b2b79,0,True
6bada44f8bfbe52e,0,True
b695d04bc92a557d,3.5527136788e-15,True
2d2b8ab0116038fd,2.22044604925e-16,True
984360ed0635b90c,3.5527136788e-15,True
6068e5a1684f17bf,1.7763568394e-15,True
38e5256c8a950c7d,1.7763568394e-15,True
e345524837c8f249,3.5527136788e-15,True
c62a0432de833f80,3.5527136788e-15,True
d028cdde31b4bbe7,4.4408920985e-16,True
55a9c4d4d99e81f1,0,True
64b475a8d2558465,3.5527136788e-15,True
28935ccbb578589d,1.7763568394e-15,True
1d9605edabc41fe8,0,True
5420c60e81d14ca8,3.5527136788e-15,True
37cd228e6a030988,0,True
c6aab23ad555a26a,1.7763568394e-15,True
293c9fb9a238349a,0,True
e00297d47bfd5498,1.7763568394e-15,True
2825aeb1a068148f,1.7763568394e-15,True
e6717fa426739388,1.7763568394e-15,True
2e3f4f6ed162d0e2,1.7763568394e-15,True
e5e3026eeba1e6af,1.7763568394e-15,True
e7c3756600686848,1.7763568394e-15,True
410ed60ca6883f8c,1.7763568394e-15,True
d484f67bf0c8f4a0,1.7763568394e-15,True
cace603eaaae4c0b,1.7763568394e-15,True
4fd122b7a189e196,0,True
1158b393b32f7279,1.7763568394e-15,True
589eff1064d05701,1.33226762955e-15,True
ad54d90129a2f0b8,8.881784197e-16,True
137c140ca55fe56a,1.7763568394e-15,True
b27dbae0e7fd539e,1.7763568394e-15,True
9ec8f4568a452459,2.6645352591e-15,True
bab7d65b25166218,1.7763568394e-15,True
817c68743cb43e21,8.881784197e-16,True
cac4132e7e982035,1.7763568394e-15,True
8f70d25e188c2a5b,1.7763568394e-15,True
cf8e133e4c20ed7f,1.7763568394e-15,True
d0df2148541db2cf,0,True
2bc96fab1ff93d70,1.7763568394e-15,True
ad4a6fc8603c57c5,1.7763568394e-15,True
015eb3a11d385beb,1.7763568394e-15,True
fe93307d35a838b2,1.7763568394e-15,True
0cf173b561edfc6a,1.7763568394e-15,True
cf8c72d40aebde80,1.7763568394e-15,True
2ddd59e9074da236,1.7763568394e-15,True
cfd33fbb5c8bf163,1.7763568394e-15,True
3d1c6d9fda198b1b,3.5527136788e-15,True
29517242559725c8,1.7763568394e-15,True
4458a918ee34e06b,1.7763568394e-15,True
1eafece38b9de737,1.7763568394e-15,True
7421f0b4dc5a2392,1.7763568394e-15,True
ab8b97ab6495ba76,1.7763568394e-15,True
ceaa81c7a8f43df1,1.7763568394e-15,True
d8d740c29176039f,1.7763568394e-15,True
3708f56ca083519c,1.7763568394e-15,True
8f8e88f1dac7e186,1.7763568394e-15,True
