raw_condition,reference_basis,rows,images,workers,buildings
manual,gt_assumed_correct,664,129,23,22
manual,reviewed_reference,823,38,26,11
semi,gt_assumed_correct,224,27,26,10
semi,reviewed_reference,316,13,26,8
