cohort,pool,metric,outcome,building,max_abs_error,labels_match
all26,without_synthetic,ospa60,final_via_edit_labels,X7HyMhZNoso,2.6645352591e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,Z6MFQCViBuw,9.59232693276e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,b8cTxDM8gDG,4.61852778244e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,e9zR4mvMWw7,7.81597009336e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,q9vSo1VnCiC,1.10134124043e-13,True
all26,without_synthetic,ospa60,final_via_edit_labels,rPc6DW4iMge,1.98951966013e-13,True
all26,without_synthetic,ospa60,final_via_edit_labels,uNb9QFRL6hY,4.06341627013e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,wc2JMjhGNzB,8.17124146124e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,yqstnuAEVhm,9.59232693276e-14,True
current20,all_initializations,ospa30,edit,7y3sRwLe3Va,1.06581410364e-14,True
current20,all_initializations,ospa30,edit,B6ByNegPMKs,1.14352971536e-14,True
current20,all_initializations,ospa30,edit,UwV83HsGsw3,1.15463194561e-14,True
current20,all_initializations,ospa30,edit,X7HyMhZNoso,1.24344978758e-14,True
current20,all_initializations,ospa30,edit,Z6MFQCViBuw,1.64313007645e-14,True
current20,all_initializations,ospa30,edit,b8cTxDM8gDG,8.43769498715e-15,True
current20,all_initializations,ospa30,edit,e9zR4mvMWw7,1.487698853e-14,True
current20,all_initializations,ospa30,edit,q9vSo1VnCiC,1.24344978758e-14,True
current20,all_initializations,ospa30,edit,rPc6DW4iMge,8.881784197e-15,True
current20,all_initializations,ospa30,edit,uNb9QFRL6hY,1.11022302463e-14,True
current20,all_initializations,ospa30,edit,wc2JMjhGNzB,8.881784197e-15,True
current20,all_initializations,ospa30,edit,yqstnuAEVhm,9.15933995316e-15,True
current20,all_initializations,ospa30,final,7y3sRwLe3Va,1.73194791842e-14,True
current20,all_initializations,ospa30,final,B6ByNegPMKs,6.66133814775e-15,True
current20,all_initializations,ospa30,final,UwV83HsGsw3,5.55111512313e-15,True
current20,all_initializations,ospa30,final,X7HyMhZNoso,6.10622663544e-15,True
current20,all_initializations,ospa30,final,Z6MFQCViBuw,1.13242748512e-14,True
current20,all_initializations,ospa30,final,b8cTxDM8gDG,8.16013923099e-15,True
current20,all_initializations,ospa30,final,e9zR4mvMWw7,7.32747196253e-15,True
current20,all_initializations,ospa30,final,q9vSo1VnCiC,7.1054273576e-15,True
current20,all_initializations,ospa30,final,rPc6DW4iMge,7.9936057773e-15,True
current20,all_initializations,ospa30,final,uNb9QFRL6hY,8.43769498715e-15,True
