cohort,pool,metric,outcome,rows,images,buildings,gain_vs_manual_quadratic,layer_MSE,manual_quadratic_MSE,semi_individual_MSE,mse_difference,conditional_building_bootstrap_low,conditional_building_bootstrap_high,buildings_improved,interpretation
all26,all_initializations,ospa30,edit,574,43,12,0.13716458717,10.260191534,11.8912499203,8.76045816433,-1.63105838625,-2.67940499367,-0.675802126467,10,conditional_observed_workers_bootstrap_not_confirmatory
all26,all_initializations,ospa30,final,540,40,12,0.0872451161718,10.212113051,11.1882316183,10.1944100861,-0.976118567297,-1.98055028402,-0.0704048698354,9,conditional_observed_workers_bootstrap_not_confirmatory
all26,all_initializations,ospa30,final_via_edit_labels,540,40,12,0.0354007233165,10.7921601264,11.1882316183,10.1944100861,-0.396071491921,-0.873058862706,0.0312233154182,7,conditional_observed_workers_bootstrap_not_confirmatory
all26,all_initializations,ospa60,edit,574,43,12,0.139412689487,35.9685585848,41.7953624756,34.4185078731,-5.82680389083,-9.8691106183,-2.50439420309,11,conditional_observed_workers_bootstrap_not_confirmatory
all26,all_initializations,ospa60,final,540,40,12,0.0402608707409,40.53180756,42.2321090433,39.7799101422,-1.70030148331,-4.95093850994,0.829507970329,7,conditional_observed_workers_bootstrap_not_confirmatory
all26,all_initializations,ospa60,final_via_edit_labels,540,40,12,0.0508517675175,40.0845316524,42.2321090433,39.7799101422,-2.14757739084,-5.04636935498,0.17907632989,8,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa30,edit,418,37,12,0.186016081015,11.2943328116,13.8753758498,10.3522761499,-2.58104303818,-4.97840893575,-0.74766915312,10,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa30,final,410,35,12,-0.000466185536268,13.1071944003,13.1010868631,12.3248507291,0.00610753720496,-1.27602726751,1.53496458623,7,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa30,final_via_edit_labels,410,35,12,0.00619014704609,13.0199892089,13.1010868631,12.3248507291,-0.081097654146,-0.926607916519,0.988679462648,7,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa60,edit,418,37,12,0.136003458663,43.1608244637,49.9548579175,40.6766969449,-6.79403345382,-14.6086128936,-1.1007133351,10,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa60,final,410,35,12,-0.0108048291682,49.8144713975,49.2819879367,48.3789242264,0.532483460725,-4.13418823838,6.11297412855,7,conditional_observed_workers_bootstrap_not_confirmatory
all26,without_synthetic,ospa60,final_via_edit_labels,410,35,12,-0.0176901243018,50.1537924292,49.2819879367,48.3789242264,0.87180449244,-3.79413897265,6.20312041354,7,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa30,edit,453,43,12,0.205686903583,7.9846441209,10.052262964,7.52364959294,-2.06761884306,-3.99372149538,-0.386070832261,10,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa30,final,425,40,12,0.0765265516787,9.28133463184,10.0504618175,9.00982833453,-0.769127185673,-1.73608392558,0.200485174559,9,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa30,final_via_edit_labels,425,40,12,0.0310654108346,9.73824009208,10.0504618175,9.00982833453,-0.312221725438,-0.905630427698,0.279674621397,8,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa60,edit,453,43,12,0.142191230246,30.0284762483,35.0060261763,29.3592845074,-4.97754992805,-11.3458989544,1.17010858391,9,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa60,final,425,40,12,0.0175642083085,36.9963640611,37.6577933887,34.9741784513,-0.661429327519,-2.63760119639,1.35778320813,7,conditional_observed_workers_bootstrap_not_confirmatory
current20,all_initializations,ospa60,final_via_edit_labels,425,40,12,0.0297084655633,36.5390381306,37.6577933887,34.9741784513,-1.11875525808,-4.29763723557,1.85806789814,8,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa30,edit,333,37,12,0.116362852916,10.1891349972,11.530903868,8.78429957488,-1.34176887078,-3.81389973971,0.457730823242,8,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa30,final,325,35,12,0.00298994419087,11.0079047084,11.0409164323,10.5643749929,-0.0330117239487,-1.55026935121,1.91027099736,7,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa30,final_via_edit_labels,325,35,12,-0.0580485921593,11.6818260874,11.0409164323,10.5643749929,0.640909655044,-0.228253570902,1.97154625636,6,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa60,edit,333,37,12,0.0666609907064,38.3686330002,41.1089996434,34.4588284242,-2.74036664318,-10.3880827509,3.63124352881,8,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa60,final,325,35,12,-0.0813564806914,45.5645420791,42.1364673839,42.4167820216,3.42807469512,-1.60505007412,9.97312774999,4,conditional_observed_workers_bootstrap_not_confirmatory
current20,without_synthetic,ospa60,final_via_edit_labels,325,35,12,-0.037644158342,43.7226592341,42.1364673839,42.4167820216,1.58619185017,-0.113537959532,3.42967292863,3,conditional_observed_workers_bootstrap_not_confirmatory
