stage,lane,definition,row_count,task_count,worker_count,median_delta_U,median_edit_rmse_px,median_U_initial,median_U_final
P1,all_stage,all_evaluable_structurally_valid_rows,464,18,26,0.0,1.2982208036864031,0.957879677004777,0.958315391100248
P1,all_stage,edited_rows,351,18,26,-0.0003005293940865,6.463605078653318,0.9524267962142868,0.9573225407750284
P1,all_stage,edited_negative_metric_change,119,17,18,-0.0384143022680117,8.655463587787343,0.973800082045672,0.9194653747367652
P1,all_stage,same_topology_observed_edited_negative_metric_change,119,17,18,-0.0384143022680117,8.655463587787343,0.973800082045672,0.9194653747367652
P1,all_stage,micro_same_topology_measured_negative_metric_change,8,5,6,-0.0136195172312959,3.3393575741029116,0.9901618693917631,0.9736240925783661
P1,all_stage,acceptable_tag_edited_negative_metric_change,72,15,12,-0.03405907658603605,7.40349225774262,0.9794180077541208,0.9262793432425318
P1,all_stage,acceptable_tag_micro_same_topology_measured_negative_metric_change,6,4,4,-0.015316680559968252,3.5868445934251287,0.992000580369018,0.9748451888317948
P1,all_stage,corner_drift_micro_same_topology_measured_negative_metric_change,2,1,2,-0.0135099564798847,2.4934301835729795,0.9524267962142868,0.938916839734402
P1,task_in_scope,all_evaluable_structurally_valid_rows,0,0,0,,,,
P1,task_in_scope,edited_rows,0,0,0,,,,
P1,task_in_scope,edited_negative_metric_change,0,0,0,,,,
P1,task_in_scope,same_topology_observed_edited_negative_metric_change,0,0,0,,,,
P1,task_in_scope,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
P1,task_in_scope,acceptable_tag_edited_negative_metric_change,0,0,0,,,,
P1,task_in_scope,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
P1,task_in_scope,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
P1,analysis_eligible,all_evaluable_structurally_valid_rows,464,18,26,0.0,1.2982208036864031,0.957879677004777,0.958315391100248
P1,analysis_eligible,edited_rows,351,18,26,-0.0003005293940865,6.463605078653318,0.9524267962142868,0.9573225407750284
P1,analysis_eligible,edited_negative_metric_change,119,17,18,-0.0384143022680117,8.655463587787343,0.973800082045672,0.9194653747367652
P1,analysis_eligible,same_topology_observed_edited_negative_metric_change,119,17,18,-0.0384143022680117,8.655463587787343,0.973800082045672,0.9194653747367652
P1,analysis_eligible,micro_same_topology_measured_negative_metric_change,8,5,6,-0.0136195172312959,3.3393575741029116,0.9901618693917631,0.9736240925783661
P1,analysis_eligible,acceptable_tag_edited_negative_metric_change,72,15,12,-0.03405907658603605,7.40349225774262,0.9794180077541208,0.9262793432425318
P1,analysis_eligible,acceptable_tag_micro_same_topology_measured_negative_metric_change,6,4,4,-0.015316680559968252,3.5868445934251287,0.992000580369018,0.9748451888317948
P1,analysis_eligible,corner_drift_micro_same_topology_measured_negative_metric_change,2,1,2,-0.0135099564798847,2.4934301835729795,0.9524267962142868,0.938916839734402
P1,analysis_eligible_and_in_scope,all_evaluable_structurally_valid_rows,0,0,0,,,,
P1,analysis_eligible_and_in_scope,edited_rows,0,0,0,,,,
P1,analysis_eligible_and_in_scope,edited_negative_metric_change,0,0,0,,,,
P1,analysis_eligible_and_in_scope,same_topology_observed_edited_negative_metric_change,0,0,0,,,,
P1,analysis_eligible_and_in_scope,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
P1,analysis_eligible_and_in_scope,acceptable_tag_edited_negative_metric_change,0,0,0,,,,
P1,analysis_eligible_and_in_scope,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
P1,analysis_eligible_and_in_scope,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,all_stage,all_evaluable_structurally_valid_rows,87,21,23,-0.0197431687580625,0.0,1.0,0.9802568312419374
C1,all_stage,edited_rows,55,20,18,-0.0637134246993791,5.372670442937779,1.0,0.9362865753006208
C1,all_stage,edited_negative_metric_change,46,19,16,-0.07444992208957266,11.565699840377404,1.0,0.9255500779104273
C1,all_stage,same_topology_observed_edited_negative_metric_change,46,19,16,-0.07444992208957266,11.565699840377404,1.0,0.9255500779104273
C1,all_stage,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,all_stage,acceptable_tag_edited_negative_metric_change,20,14,7,-0.0725789435228261,8.791582906841997,1.0,0.9274210564771739
C1,all_stage,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,all_stage,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,task_in_scope,all_evaluable_structurally_valid_rows,87,21,23,-0.0197431687580625,0.0,1.0,0.9802568312419374
C1,task_in_scope,edited_rows,55,20,18,-0.0637134246993791,5.372670442937779,1.0,0.9362865753006208
C1,task_in_scope,edited_negative_metric_change,46,19,16,-0.07444992208957266,11.565699840377404,1.0,0.9255500779104273
C1,task_in_scope,same_topology_observed_edited_negative_metric_change,46,19,16,-0.07444992208957266,11.565699840377404,1.0,0.9255500779104273
C1,task_in_scope,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,task_in_scope,acceptable_tag_edited_negative_metric_change,20,14,7,-0.0725789435228261,8.791582906841997,1.0,0.9274210564771739
C1,task_in_scope,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,task_in_scope,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible,all_evaluable_structurally_valid_rows,82,21,22,-0.0193581686824616,0.0,1.0,0.9802568312419374
C1,analysis_eligible,edited_rows,51,20,17,-0.0698927185574069,5.398480604250853,1.0,0.930107281442593
C1,analysis_eligible,edited_negative_metric_change,43,19,15,-0.0744941437224143,12.081257749975205,1.0,0.9255058562775856
C1,analysis_eligible,same_topology_observed_edited_negative_metric_change,43,19,15,-0.0744941437224143,12.081257749975205,1.0,0.9255058562775856
C1,analysis_eligible,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible,acceptable_tag_edited_negative_metric_change,18,14,6,-0.0725789435228261,9.768485586921468,1.0,0.9274210564771739
C1,analysis_eligible,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible_and_in_scope,all_evaluable_structurally_valid_rows,82,21,22,-0.0193581686824616,0.0,1.0,0.9802568312419374
C1,analysis_eligible_and_in_scope,edited_rows,51,20,17,-0.0698927185574069,5.398480604250853,1.0,0.930107281442593
C1,analysis_eligible_and_in_scope,edited_negative_metric_change,43,19,15,-0.0744941437224143,12.081257749975205,1.0,0.9255058562775856
C1,analysis_eligible_and_in_scope,same_topology_observed_edited_negative_metric_change,43,19,15,-0.0744941437224143,12.081257749975205,1.0,0.9255058562775856
C1,analysis_eligible_and_in_scope,micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible_and_in_scope,acceptable_tag_edited_negative_metric_change,18,14,6,-0.0725789435228261,9.768485586921468,1.0,0.9274210564771739
C1,analysis_eligible_and_in_scope,acceptable_tag_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
C1,analysis_eligible_and_in_scope,corner_drift_micro_same_topology_measured_negative_metric_change,0,0,0,,,,
