n_primary_images,interaction_sd_assumed,building_icc_assumed,mean_images_per_building_assumed,design_effect,mde_80pct_two_sided_005,true_interaction_assumed,conditional_power,status
40,0.05,0.0,1.0,1.0,0.02214847587074149,0.02,0.7156166067891211,conditional_only_no_empirical_interaction_variance
40,0.05,0.0,1.0,1.0,0.02214847587074149,0.03,0.9667300578912552,conditional_only_no_empirical_interaction_variance
40,0.05,0.0,1.0,1.0,0.02214847587074149,0.04,0.9990313517757041,conditional_only_no_empirical_interaction_variance
40,0.05,0.0,1.0,1.0,0.02214847587074149,0.05,0.9999936319685956,conditional_only_no_empirical_interaction_variance
40,0.05,0.05,3.0,1.1,0.023229517466716778,0.04,0.997909795906742,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.05,4.0,1.15,0.023751594281360162,0.04,0.9970937785548531,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.05,5.0,1.2,0.024262439697527977,0.04,0.9960794692078389,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.1,3.0,1.2,0.024262439697527977,0.04,0.9960794692078389,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.1,4.0,1.3,0.02525314789122068,0.04,0.9933872297366013,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.1,5.0,1.4,0.02620643006507268,0.04,0.9897267581068808,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.2,3.0,1.4,0.02620643006507268,0.04,0.9897267581068808,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.2,4.0,1.6,0.028015852181129685,0.04,0.9793266319025756,building_sensitivity_not_empirical_interaction_icc
40,0.05,0.2,5.0,1.8,0.029715298586995093,0.04,0.9649506401874381,building_sensitivity_not_empirical_interaction_icc
40,0.08,0.0,1.0,1.0,0.035437561393186386,0.02,0.35260808244470254,conditional_only_no_empirical_interaction_variance
40,0.08,0.0,1.0,1.0,0.035437561393186386,0.03,0.6597439590495947,conditional_only_no_empirical_interaction_variance
40,0.08,0.0,1.0,1.0,0.035437561393186386,0.04,0.8853791407623514,conditional_only_no_empirical_interaction_variance
40,0.08,0.0,1.0,1.0,0.035437561393186386,0.05,0.9768628765134761,conditional_only_no_empirical_interaction_variance
40,0.08,0.05,3.0,1.1,0.037167227946746845,0.04,0.8543218391731665,building_sensitivity_not_empirical_interaction_icc
