family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
hohonet,global,ridge,2t7WUuJeko7,kitchen,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,7y3sRwLe3Va,living,hohonet__compressed__global,0,1.0133650646e-12,17,
hohonet,global,ridge,B6ByNegPMKs,circulation,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,S9hNv5qa7GM,sleep,hohonet__legacy_current,7,0.125055193901,29,
hohonet,global,ridge,VFuaQ6m2Qom,bathroom,hohonet__shared__global,1,0.0899428874254,16,
hohonet,global,ridge,Z6MFQCViBuw,dining,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,e9zR4mvMWw7,sleep,hohonet__encoder_stage2__global,1,0.0889862552285,27,
hohonet,global,ridge,jtcxE69GiFV,sleep,hohonet__shared__global,10,0.100750125945,29,
hohonet,global,ridge,pa4otMbVnkk,living,hohonet__compressed__global,0,1.01336495618e-12,15,
hohonet,global,ridge,rPc6DW4iMge,sleep,hohonet__encoder_stage2__global,1,0.119140200317,31,
hohonet,global,ridge,uNb9QFRL6hY,bathroom,hohonet__legacy_current,3,0.206022486091,11,
hohonet,global,ridge,uNb9QFRL6hY,living,hohonet__compressed__global,0,1.01336495618e-12,10,
hohonet,global,ridge,uNb9QFRL6hY,sleep,hohonet__shared__global,10,0.1318038553,25,
hohonet,global,ridge,uNb9QFRL6hY,storage,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,uNb9QFRL6hY,work,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,wc2JMjhGNzB,bathroom,hohonet__legacy_current,3,0.0914042666554,17,
hohonet,global,ridge,wc2JMjhGNzB,empty,hohonet__compressed__global,1,inf,0,
hohonet,global,ridge,wc2JMjhGNzB,sleep,hohonet__encoder_stage2__regions,3,0.109824247658,29,
hohonet,global,ridge,yqstnuAEVhm,dining,hohonet__compressed__global,1,inf,0,
hohonet,global,knn,2t7WUuJeko7,kitchen,hohonet__compressed__global,4,inf,0,
hohonet,global,knn,7y3sRwLe3Va,living,hohonet__compressed__global,4,1.0133650646e-12,17,
hohonet,global,knn,B6ByNegPMKs,circulation,hohonet__compressed__global,4,inf,0,
hohonet,global,knn,S9hNv5qa7GM,sleep,hohonet__legacy_current,6,0.144137725234,29,
hohonet,global,knn,VFuaQ6m2Qom,bathroom,hohonet__compressed__regions,5,0.131944358349,16,
hohonet,global,knn,Z6MFQCViBuw,dining,hohonet__compressed__global,4,inf,0,
hohonet,global,knn,e9zR4mvMWw7,sleep,hohonet__encoder_stage2__global,5,0.0967077538371,27,
hohonet,global,knn,jtcxE69GiFV,sleep,hohonet__encoder_stage4__regions,13,0.100689381361,29,
hohonet,global,knn,pa4otMbVnkk,living,hohonet__compressed__global,4,1.01336495618e-12,15,
hohonet,global,knn,rPc6DW4iMge,sleep,hohonet__legacy_current,13,0.127096608281,31,
hohonet,global,knn,uNb9QFRL6hY,bathroom,hohonet__encoder_stage2__global,4,0.181817546487,11,
hohonet,global,knn,uNb9QFRL6hY,living,hohonet__compressed__global,4,1.01336495618e-12,10,
