design,feature,baseline,algorithm,n_relation_eligible_images,n_supported_components,supported_component_macro_rps,total_images
pooled,da3__layer5__faces_global,main,knn,54,9,0.134598730742,106
pooled,da3__layer5__faces_global,main,ridge,54,9,0.116961479099,106
pooled,da3__layer5__faces_local16,coarse,knn,54,9,0.152771397707,106
pooled,da3__layer5__faces_local16,coarse,ridge,54,9,0.135228771728,106
pooled,da3__layer5__faces_local16,global,knn,54,9,0.189930709841,106
pooled,da3__layer5__faces_local16,global,ridge,54,9,0.175235555891,106
pooled,da3__layer5__faces_local16,main,knn,54,9,0.138860298599,106
pooled,da3__layer5__faces_local16,main,ridge,54,9,0.122117698688,106
pooled,da3__layer5__faces_local96,coarse,knn,54,9,0.122690768485,106
pooled,da3__layer5__faces_local96,coarse,ridge,54,9,0.11973014838,106
pooled,da3__layer5__faces_local96,global,knn,54,9,0.184870878283,106
pooled,da3__layer5__faces_local96,global,ridge,54,9,0.174442152104,106
pooled,da3__layer5__faces_local96,main,knn,54,9,0.105385194656,106
pooled,da3__layer5__faces_local96,main,ridge,54,9,0.112815301464,106
pooled,da3__layer7__faces_concat,coarse,knn,54,9,0.137225034911,106
pooled,da3__layer7__faces_concat,coarse,ridge,54,9,0.150159005693,106
pooled,da3__layer7__faces_concat,global,knn,54,9,0.248497099537,106
pooled,da3__layer7__faces_concat,global,ridge,54,9,0.200974847487,106
pooled,da3__layer7__faces_concat,main,knn,54,9,0.133700076723,106
pooled,da3__layer7__faces_concat,main,ridge,54,9,0.126771394142,106
pooled,da3__layer7__faces_global,coarse,knn,54,9,0.140168216776,106
pooled,da3__layer7__faces_global,coarse,ridge,54,9,0.128373825812,106
pooled,da3__layer7__faces_global,global,knn,54,9,0.222657792736,106
pooled,da3__layer7__faces_global,global,ridge,54,9,0.168134921139,106
pooled,da3__layer7__faces_global,main,knn,54,9,0.130916073691,106
pooled,da3__layer7__faces_global,main,ridge,54,9,0.115185947187,106
pooled,da3__layer7__faces_local16,coarse,knn,54,9,0.137478998089,106
pooled,da3__layer7__faces_local16,coarse,ridge,54,9,0.123972777039,106
pooled,da3__layer7__faces_local16,global,knn,54,9,0.211262863418,106
pooled,da3__layer7__faces_local16,global,ridge,54,9,0.163300924262,106
pooled,da3__layer7__faces_local16,main,knn,54,9,0.131220744795,106
pooled,da3__layer7__faces_local16,main,ridge,54,9,0.109928720991,106
pooled,da3__layer7__faces_local96,coarse,knn,54,9,0.143075555223,106
pooled,da3__layer7__faces_local96,coarse,ridge,54,9,0.131311514614,106
pooled,da3__layer7__faces_local96,global,knn,54,9,0.237081033652,106
pooled,da3__layer7__faces_local96,global,ridge,54,9,0.186243152453,106
pooled,da3__layer7__faces_local96,main,knn,54,9,0.125526933421,106
pooled,da3__layer7__faces_local96,main,ridge,54,9,0.11985850754,106
pooled,da3__layer9__faces_concat,coarse,knn,54,9,0.147473399764,106
pooled,da3__layer9__faces_concat,coarse,ridge,54,9,0.145693770037,106
pooled,da3__layer9__faces_concat,global,knn,54,9,0.244946319937,106
pooled,da3__layer9__faces_concat,global,ridge,54,9,0.224718148305,106
pooled,da3__layer9__faces_concat,main,knn,54,9,0.136692342847,106
pooled,da3__layer9__faces_concat,main,ridge,54,9,0.1262221589,106
pooled,da3__layer9__faces_global,coarse,knn,54,9,0.151001323279,106
pooled,da3__layer9__faces_global,coarse,ridge,54,9,0.120575705272,106
pooled,da3__layer9__faces_global,global,knn,54,9,0.251415804778,106
pooled,da3__layer9__faces_global,global,ridge,54,9,0.170501994428,106
pooled,da3__layer9__faces_global,main,knn,54,9,0.140544361188,106
pooled,da3__layer9__faces_global,main,ridge,54,9,0.107189445161,106
pooled,da3__layer9__faces_local16,coarse,knn,54,9,0.145475548987,106
pooled,da3__layer9__faces_local16,coarse,ridge,54,9,0.12105570008,106
pooled,da3__layer9__faces_local16,global,knn,54,9,0.213367826292,106
pooled,da3__layer9__faces_local16,global,ridge,54,9,0.167364514756,106
pooled,da3__layer9__faces_local16,main,knn,54,9,0.136497307052,106
pooled,da3__layer9__faces_local16,main,ridge,54,9,0.10743662976,106
pooled,da3__layer9__faces_local96,coarse,knn,54,9,0.13279142615,106
pooled,da3__layer9__faces_local96,coarse,ridge,54,9,0.137692414015,106
pooled,da3__layer9__faces_local96,global,knn,54,9,0.2093408682,106
pooled,da3__layer9__faces_local96,global,ridge,54,9,0.203814820592,106
pooled,da3__layer9__faces_local96,main,knn,54,9,0.118206181253,106
pooled,da3__layer9__faces_local96,main,ridge,54,9,0.120081490845,106
pooled,dinov3__block11__faces_concat,coarse,knn,54,9,0.145275515488,106
pooled,dinov3__block11__faces_concat,coarse,ridge,54,9,0.130099969931,106
pooled,dinov3__block11__faces_concat,global,knn,54,9,0.216235385149,106
pooled,dinov3__block11__faces_concat,global,ridge,54,9,0.147403692952,106
pooled,dinov3__block11__faces_concat,main,knn,54,9,0.140756723578,106
pooled,dinov3__block11__faces_concat,main,ridge,54,9,0.11173092116,106
pooled,dinov3__block11__faces_global,coarse,knn,54,9,0.143134741526,106
pooled,dinov3__block11__faces_global,coarse,ridge,54,9,0.117632850361,106
pooled,dinov3__block11__faces_global,global,knn,54,9,0.168272005911,106
pooled,dinov3__block11__faces_global,global,ridge,54,9,0.128600923171,106
pooled,dinov3__block11__faces_global,main,knn,54,9,0.129498300317,106
pooled,dinov3__block11__faces_global,main,ridge,54,9,0.107451513542,106
pooled,dinov3__block11__faces_local16,coarse,knn,54,9,0.157864606329,106
pooled,dinov3__block11__faces_local16,coarse,ridge,54,9,0.133630447088,106
pooled,dinov3__block11__faces_local16,global,knn,54,9,0.18896275212,106
pooled,dinov3__block11__faces_local16,global,ridge,54,9,0.144520434435,106
pooled,dinov3__block11__faces_local16,main,knn,54,9,0.151501565114,106
pooled,dinov3__block11__faces_local16,main,ridge,54,9,0.117691104282,106
pooled,dinov3__block11__faces_local96,coarse,knn,54,9,0.138041458748,106
pooled,dinov3__block11__faces_local96,coarse,ridge,54,9,0.138880864164,106
pooled,dinov3__block11__faces_local96,global,knn,54,9,0.179112911466,106
