design,feature,baseline,algorithm,source_split,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
pooled,baseline__coarse,none,frequency,test,79,8,0.101995510328,0.389250695513,0.79746835443,0.802469135802,0.747265052976,0.100517010102,1,0.407407407407,1,42,27,10
pooled,baseline__coarse,none,frequency,valid,27,5,0.137526445506,0.54582141909,0.703703703704,0.809523809524,0.745454545455,0.143983896733,1,0.428571428571,1,7,14,6
pooled,baseline__coarse_main,none,frequency,test,79,8,0.0928527452979,0.356231222635,0.79746835443,0.802469135802,0.747265052976,0.0834036906917,1,0.407407407407,1,42,27,10
pooled,baseline__coarse_main,none,frequency,valid,27,5,0.132197888892,0.53440213432,0.703703703704,0.809523809524,0.745454545455,0.13974869805,1,0.428571428571,1,7,14,6
pooled,baseline__fine,none,frequency,test,79,8,0.137006261183,0.514374562381,0.632911392405,0.6,0.49114331723,0.128571232777,1,0,0.8,42,27,10
pooled,baseline__fine,none,frequency,valid,27,5,0.219266931686,0.768512111277,0.37037037037,0.5,0.372759856631,0.217013825194,1,0,0.5,7,14,6
pooled,baseline__global,none,frequency,test,79,8,0.198913400979,0.641790776808,0.53164556962,0.333333333333,0.231404958678,0.174749073659,1,0,0,42,27,10
pooled,baseline__global,none,frequency,valid,27,5,0.226134666856,0.744283878113,0.259259259259,0.333333333333,0.137254901961,0.218107359203,1,0,0,7,14,6
pooled,baseline__human_focus,none,frequency,test,79,8,0.201271722519,0.647507355254,0.53164556962,0.333333333333,0.231404958678,0.175838337961,1,0,0,42,27,10
pooled,baseline__human_focus,none,frequency,valid,27,5,0.229349938559,0.7562690888,0.259259259259,0.333333333333,0.137254901961,0.221206378722,1,0,0,7,14,6
pooled,baseline__main,none,frequency,test,79,8,0.0929332243476,0.341724518267,0.848101265823,0.851851851852,0.805616605617,0.075255255688,1,0.555555555556,1,42,27,10
pooled,baseline__main,none,frequency,valid,27,5,0.120685605762,0.47425179118,0.703703703704,0.809523809524,0.745454545455,0.125891667418,1,0.428571428571,1,7,14,6
pooled,bilayout__fc__global,coarse,knn,test,79,8,0.124326367569,0.493478202725,0.708860759494,0.755731922399,0.713472055489,0.13269817239,0.785714285714,0.481481481481,1,42,27,10
pooled,bilayout__fc__global,coarse,knn,valid,27,5,0.15125039819,0.594745729264,0.703703703704,0.809523809524,0.745454545455,0.157728028431,1,0.428571428571,1,7,14,6
pooled,bilayout__fc__global,coarse,ridge,test,79,8,0.102553864723,0.387560496451,0.746835443038,0.755202821869,0.751724137931,0.103806522397,0.761904761905,0.703703703704,0.8,42,27,10
pooled,bilayout__fc__global,coarse,ridge,valid,27,5,0.148853513458,0.575185946628,0.666666666667,0.761904761905,0.714285714286,0.156354592932,0.857142857143,0.428571428571,1,7,14,6
pooled,bilayout__fc__global,global,knn,test,79,8,0.22607576557,0.776708056711,0.443037974684,0.321869488536,0.315745741587,0.286615779895,0.595238095238,0.37037037037,0,42,27,10
pooled,bilayout__fc__global,global,knn,valid,27,5,0.248147893334,0.779258702224,0.444444444444,0.460317460317,0.400740740741,0.243333089227,0.857142857143,0.357142857143,0.166666666667,7,14,6
pooled,bilayout__fc__global,global,ridge,test,79,8,0.175602155747,0.625027746248,0.544303797468,0.423985890653,0.421880699365,0.195531964968,0.690476190476,0.481481481481,0.1,42,27,10
pooled,bilayout__fc__global,global,ridge,valid,27,5,0.209691051079,0.642203767783,0.444444444444,0.460317460317,0.403846153846,0.202277782557,0.857142857143,0.357142857143,0.166666666667,7,14,6
pooled,bilayout__fc__global,main,knn,test,79,8,0.105700675782,0.403399217298,0.784810126582,0.816578483245,0.770068027211,0.0903848425731,0.857142857143,0.592592592593,1,42,27,10
pooled,bilayout__fc__global,main,knn,valid,27,5,0.13739481452,0.53113742303,0.703703703704,0.809523809524,0.745454545455,0.142965555405,1,0.428571428571,1,7,14,6
pooled,bilayout__fc__global,main,ridge,test,79,8,0.0928231841461,0.341261692205,0.822784810127,0.853615520282,0.832334332334,0.0827521195101,0.857142857143,0.703703703704,1,42,27,10
pooled,bilayout__fc__global,main,ridge,valid,27,5,0.111515203022,0.433719534046,0.703703703704,0.785714285714,0.745454545455,0.115965813858,0.857142857143,0.5,1,7,14,6
pooled,bilayout__fc__regions,coarse,knn,test,79,8,0.138229293505,0.551037357685,0.556962025316,0.567724867725,0.563891815947,0.151428150452,0.547619047619,0.555555555556,0.6,42,27,10
pooled,bilayout__fc__regions,coarse,knn,valid,27,5,0.144927756549,0.583701648321,0.62962962963,0.698412698413,0.660606060606,0.150105750493,1,0.428571428571,0.666666666667,7,14,6
pooled,bilayout__fc__regions,coarse,ridge,test,79,8,0.11440370783,0.459142190865,0.696202531646,0.752204585538,0.694230769231,0.11336455178,0.738095238095,0.518518518519,1,42,27,10
