design,feature,baseline,algorithm,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
pooled,baseline__coarse,none,frequency,106,13,0.111045842873,0.429131917556,0.77358490566,0.80487804878,0.757713248639,0.117235043421,1,0.414634146341,1,49,41,16
pooled,baseline__coarse_main,none,frequency,106,13,0.102874621497,0.401614379385,0.77358490566,0.80487804878,0.757713248639,0.105074847368,1,0.414634146341,1,49,41,16
pooled,baseline__fine,none,frequency,106,13,0.157959450839,0.579107711628,0.566037735849,0.5625,0.464178657074,0.162587614476,1,0,0.6875,49,41,16
pooled,baseline__global,none,frequency,106,13,0.205847119646,0.66789751016,0.462264150943,0.333333333333,0.210752688172,0.191425337329,1,0,0,49,41,16
pooled,baseline__human_focus,none,frequency,106,13,0.208423720944,0.675210815686,0.462264150943,0.333333333333,0.210752688172,0.193287584408,1,0,0,49,41,16
pooled,baseline__main,none,frequency,106,13,0.100002227161,0.375481465141,0.811320754717,0.837398373984,0.798174872666,0.0947307986613,1,0.512195121951,1,49,41,16
pooled,bilayout__fc__global,coarse,knn,106,13,0.131184375369,0.519272761371,0.707547169811,0.759913721586,0.729092359324,0.142325040098,0.816326530612,0.463414634146,1,49,41,16
pooled,bilayout__fc__global,coarse,ridge,106,13,0.114347171476,0.435351884703,0.72641509434,0.753422100548,0.75346221331,0.124017318756,0.775510204082,0.609756097561,0.875,49,41,16
pooled,bilayout__fc__global,global,knn,106,13,0.231697911321,0.777357749436,0.443396226415,0.353668906587,0.345204178538,0.269968591177,0.632653061224,0.365853658537,0.0625,49,41,16
pooled,bilayout__fc__global,global,ridge,106,13,0.184285176256,0.629402770602,0.518867924528,0.426103368177,0.421281450227,0.198126510195,0.714285714286,0.439024390244,0.125,49,41,16
pooled,bilayout__fc__global,main,knn,106,13,0.113773711121,0.435936307438,0.764150943396,0.804712128754,0.771288926334,0.110608193662,0.877551020408,0.536585365854,1,49,41,16
pooled,bilayout__fc__global,main,ridge,106,13,0.0975843587654,0.364812274561,0.792452830189,0.830429732869,0.817190493661,0.0955266173362,0.857142857143,0.634146341463,1,49,41,16
pooled,bilayout__fc__regions,coarse,knn,106,13,0.13993550579,0.559357507187,0.575471698113,0.583146673303,0.593668078242,0.150919535083,0.612244897959,0.512195121951,0.625,49,41,16
pooled,bilayout__fc__regions,coarse,ridge,106,13,0.122266501106,0.491676930254,0.669811320755,0.705968972955,0.681261459479,0.127572579785,0.755102040816,0.487804878049,0.875,49,41,16
pooled,bilayout__fc__regions,global,knn,106,13,0.269391716583,0.908510400422,0.320754716981,0.263906172225,0.261637884219,0.280208286101,0.387755102041,0.341463414634,0.0625,49,41,16
pooled,bilayout__fc__regions,global,ridge,106,13,0.261416444314,0.879446611122,0.254716981132,0.196947071512,0.181566624095,0.269570875493,0.34693877551,0.243902439024,0,49,41,16
pooled,bilayout__fc__regions,main,knn,106,13,0.12467678557,0.481158733966,0.669811320755,0.656483325037,0.665723334007,0.123404773723,0.734693877551,0.609756097561,0.625,49,41,16
pooled,bilayout__fc__regions,main,ridge,106,13,0.107457449964,0.423205316482,0.716981132075,0.743964659034,0.721013645224,0.100830242576,0.795918367347,0.560975609756,0.875,49,41,16
pooled,bilayout__fg_enclosed__global,coarse,knn,106,13,0.102275852606,0.416454033846,0.707547169811,0.747210469554,0.719539458976,0.111084069914,0.816326530612,0.487804878049,0.9375,49,41,16
pooled,bilayout__fg_enclosed__global,coarse,ridge,106,13,0.113289114957,0.443850696607,0.707547169811,0.733179857309,0.707597084956,0.140043335271,0.836734693878,0.487804878049,0.875,49,41,16
pooled,bilayout__fg_enclosed__global,global,knn,106,13,0.164905488932,0.608468906753,0.556603773585,0.510764061722,0.519139194139,0.192625679424,0.69387755102,0.463414634146,0.375,49,41,16
pooled,bilayout__fg_enclosed__global,global,ridge,106,13,0.188108761298,0.651444692875,0.5,0.412497926,0.409028651293,0.237341272213,0.673469387755,0.439024390244,0.125,49,41,16
pooled,bilayout__fg_enclosed__global,main,knn,106,13,0.0846975596022,0.345455240372,0.745283018868,0.778403434545,0.753195608163,0.0820271093345,0.836734693878,0.560975609756,0.9375,49,41,16
pooled,bilayout__fg_enclosed__global,main,ridge,106,13,0.100782327125,0.378501067618,0.735849056604,0.757570101211,0.731035206387,0.125932625821,0.836734693878,0.560975609756,0.875,49,41,16
pooled,bilayout__fg_enclosed__regions,coarse,knn,106,13,0.125327796396,0.491625198376,0.660377358491,0.711869503899,0.684243066596,0.14556912704,0.734693877551,0.463414634146,0.9375,49,41,16
pooled,bilayout__fg_enclosed__regions,coarse,ridge,106,13,0.131033233524,0.50294084188,0.688679245283,0.730950306952,0.683390508862,0.167818218539,0.816326530612,0.439024390244,0.9375,49,41,16
pooled,bilayout__fg_enclosed__regions,global,knn,106,13,0.252808813795,0.813499926124,0.443396226415,0.335656213705,0.302832244009,0.259702269086,0.714285714286,0.292682926829,0,49,41,16
pooled,bilayout__fg_enclosed__regions,global,ridge,106,13,0.215224503031,0.71863639463,0.443396226415,0.348359465738,0.331132949507,0.221625795399,0.714285714286,0.268292682927,0.0625,49,41,16
pooled,bilayout__fg_enclosed__regions,main,knn,106,13,0.106312634094,0.417529308881,0.764150943396,0.790681516509,0.764481466432,0.108762621157,0.897959183673,0.536585365854,0.9375,49,41,16
pooled,bilayout__fg_enclosed__regions,main,ridge,106,13,0.11782792715,0.441940813056,0.72641509434,0.762143271943,0.722129319955,0.145657663276,0.836734693878,0.512195121951,0.9375,49,41,16
pooled,bilayout__fg_extended__global,coarse,knn,106,13,0.0968470604599,0.402745082299,0.716981132075,0.757995271279,0.73304730473,0.105426166602,0.775510204082,0.560975609756,0.9375,49,41,16
pooled,bilayout__fg_extended__global,coarse,ridge,106,13,0.116796363416,0.465918825966,0.669811320755,0.716017504563,0.675107580271,0.147187916327,0.795918367347,0.414634146341,0.9375,49,41,16
pooled,bilayout__fg_extended__global,global,knn,106,13,0.157777645305,0.591362082351,0.575471698113,0.542382196781,0.551155634668,0.181996108672,0.65306122449,0.536585365854,0.4375,49,41,16
pooled,bilayout__fg_extended__global,global,ridge,106,13,0.189146544274,0.643945778634,0.481132075472,0.382207151153,0.370987654321,0.240360300544,0.69387755102,0.390243902439,0.0625,49,41,16
pooled,bilayout__fg_extended__global,main,knn,106,13,0.0847201160715,0.351205328911,0.745283018868,0.779730794757,0.750512889127,0.085503928757,0.816326530612,0.585365853659,0.9375,49,41,16
pooled,bilayout__fg_extended__global,main,ridge,106,13,0.103273629966,0.400886543703,0.745283018868,0.777076074332,0.734917043741,0.124497477375,0.857142857143,0.536585365854,0.9375,49,41,16
pooled,bilayout__fg_extended__regions,coarse,knn,106,13,0.130596649896,0.513612717053,0.650943396226,0.675678198109,0.660555363698,0.1591761788,0.775510204082,0.439024390244,0.8125,49,41,16
pooled,bilayout__fg_extended__regions,coarse,ridge,106,13,0.134721180805,0.514973405064,0.698113207547,0.751783640285,0.700057175529,0.176172232146,0.816326530612,0.439024390244,1,49,41,16
pooled,bilayout__fg_extended__regions,global,knn,106,13,0.255072967884,0.827587942477,0.433962264151,0.330180852829,0.298888888889,0.258363850188,0.673469387755,0.317073170732,0,49,41,16
pooled,bilayout__fg_extended__regions,global,ridge,106,13,0.213405891477,0.717025920921,0.452830188679,0.353834826614,0.332324572177,0.224805184866,0.755102040816,0.243902439024,0.0625,49,41,16
pooled,bilayout__fg_extended__regions,main,knn,106,13,0.107486191336,0.419950594902,0.735849056604,0.740884768542,0.7217623498,0.112922951775,0.897959183673,0.512195121951,0.8125,49,41,16
pooled,bilayout__fg_extended__regions,main,ridge,106,13,0.115295216964,0.436197070045,0.72641509434,0.762143271943,0.722129319955,0.141622719618,0.836734693878,0.512195121951,0.9375,49,41,16
pooled,da3__layer11__faces_concat,coarse,knn,106,13,0.131250769455,0.501691264712,0.594339622642,0.544611747138,0.561249277039,0.136367399019,0.673469387755,0.585365853659,0.375,49,41,16
pooled,da3__layer11__faces_concat,coarse,ridge,106,13,0.134591930364,0.511322436808,0.660377358491,0.724572755932,0.6826625387,0.133241086952,0.734693877551,0.439024390244,1,49,41,16
pooled,da3__layer11__faces_concat,global,knn,106,13,0.234150773963,0.763772987171,0.424528301887,0.335324373652,0.3125,0.244574939807,0.469387755102,0.536585365854,0,49,41,16
pooled,da3__layer11__faces_concat,global,ridge,106,13,0.242382236503,0.815279461854,0.320754716981,0.27262734362,0.275573232095,0.239838603127,0.448979591837,0.243902439024,0.125,49,41,16
pooled,da3__layer11__faces_concat,main,knn,106,13,0.122110663867,0.461325225138,0.660377358491,0.622946739671,0.633141762452,0.114512054892,0.734693877551,0.634146341463,0.5,49,41,16
pooled,da3__layer11__faces_concat,main,ridge,106,13,0.118678206441,0.443024767406,0.735849056604,0.784303965489,0.745843366586,0.105921797553,0.816326530612,0.536585365854,1,49,41,16
pooled,da3__layer11__faces_global,coarse,knn,106,13,0.133169560193,0.511105591859,0.679245283019,0.711444333831,0.690211640212,0.13235552821,0.795918367347,0.463414634146,0.875,49,41,16
pooled,da3__layer11__faces_global,coarse,ridge,106,13,0.10990300028,0.428108823451,0.698113207547,0.739080388253,0.710302485774,0.11466997724,0.816326530612,0.463414634146,0.9375,49,41,16
pooled,da3__layer11__faces_global,global,knn,106,13,0.256414826793,0.835470849059,0.396226415094,0.318327940932,0.311072261072,0.243155415259,0.551020408163,0.341463414634,0.0625,49,41,16
pooled,da3__layer11__faces_global,global,ridge,106,13,0.186034946789,0.653207656798,0.481132075472,0.440984320557,0.446187508655,0.19962518038,0.571428571429,0.439024390244,0.3125,49,41,16
pooled,da3__layer11__faces_global,main,knn,106,13,0.123487411988,0.460477145133,0.745283018868,0.781058154969,0.762164502165,0.107157416477,0.795918367347,0.609756097561,0.9375,49,41,16
