family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
hohonet,global,knn,yqstnuAEVhm,厨房与用餐,hohonet__compressed__regions,4,0.16666598618,9,
hohonet,coarse,ridge,2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,0,2.56683563293e-12,8,
hohonet,coarse,ridge,7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,B6ByNegPMKs,通行与连接,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,S9hNv5qa7GM,卧室,hohonet__legacy_current,7,0.130036190152,28,
hohonet,coarse,ridge,VFuaQ6m2Qom,卫浴,hohonet__shared__global,1,0.0899428874254,16,
hohonet,coarse,ridge,Z6MFQCViBuw,厨房与用餐,hohonet__shared__global,3,0.193094104528,9,
hohonet,coarse,ridge,e9zR4mvMWw7,卧室,hohonet__encoder_stage2__global,1,0.0889862552285,27,
hohonet,coarse,ridge,e9zR4mvMWw7,复合／待定,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,jtcxE69GiFV,卧室,hohonet__shared__global,1,0.106104925275,28,
hohonet,coarse,ridge,pa4otMbVnkk,起居与休闲,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,rPc6DW4iMge,卧室,hohonet__legacy_current,10,0.112051807344,30,
hohonet,coarse,ridge,uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,uNb9QFRL6hY,卧室,hohonet__compressed__regions,7,0.138270244002,24,
hohonet,coarse,ridge,uNb9QFRL6hY,卫浴,hohonet__legacy_current,3,0.206022486091,11,
hohonet,coarse,ridge,uNb9QFRL6hY,工作与学习,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,uNb9QFRL6hY,起居与休闲,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,wc2JMjhGNzB,卧室,hohonet__encoder_stage2__regions,3,0.103878729045,28,
hohonet,coarse,ridge,wc2JMjhGNzB,卫浴,hohonet__legacy_current,3,0.0914042666554,17,
hohonet,coarse,ridge,wc2JMjhGNzB,复合／待定,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,wc2JMjhGNzB,无法判断,hohonet__compressed__global,1,inf,0,
hohonet,coarse,ridge,yqstnuAEVhm,厨房与用餐,hohonet__compressed__regions,0,0.16666598618,9,
hohonet,coarse,knn,2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,4,2.56683563293e-12,8,
hohonet,coarse,knn,7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,B6ByNegPMKs,通行与连接,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,S9hNv5qa7GM,卧室,hohonet__compressed__regions,6,0.145714193583,28,
hohonet,coarse,knn,VFuaQ6m2Qom,卫浴,hohonet__compressed__regions,5,0.131944358349,16,
hohonet,coarse,knn,Z6MFQCViBuw,厨房与用餐,hohonet__legacy_current,4,0.222221434116,9,
hohonet,coarse,knn,e9zR4mvMWw7,卧室,hohonet__encoder_stage2__global,5,0.0967077538371,27,
hohonet,coarse,knn,e9zR4mvMWw7,复合／待定,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,jtcxE69GiFV,卧室,hohonet__encoder_stage4__global,6,0.104285411537,28,
hohonet,coarse,knn,pa4otMbVnkk,起居与休闲,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,rPc6DW4iMge,卧室,hohonet__legacy_current,13,0.133333161473,30,
