family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
bilayout,coarse,knn,uNb9QFRL6hY,卧室,bilayout__fg_enclosed__global,4,0.104166246951,24,
bilayout,coarse,knn,uNb9QFRL6hY,卫浴,bilayout__fc__regions,5,0.181817755103,11,
bilayout,coarse,knn,uNb9QFRL6hY,工作与学习,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,11,0.071428284049,28,
bilayout,coarse,knn,wc2JMjhGNzB,卫浴,bilayout__fc__global,4,0.0882349386811,17,
bilayout,coarse,knn,wc2JMjhGNzB,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,wc2JMjhGNzB,无法判断,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,4,0.16666598618,9,
bilayout,main,ridge,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,0,2.56683563293e-12,8,
bilayout,main,ridge,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,B6ByNegPMKs,通行与连接,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,1,0.0545580498874,28,
bilayout,main,ridge,VFuaQ6m2Qom,卫浴,bilayout__fg_extended__regions,3,0.0549005717039,16,
bilayout,main,ridge,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,3,0.201575100422,9,
bilayout,main,ridge,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,3,0.0544826537371,27,
bilayout,main,ridge,e9zR4mvMWw7,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,jtcxE69GiFV,卧室,bilayout__fg_extended__global,0,0.0957017987967,28,
bilayout,main,ridge,pa4otMbVnkk,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,0,0.0450923889875,30,
bilayout,main,ridge,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,uNb9QFRL6hY,卧室,bilayout__fg_extended__regions,10,0.109833844006,24,
bilayout,main,ridge,uNb9QFRL6hY,卫浴,bilayout__fc__regions,3,0.188080012798,11,
bilayout,main,ridge,uNb9QFRL6hY,工作与学习,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,0,0.0502811297774,28,
bilayout,main,ridge,wc2JMjhGNzB,卫浴,bilayout__fc__global,3,0.0926652923226,17,
bilayout,main,ridge,wc2JMjhGNzB,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,wc2JMjhGNzB,无法判断,bilayout__fc__global,1,inf,0,
bilayout,main,ridge,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,0,0.136717915535,9,
bilayout,main,knn,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,4,2.56683563293e-12,8,
bilayout,main,knn,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,4,inf,0,
bilayout,main,knn,B6ByNegPMKs,通行与连接,bilayout__fc__global,4,inf,0,
bilayout,main,knn,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,main,knn,VFuaQ6m2Qom,卫浴,bilayout__fg_enclosed__global,4,0.0937497466803,16,
bilayout,main,knn,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,6,0.218880981207,9,
bilayout,main,knn,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,4,0.0925922244787,27,
bilayout,main,knn,e9zR4mvMWw7,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,main,knn,jtcxE69GiFV,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,main,knn,pa4otMbVnkk,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,main,knn,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,4,0.0833330005407,30,
bilayout,main,knn,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,4,inf,0,
bilayout,main,knn,uNb9QFRL6hY,卧室,bilayout__fg_enclosed__global,4,0.104166246951,24,
bilayout,main,knn,uNb9QFRL6hY,卫浴,bilayout__fc__regions,5,0.181817755103,11,
bilayout,main,knn,uNb9QFRL6hY,工作与学习,bilayout__fc__global,4,inf,0,
bilayout,main,knn,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,main,knn,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,11,0.071428284049,28,
bilayout,main,knn,wc2JMjhGNzB,卫浴,bilayout__fc__global,4,0.0882349386811,17,
bilayout,main,knn,wc2JMjhGNzB,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,main,knn,wc2JMjhGNzB,无法判断,bilayout__fc__global,4,inf,0,
bilayout,main,knn,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,4,0.13673530519,9,
ulayout,global,ridge,2t7WUuJeko7,厨房与用餐,ulayout__compressed__global,0,2.56683563293e-12,8,
ulayout,global,ridge,7y3sRwLe3Va,开放复合空间,ulayout__compressed__global,1,inf,0,
ulayout,global,ridge,B6ByNegPMKs,通行与连接,ulayout__compressed__global,1,inf,0,
ulayout,global,ridge,S9hNv5qa7GM,卧室,ulayout__compressed__global,3,0.0861061662436,28,
