coverage,design,feature,baseline,algorithm,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
within_coarse,within_main,selected__hohonet,main,ridge,89,11,0.100352615195,0.396631143499,0.752808988764,0.774399399399,0.770579268293,0.109321595572,0.864864864865,0.583333333333,0.875,37,36,16
within_coarse,within_main,selected__semantic,main,ridge,89,11,0.136937572651,0.542970873965,0.674157303371,0.698511011011,0.677513227513,0.13171633371,0.810810810811,0.472222222222,0.8125,37,36,16
within_coarse,within_main,selected__ulayout,main,ridge,89,11,0.107145661543,0.423803250318,0.685393258427,0.684622122122,0.681655354449,0.0940720457656,0.810810810811,0.555555555556,0.6875,37,36,16
within_main,pooled,baseline__coarse,none,frequency,85,11,0.102025507186,0.407622540306,0.764705882353,0.81981981982,0.7640825711,0.102934189193,1,0.459459459459,1,32,37,16
within_main,pooled,baseline__main,none,frequency,85,11,0.0908164432476,0.354826102869,0.811764705882,0.855855855856,0.810369353019,0.082839316297,1,0.567567567568,1,32,37,16
within_main,pooled,selected__all_models,main,ridge,85,11,0.0951049281414,0.378354269723,0.788235294118,0.835022522523,0.791812865497,0.0816118977454,0.9375,0.567567567568,1,32,37,16
within_main,pooled,selected__bilayout,main,ridge,85,11,0.0961158782795,0.372902212812,0.811764705882,0.850225225225,0.832917409388,0.0944131796745,0.875,0.675675675676,1,32,37,16
within_main,pooled,selected__da3,main,ridge,85,11,0.103372387531,0.418348455297,0.764705882353,0.814189189189,0.773174872666,0.101210939427,0.875,0.567567567568,1,32,37,16
within_main,pooled,selected__dinov3,main,ridge,85,11,0.100901643508,0.402133548064,0.764705882353,0.781531531532,0.761846405229,0.0884367249948,0.9375,0.594594594595,0.8125,32,37,16
within_main,pooled,selected__existing,main,ridge,85,11,0.085303504437,0.346993971257,0.811764705882,0.855855855856,0.810369353019,0.0740380706222,1,0.567567567568,1,32,37,16
within_main,pooled,selected__existing_plus_dino,main,ridge,85,11,0.0894704711745,0.359815511214,0.8,0.845439189189,0.80109491281,0.0776167030388,0.96875,0.567567567568,1,32,37,16
within_main,pooled,selected__feedback,main,ridge,85,11,0.075512491514,0.327354091072,0.811764705882,0.855855855856,0.810369353019,0.0614284321086,1,0.567567567568,1,32,37,16
within_main,pooled,selected__hohonet,main,ridge,85,11,0.111782572326,0.423975408893,0.741176470588,0.77393018018,0.746560612756,0.0942777689343,0.90625,0.540540540541,0.875,32,37,16
within_main,pooled,selected__semantic,main,ridge,85,11,0.0830419163893,0.333607780738,0.811764705882,0.855855855856,0.810369353019,0.0764088854572,1,0.567567567568,1,32,37,16
within_main,pooled,selected__ulayout,main,ridge,85,11,0.111142901936,0.430274289655,0.764705882353,0.803772522523,0.772102747909,0.105593083889,0.90625,0.567567567568,0.9375,32,37,16
within_main,within_coarse,selected__all_models,main,ridge,85,11,0.0629964587609,0.258987848756,0.788235294118,0.812781531532,0.786330829283,0.056391617326,0.96875,0.594594594595,0.875,32,37,16
within_main,within_coarse,selected__bilayout,main,ridge,85,11,0.0854209579421,0.348687136085,0.752941176471,0.750281531532,0.737912715139,0.0608135110517,0.96875,0.594594594595,0.6875,32,37,16
within_main,within_coarse,selected__da3,main,ridge,85,11,0.126272024886,0.51196441207,0.670588235294,0.68018018018,0.681263616558,0.118534889807,0.8125,0.540540540541,0.6875,32,37,16
within_main,within_coarse,selected__dinov3,main,ridge,85,11,0.104803061536,0.426163124041,0.635294117647,0.684403153153,0.65584045584,0.10394105941,0.71875,0.459459459459,0.875,32,37,16
within_main,within_coarse,selected__existing,main,ridge,85,11,0.0609401808662,0.250762702226,0.788235294118,0.800957207207,0.785314618791,0.0548026751562,0.96875,0.621621621622,0.8125,32,37,16
within_main,within_coarse,selected__existing_plus_dino,main,ridge,85,11,0.0616755314073,0.253704131461,0.788235294118,0.812781531532,0.786330829283,0.0553709003655,0.96875,0.594594594595,0.875,32,37,16
within_main,within_coarse,selected__feedback,main,ridge,85,11,0.0644270024942,0.264736576263,0.776470588235,0.781531531532,0.763516763517,0.0535287524385,1,0.594594594595,0.75,32,37,16
within_main,within_coarse,selected__hohonet,main,ridge,85,11,0.114057053681,0.463183986469,0.705882352941,0.739864864865,0.736111111111,0.132698579982,0.75,0.594594594595,0.875,32,37,16
within_main,within_coarse,selected__semantic,main,ridge,85,11,0.130832171985,0.530315714809,0.658823529412,0.69481981982,0.668253968254,0.126429582452,0.8125,0.459459459459,0.8125,32,37,16
within_main,within_coarse,selected__ulayout,main,ridge,85,11,0.10699373141,0.434970789791,0.647058823529,0.659346846847,0.65493697479,0.0979974100008,0.75,0.540540540541,0.6875,32,37,16
within_main,within_main,selected__all_models,main,ridge,85,11,0.0531738041951,0.212695287121,0.847058823529,0.859234234234,0.838095238095,0.0377727604323,1,0.702702702703,0.875,32,37,16
within_main,within_main,selected__bilayout,main,ridge,85,11,0.0771012721879,0.308405111498,0.811764705882,0.796734234234,0.788830532213,0.0436710956918,1,0.702702702703,0.6875,32,37,16
within_main,within_main,selected__da3,main,ridge,85,11,0.10810461681,0.432418423776,0.752941176471,0.747466216216,0.748628971899,0.0831058316642,0.90625,0.648648648649,0.6875,32,37,16
within_main,within_main,selected__dinov3,main,ridge,85,11,0.0961507908465,0.384603151596,0.682352941176,0.720439189189,0.698055245881,0.0861845888847,0.71875,0.567567567568,0.875,32,37,16
within_main,within_main,selected__existing,main,ridge,85,11,0.0511175263004,0.204470140591,0.847058823529,0.84740990991,0.836044883806,0.0361838182625,1,0.72972972973,0.8125,32,37,16
within_main,within_main,selected__existing_plus_dino,main,ridge,85,11,0.0527772111717,0.211108898649,0.847058823529,0.859234234234,0.838095238095,0.037466301824,1,0.702702702703,0.875,32,37,16
within_main,within_main,selected__feedback,main,ridge,85,11,0.0582110872101,0.232844397524,0.823529411765,0.817567567568,0.805892614848,0.0417448685541,1,0.702702702703,0.75,32,37,16
within_main,within_main,selected__hohonet,main,ridge,85,11,0.0910411978412,0.364164758174,0.776470588235,0.798141891892,0.794082125604,0.0965205122805,0.84375,0.675675675676,0.875,32,37,16
within_main,within_main,selected__semantic,main,ridge,85,11,0.129347800354,0.517391064192,0.694117647059,0.720439189189,0.702257619466,0.118928415835,0.78125,0.567567567568,0.8125,32,37,16
within_main,within_main,selected__ulayout,main,ridge,85,11,0.0981539169593,0.392615552373,0.705882352941,0.70579954955,0.704755005269,0.0812936947732,0.78125,0.648648648649,0.6875,32,37,16
