family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
hohonet,global,ridge,2t7WUuJeko7,all,hohonet__encoder_stage2__global,14,0.138355508447,101,
hohonet,global,ridge,7y3sRwLe3Va,all,hohonet__encoder_stage2__global,8,0.136441066861,102,
hohonet,global,ridge,B6ByNegPMKs,all,hohonet__encoder_stage2__global,0,0.138164386153,103,
hohonet,global,ridge,S9hNv5qa7GM,all,hohonet__encoder_stage2__global,14,0.137231707573,101,
hohonet,global,ridge,VFuaQ6m2Qom,all,hohonet__encoder_stage2__global,15,0.112242043018,100,
hohonet,global,ridge,Z6MFQCViBuw,all,hohonet__compressed__global,7,0.145758733153,102,
hohonet,global,ridge,e9zR4mvMWw7,all,hohonet__encoder_stage2__global,0,0.142838567495,99,
hohonet,global,ridge,jtcxE69GiFV,all,hohonet__encoder_stage2__global,0,0.15412376821,101,
hohonet,global,ridge,pa4otMbVnkk,all,hohonet__encoder_stage2__global,14,0.1362837255,100,
hohonet,global,ridge,rPc6DW4iMge,all,hohonet__encoder_stage2__global,0,0.130195483565,103,
hohonet,global,ridge,uNb9QFRL6hY,all,hohonet__encoder_stage2__global,16,0.142687067389,66,
hohonet,global,ridge,wc2JMjhGNzB,all,hohonet__compressed__global,8,0.163112878799,92,
hohonet,global,ridge,yqstnuAEVhm,all,hohonet__encoder_stage2__global,0,0.142536088824,102,
hohonet,global,knn,2t7WUuJeko7,all,hohonet__encoder_stage2__global,20,0.187920764089,101,
hohonet,global,knn,7y3sRwLe3Va,all,hohonet__encoder_stage4__global,13,0.185293838382,102,
hohonet,global,knn,B6ByNegPMKs,all,hohonet__encoder_stage4__global,13,0.186795949936,103,
hohonet,global,knn,S9hNv5qa7GM,all,hohonet__shared__global,13,0.183762222528,101,
hohonet,global,knn,VFuaQ6m2Qom,all,hohonet__encoder_stage2__global,20,0.178799897432,100,
hohonet,global,knn,Z6MFQCViBuw,all,hohonet__encoder_stage4__global,13,0.166862636805,102,
hohonet,global,knn,e9zR4mvMWw7,all,hohonet__encoder_stage4__global,13,0.188484713435,99,
hohonet,global,knn,jtcxE69GiFV,all,hohonet__encoder_stage4__global,20,0.173069149256,101,
hohonet,global,knn,pa4otMbVnkk,all,hohonet__encoder_stage4__global,20,0.183599829674,100,
hohonet,global,knn,rPc6DW4iMge,all,hohonet__encoder_stage2__global,20,0.183689281344,103,
hohonet,global,knn,uNb9QFRL6hY,all,hohonet__encoder_stage4__global,6,0.205454260111,66,
hohonet,global,knn,wc2JMjhGNzB,all,hohonet__shared__global,13,0.178043320775,92,
hohonet,global,knn,yqstnuAEVhm,all,hohonet__shared__global,19,0.178649023175,102,
hohonet,coarse,ridge,2t7WUuJeko7,all,hohonet__encoder_stage2__global,0,0.0930985659361,101,
hohonet,coarse,ridge,7y3sRwLe3Va,all,hohonet__encoder_stage2__global,10,0.0914536342025,102,
hohonet,coarse,ridge,B6ByNegPMKs,all,hohonet__encoder_stage2__global,0,0.0970660448074,103,
hohonet,coarse,ridge,S9hNv5qa7GM,all,hohonet__encoder_stage2__global,14,0.100518301129,101,
hohonet,coarse,ridge,VFuaQ6m2Qom,all,hohonet__encoder_stage2__global,15,0.0903703421354,100,
hohonet,coarse,ridge,Z6MFQCViBuw,all,hohonet__encoder_stage2__global,0,0.1022946015,102,
hohonet,coarse,ridge,e9zR4mvMWw7,all,hohonet__encoder_stage2__global,10,0.104798220098,99,
hohonet,coarse,ridge,jtcxE69GiFV,all,hohonet__encoder_stage2__global,7,0.0900974199176,101,
hohonet,coarse,ridge,pa4otMbVnkk,all,hohonet__encoder_stage2__global,15,0.10576724261,100,
hohonet,coarse,ridge,rPc6DW4iMge,all,hohonet__encoder_stage2__global,15,0.09607552737,103,
hohonet,coarse,ridge,uNb9QFRL6hY,all,hohonet__encoder_stage2__global,15,0.127378165722,66,
hohonet,coarse,ridge,wc2JMjhGNzB,all,hohonet__encoder_stage2__global,0,0.0925635769963,92,
hohonet,coarse,ridge,yqstnuAEVhm,all,hohonet__encoder_stage2__global,0,0.102060675621,102,
hohonet,coarse,knn,2t7WUuJeko7,all,hohonet__legacy_current,20,0.0945546403527,101,
hohonet,coarse,knn,7y3sRwLe3Va,all,hohonet__legacy_current,6,0.105856202543,102,
hohonet,coarse,knn,B6ByNegPMKs,all,hohonet__legacy_current,6,0.110742494464,103,
hohonet,coarse,knn,S9hNv5qa7GM,all,hohonet__shared__global,13,0.111118286848,101,
hohonet,coarse,knn,VFuaQ6m2Qom,all,hohonet__legacy_current,20,0.117734365165,100,
hohonet,coarse,knn,Z6MFQCViBuw,all,hohonet__legacy_current,6,0.109008193016,102,
hohonet,coarse,knn,e9zR4mvMWw7,all,hohonet__legacy_current,20,0.11694522202,99,
hohonet,coarse,knn,jtcxE69GiFV,all,hohonet__encoder_stage4__global,20,0.0922661796212,101,
hohonet,coarse,knn,pa4otMbVnkk,all,hohonet__encoder_stage2__global,6,0.132530391216,100,
hohonet,coarse,knn,rPc6DW4iMge,all,hohonet__legacy_current,20,0.114069588482,103,
hohonet,coarse,knn,uNb9QFRL6hY,all,hohonet__encoder_stage4__global,13,0.150883764029,66,
hohonet,coarse,knn,wc2JMjhGNzB,all,hohonet__refined__global,19,0.106662005186,92,
hohonet,coarse,knn,yqstnuAEVhm,all,hohonet__legacy_current,20,0.110924951732,102,
hohonet,main,ridge,2t7WUuJeko7,all,hohonet__encoder_stage2__global,14,0.0868435353041,101,
hohonet,main,ridge,7y3sRwLe3Va,all,hohonet__encoder_stage2__global,7,0.0900068283081,102,
hohonet,main,ridge,B6ByNegPMKs,all,hohonet__encoder_stage2__global,0,0.0893451794982,103,
hohonet,main,ridge,S9hNv5qa7GM,all,hohonet__encoder_stage2__global,0,0.0938161537051,101,
hohonet,main,ridge,VFuaQ6m2Qom,all,hohonet__encoder_stage2__global,0,0.0815687477589,100,
hohonet,main,ridge,Z6MFQCViBuw,all,hohonet__encoder_stage2__global,0,0.0953166633844,102,
hohonet,main,ridge,e9zR4mvMWw7,all,hohonet__encoder_stage2__regions,14,0.0943173095584,99,
hohonet,main,ridge,jtcxE69GiFV,all,hohonet__encoder_stage2__global,7,0.0793657004833,101,
hohonet,main,ridge,pa4otMbVnkk,all,hohonet__encoder_stage2__global,0,0.0944068431854,100,
hohonet,main,ridge,rPc6DW4iMge,all,hohonet__encoder_stage2__global,14,0.0896689221263,103,
hohonet,main,ridge,uNb9QFRL6hY,all,hohonet__shared__regions,0,0.105111807585,66,
hohonet,main,ridge,wc2JMjhGNzB,all,hohonet__encoder_stage2__global,0,0.0792338252068,92,
hohonet,main,ridge,yqstnuAEVhm,all,hohonet__encoder_stage2__global,0,0.0948219671845,102,
hohonet,main,knn,2t7WUuJeko7,all,hohonet__legacy_current,20,0.0887098237872,101,
hohonet,main,knn,7y3sRwLe3Va,all,hohonet__legacy_current,6,0.0971775427461,102,
hohonet,main,knn,B6ByNegPMKs,all,hohonet__legacy_current,6,0.0964094549417,103,
hohonet,main,knn,S9hNv5qa7GM,all,hohonet__shared__global,13,0.0980481654406,101,
hohonet,main,knn,VFuaQ6m2Qom,all,hohonet__legacy_current,20,0.10604916513,100,
hohonet,main,knn,Z6MFQCViBuw,all,hohonet__legacy_current,13,0.100409694016,102,
hohonet,main,knn,e9zR4mvMWw7,all,hohonet__legacy_current,20,0.0989332646132,99,
hohonet,main,knn,jtcxE69GiFV,all,hohonet__encoder_stage4__global,20,0.0784715861082,101,
hohonet,main,knn,pa4otMbVnkk,all,hohonet__legacy_current,6,0.0985644906759,100,
hohonet,main,knn,rPc6DW4iMge,all,hohonet__legacy_current,20,0.0980519354343,103,
hohonet,main,knn,uNb9QFRL6hY,all,hohonet__encoder_stage4__global,12,0.108170457184,66,
hohonet,main,knn,wc2JMjhGNzB,all,hohonet__legacy_current,13,0.0913609713316,92,
hohonet,main,knn,yqstnuAEVhm,all,hohonet__legacy_current,20,0.102577276528,102,
bilayout,global,ridge,2t7WUuJeko7,all,bilayout__fg_enclosed__global,3,0.162815138698,101,
bilayout,global,ridge,7y3sRwLe3Va,all,bilayout__fg_enclosed__global,1,0.167906880379,102,
bilayout,global,ridge,B6ByNegPMKs,all,bilayout__fg_enclosed__global,0,0.15502306819,103,
bilayout,global,ridge,S9hNv5qa7GM,all,bilayout__fg_enclosed__global,1,0.175394549966,101,
bilayout,global,ridge,VFuaQ6m2Qom,all,bilayout__fc__global,3,0.156251072884,100,
bilayout,global,ridge,Z6MFQCViBuw,all,bilayout__fg_enclosed__global,14,0.159785419703,102,
bilayout,global,ridge,e9zR4mvMWw7,all,bilayout__fg_enclosed__global,1,0.174333319068,99,
bilayout,global,ridge,jtcxE69GiFV,all,bilayout__fg_enclosed__global,0,0.164618402719,101,
bilayout,global,ridge,pa4otMbVnkk,all,bilayout__fg_enclosed__global,3,0.167797014117,100,
bilayout,global,ridge,rPc6DW4iMge,all,bilayout__fg_enclosed__global,1,0.168034419417,103,
bilayout,global,ridge,uNb9QFRL6hY,all,bilayout__fg_enclosed__global,7,0.204859733582,66,
bilayout,global,ridge,wc2JMjhGNzB,all,bilayout__fg_enclosed__global,0,0.187061116099,92,
bilayout,global,ridge,yqstnuAEVhm,all,bilayout__fg_enclosed__global,1,0.15810790658,102,
bilayout,global,knn,2t7WUuJeko7,all,bilayout__fg_extended__global,13,0.152673140168,101,
bilayout,global,knn,7y3sRwLe3Va,all,bilayout__fg_enclosed__global,13,0.154901817441,102,
bilayout,global,knn,B6ByNegPMKs,all,bilayout__fg_extended__global,13,0.154951289296,103,
bilayout,global,knn,S9hNv5qa7GM,all,bilayout__fg_extended__global,12,0.165016293526,101,
bilayout,global,knn,VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,12,0.166110813618,100,
bilayout,global,knn,Z6MFQCViBuw,all,bilayout__fg_enclosed__global,13,0.151372417808,102,
