design,feature,baseline,algorithm,stratum_type,stratum,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
pooled,baseline__coarse,none,frequency,scene,储藏与家务辅助,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__coarse,none,frequency,scene,卧室,33,6,0.136115938523,0.543881606688,0.69696969697,0.5,0.410714285714,0.128003581854,1,0,,23,10,0
pooled,baseline__coarse,none,frequency,scene,卫浴,22,3,0.126239987409,0.479957041987,0.727272727273,0.5,0.421052631579,0.132157154494,,0,1,0,6,16
pooled,baseline__coarse,none,frequency,scene,厨房与用餐,13,3,0.133414532595,0.529843507192,0.769230769231,0.5,0.434782608696,0.125876848147,1,0,,10,3,0
pooled,baseline__coarse,none,frequency,scene,复合／待定,4,2,0.0841005104081,0.250387223886,1,1,1,0.0710676669884,1,,,4,0,0
pooled,baseline__coarse,none,frequency,scene,工作与学习,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__coarse,none,frequency,scene,开放复合空间,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__coarse,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__coarse,none,frequency,scene,起居与休闲,17,2,0.0138063921325,0.0678546716183,1,1,1,0.0120474973237,,1,,0,17,0
pooled,baseline__coarse,none,frequency,scene,通行与连接,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__coarse,none,frequency,main_space,bathroom,22,3,0.126239987409,0.479957041987,0.727272727273,0.5,0.421052631579,0.132157154494,,0,1,0,6,16
pooled,baseline__coarse,none,frequency,main_space,circulation,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__coarse,none,frequency,main_space,dining,8,2,0.0768818992273,0.276432938925,1,1,1,0.0768818992275,1,,,8,0,0
pooled,baseline__coarse,none,frequency,main_space,empty,4,1,0.11602039485,0.345957312191,1,1,1,0.11602039485,1,,,4,0,0
pooled,baseline__coarse,none,frequency,main_space,kitchen,5,1,0.223866745984,0.935300416419,0.4,0.5,0.285714285714,0.223866745985,1,0,,2,3,0
pooled,baseline__coarse,none,frequency,main_space,living,21,3,0.0353812020287,0.180793886406,0.809523809524,0.809523809524,0.894736842105,0.0503897129114,,0.809523809524,,0,21,0
pooled,baseline__coarse,none,frequency,main_space,sleep,34,6,0.133436116217,0.531786055186,0.705882352941,0.5,0.413793103448,0.127251419897,1,0,,24,10,0
pooled,baseline__coarse,none,frequency,main_space,storage,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__coarse,none,frequency,main_space,work,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__coarse,none,frequency,building,2t7WUuJeko7,5,1,0.223866745984,0.935300416419,0.4,0.5,0.285714285714,0.223866745985,1,0,,2,3,0
pooled,baseline__coarse,none,frequency,building,7y3sRwLe3Va,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__coarse,none,frequency,building,B6ByNegPMKs,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__coarse,none,frequency,building,S9hNv5qa7GM,5,1,0.0713143345998,0.273500697333,1,1,1,0.0713143345997,1,,,5,0,0
pooled,baseline__coarse,none,frequency,building,VFuaQ6m2Qom,6,1,0.10754935536,0.35976287083,1,1,1,0.10754935536,,,1,0,0,6
pooled,baseline__coarse,none,frequency,building,Z6MFQCViBuw,4,1,0.0768818992273,0.276432938925,1,1,1,0.0768818992275,1,,,4,0,0
pooled,baseline__coarse,none,frequency,building,e9zR4mvMWw7,7,1,0.0720798106127,0.270545424972,1,1,1,0.0720798106129,1,,,7,0,0
pooled,baseline__coarse,none,frequency,building,jtcxE69GiFV,5,1,0.311121792749,1.26905943331,0,0,0,0.311121792749,,0,,0,5,0
pooled,baseline__coarse,none,frequency,building,pa4otMbVnkk,6,1,0.00606725497354,0.0315497258623,1,1,1,0.00606725497353,,1,,0,6,0
pooled,baseline__coarse,none,frequency,building,rPc6DW4iMge,3,1,0.0625795574555,0.240170276999,1,1,1,0.0625795574556,1,,,3,0,0
pooled,baseline__coarse,none,frequency,building,uNb9QFRL6hY,40,1,0.101248310984,0.38396338755,0.775,0.85,0.783927560838,0.101248310984,1,0.55,1,12,20,8
pooled,baseline__coarse,none,frequency,building,wc2JMjhGNzB,14,1,0.120899307458,0.460803803299,0.785714285714,0.666666666667,0.52380952381,0.120899307458,1,0,1,9,3,2
pooled,baseline__coarse,none,frequency,building,yqstnuAEVhm,4,1,0.0768818992273,0.276432938925,1,1,1,0.0768818992275,1,,,4,0,0
pooled,baseline__coarse_main,none,frequency,scene,储藏与家务辅助,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__coarse_main,none,frequency,scene,卧室,33,6,0.13781470951,0.551300651434,0.69696969697,0.5,0.410714285714,0.128664657469,1,0,,23,10,0
pooled,baseline__coarse_main,none,frequency,scene,卫浴,22,3,0.116734539025,0.465470186284,0.727272727273,0.5,0.421052631579,0.126235457575,,0,1,0,6,16
pooled,baseline__coarse_main,none,frequency,scene,厨房与用餐,13,3,0.0947925424027,0.390976096743,0.769230769231,0.5,0.434782608696,0.084036358771,1,0,,10,3,0
pooled,baseline__coarse_main,none,frequency,scene,复合／待定,4,2,0.0841005104081,0.250387223886,1,1,1,0.0710676669884,1,,,4,0,0
pooled,baseline__coarse_main,none,frequency,scene,工作与学习,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__coarse_main,none,frequency,scene,开放复合空间,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__coarse_main,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__coarse_main,none,frequency,scene,起居与休闲,17,2,0.00139444086481,0.00681347388912,1,1,1,0.00114084031432,,1,,0,17,0
pooled,baseline__coarse_main,none,frequency,scene,通行与连接,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__coarse_main,none,frequency,main_space,bathroom,22,3,0.116734539025,0.465470186284,0.727272727273,0.5,0.421052631579,0.126235457575,,0,1,0,6,16
pooled,baseline__coarse_main,none,frequency,main_space,circulation,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
