cohort,policy,comparator,metric,estimate,task_support,task_total,replicate_support,replicate_total,building_support,building_total,estimand_role,bootstrap_unit,bootstrap_draws,bootstrap_seed,bootstrap_success_draws,bootstrap_fail_draws,ci_low,ci_high,status,reason
primary_common47,F0,,stop@3,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,incremental_stop@4,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,reach5,1.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,1.0,1.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,conditional mean paid valid submissions on common valid-candidate support,5.0,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,5.0,5.0,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,F0,,conditional mean raw paid attempts on common valid-candidate support,5.0,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,5.0,5.0,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,F0,,invalid/replacement attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,metric-invalid attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,historical counterfactual support shortfall,0.0,47,47,47000,47000,12,12,historical_support_diagnostic,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,selected-output probability,0.9867021276595744,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.9698571428571429,0.998,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,autonomous non-delivery probability,0.013297872340425532,47,47,47000,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.002,0.029977777777777777,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,F0,,expert-escalation-required probability,0.0,47,47,47000,47000,12,12,expert_fallback_trigger,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,F0,,public-GT quality,0.9069468605836132,47,47,46364,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.8836833281843902,0.9322666872124127,ready,12-building block sensitivity after task-equal aggregation
