estimand_scope,fold,base_task_id,building_id,condition,policy,replicate_support,order_signature_support,candidate_permutation_n,stop_at_3_probability,incremental_stop_at_4_probability,reach5_probability,cap_resolved_probability,historical_counterfactual_support_shortfall_probability,unresolved_probability,autonomous_non_delivery_probability,expert_escalation_probability,status_probability_fixed_k5,mean_raw_paid_attempts,mean_paid_valid_submissions,mean_invalid_attempts,mean_replacement_attempts,mean_metric_invalid_attempts,mean_paid_valid_savings_vs_f0,mean_raw_paid_attempt_savings_vs_f0,mean_public_gt_quality,mean_reference_evaluable_autonomous_delivery_quality,mean_paired_complete_case_quality_delta_vs_f0,mean_reference_evaluable_autonomous_delivery_mitt_delta_vs_f0,instability_probability,corner_count_change_probability,mean_continuous_geometry_delta_vs_f0,selected_structural_invalidity_probability,selected_output_probability,supported_multimodality_probability,selected_output_replicate_support,raw_attempt_replicate_support,paid_valid_replicate_support,complete_case_quality_replicate_support,reference_evaluable_autonomous_delivery_replicate_support,paired_cost_replicate_support,paired_complete_case_quality_replicate_support,paired_reference_evaluable_autonomous_delivery_replicate_support,paired_instability_replicate_support,paired_corner_count_replicate_support,paired_geometry_delta_replicate_support,selected_structural_invalidity_replicate_support,autonomous_non_delivery_replicate_support,expert_escalation_replicate_support,paired_rows_status,status
primary_common47,policy_development_simulation,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9676446818632537,0.9676446818632537,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,0.705,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295,3.295,0.0,0.0,0.0,1.705,1.705,0.9591306015220784,0.9591306015220784,-0.008514080341175257,-0.008514080341175257,0.31,0.0,0.002767767085733799,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,M1,1000,120,5,0.101,0.325,0.574,0.0,0.0,0.574,0.574,0.574,0.0,4.473,4.473,0.0,0.0,0.0,0.527,0.527,0.9676446818632537,0.41221663447374607,0.0,-0.5554280473895076,0.0,0.0,0.0,0.0,0.426,0.0,426,1000,1000,426,1000,1000,426,1000,426,426,426,426,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9722104498395593,0.9722104498395593,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9585676553910494,0.9585676553910494,-0.01364279444850993,-0.01364279444850993,0.467,0.0,0.0041200132249339435,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9585676553910494,0.9585676553910494,-0.01364279444850993,-0.01364279444850993,0.467,0.0,0.0041200132249339435,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9521166408435916,0.9521166408435916,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9433788744194722,0.9433788744194722,-0.008737766424119348,-0.008737766424119348,0.578,0.0,0.004585597894248943,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,M1,1000,120,5,0.392,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.608,3.608,0.0,0.0,0.0,1.392,1.392,0.95389711616737,0.95389711616737,0.001780475323778437,0.001780475323778437,0.481,0.0,0.0014065640573203008,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.7339369477473546,0.7339369477473546,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.7364696029324438,0.7364696029324438,0.0025326551850891115,0.0025326551850891115,0.689,0.0,0.004574867502271708,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,M1,1000,120,5,0.405,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595,3.595,0.0,0.0,0.0,1.405,1.405,0.719929015568265,0.719929015568265,-0.01400793217908959,-0.01400793217908959,0.235,0.0,0.0011083734438916315,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.8462045667304327,0.8462045667304327,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8038930184691488,0.8038930184691488,-0.04231154826128382,-0.04231154826128382,0.703,0.0,0.014574418447494934,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,M1,1000,120,5,0.413,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.587,3.587,0.0,0.0,0.0,1.413,1.413,0.853989901778922,0.853989901778922,0.007785335048489358,0.007785335048489358,0.51,0.0,0.0018433964834670214,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.7823755160349148,0.7823755160349148,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8284054497224831,0.8284054497224831,0.04602993368756822,0.04602993368756822,0.481,0.0,0.007858785770219968,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
