worker_id,T_active_raw_median,T_active_task_adjusted,T_active_CI_lower,T_active_CI_upper,T_active_support,T_active_profile_status,T_active_bootstrap_replicates,timing_identity_level,timing_rule_version,timing_model_component,timing_interpretation,timing_model_failure_reason
1,71.0,74.5491195531411,61.70342511740184,89.37555851701427,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
10,62.5,71.36001825218594,58.34524549268173,86.97570619436877,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
11,154.0,161.28125708333985,134.5611262186055,202.57916753711095,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
12,50.5,47.91854815436137,39.83078860349473,56.63827504432913,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
13,55.0,37.78394886718438,26.664861441221547,54.13516111642424,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
14,,,,,0,not_evaluable,0,task_worker,c1_task_worker_active_time_v1,,efficiency_or_work_input_not_capability_rank,
15,212.0,246.0934460636735,196.2262234995707,291.613054617739,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
17,67.5,58.061832498809466,44.681231730840054,77.02964708956009,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
18,67.5,63.406955387786454,50.69539343658733,79.63044092667397,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
2,99.0,113.8323425588156,87.71937686886689,140.97587775662103,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
27,373.0,283.13379473482206,215.11154861530036,387.4112781415619,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
28,181.0,149.55330175365054,117.79713440165585,189.2566430739381,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
29,216.0,166.10273291726875,119.42831260659679,227.3716387471104,31,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
30,65.0,57.35859121602531,47.13700984530626,67.99158280142274,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
31,129.0,109.91198244383862,86.21126548941677,139.85828494432974,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
32,192.0,155.85719093807333,134.27590484919807,190.20579836327943,34,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
33,213.0,211.35983826517966,174.60379446412398,258.03957845667156,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
34,108.0,100.7871579686312,69.9071825230767,138.52758157690053,17,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
35,156.5,132.1641156256056,103.8482897695501,164.8678288452946,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
36,376.0,401.78660803850784,270.0267900894553,568.4077704974126,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
37,224.0,212.50621467331885,154.66946224278436,266.5286808589432,33,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_1,efficiency_or_work_input_not_capability_rank,
6,11.0,11.048526481439602,6.986918716486609,18.391671191831236,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
8,144.0,162.02244403248167,121.91803710747679,208.2611583738658,32,estimated,200,task_worker,c1_task_worker_active_time_v1,timing_component_2,efficiency_or_work_input_not_capability_rank,
