schema_version,rule_version,source_artifact,source_sha256,dependency_bundle_id,dependency_bundle_json,stage,pool,condition,validity_status,interpretation_allowed,base_task_id,building_id,valid_k,partition_status,cluster_membership_json,ambiguity_candidates_json,cluster_count,largest_cluster_support,second_cluster_support,largest_cluster_share,second_cluster_share,cluster_margin_all,cluster_margin_top2,largest_cluster_worker_ids,second_cluster_worker_ids,largest_cluster_medoid_annotation_id,largest_cluster_medoid_worker_id,largest_cluster_medoid_geometry_sha256,task_crowd_structure_status,structure_reason
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,unique,"[[""ef96b87ef5fb03c9889e"", ""53a1af9cac0415879d2f"", ""04c900e4f73f755265b3"", ""25a1ba6fcd4fbb14c433"", ""cc1c0c89b7e5fdacc836""]]",[],1,5,0,1.0,0.0,1.0,1.0,27;28;29;35;36,,cc1c0c89b7e5fdacc836,36,93398a6ca2031a0c18352e91d5ab6e81e3c7ab3cb543c42bcd48c5f0b6321799,unimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,4,unique,"[[""bbb44530a7ff92f92b27"", ""bf6d1e98afbb6306ebff"", ""9b7c8a47533d55322728""], [""456be942f0947a669713""]]",[],2,3,1,0.75,0.25,0.5,0.5,30;32;2,1,bf6d1e98afbb6306ebff,32,0b6a6a50b7e1e09aee0446cb291ff6b2c7067deaf9e0fc7909dbf9a7246a0ff5,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,5,unique,"[[""0d42858d359ebfc9e871"", ""d93ff4eb834a154c4cd4"", ""c7ef5fbf6e03cd67ae11"", ""26a3cf470c4ab78ffaea""], [""83822f0c9ce15f483174""]]",[],2,4,1,0.8,0.2,0.6,0.6,28;29;35;13,34,0d42858d359ebfc9e871,28,888bb9f4b220dd30e9d6624ca82d8f592499d74f3a82effaeaf6509bf45fca69,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,4,unique,"[[""a54fcd23c12204b62cba"", ""bb9ad0084abc09c47837"", ""70e8f5079c7b09c6af6d""], [""5ba67a30243635c3cbe3""]]",[],2,3,1,0.75,0.25,0.5,0.5,27;37;10,8,bb9ad0084abc09c47837,37,dd4ac57df933043fea61b10d9adb7ebe0816d394cd9d86ea721f3bb78627fe8a,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,unique,"[[""c498069d0547cb81a534"", ""79f3478ea5e43fc1f95a"", ""495d562be7d142d5bbc5""], [""f4b7f477de2247b38b2d""], [""974f94a2b16103ea9324""]]",[],3,3,1,0.6,0.2,0.4,0.5,27;1;2,36,495d562be7d142d5bbc5,2,2071aa96f0708cfab9be9d5dfd5981baa7d4f3c5f2d843cead925d9141bb5e9e,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,5,unique,"[[""22dcfad23c6ac14bd521"", ""381c007b1df27d00b6ab"", ""d102c6b86a1606f32bd3"", ""f8d2cd60e9a8ecf91058"", ""0cb5a7c23d9bc70208b1""]]",[],1,5,0,1.0,0.0,1.0,1.0,31;32;34;13;18,,22dcfad23c6ac14bd521,31,37107df08122c0df9c794d3656a31acb23281d1ac0754f27aee95b7b74461863,unimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,unique,"[[""8e4588afd83a55aaaa18"", ""265f63ba09442d63389c"", ""62d758541221214e1490"", ""b3eba7756056bb941dfb"", ""ead3f8ac14ab1a6ddfd9""]]",[],1,5,0,1.0,0.0,1.0,1.0,30;10;17;6;8,,62d758541221214e1490,17,336ad12c19fedd108411a46b77e459a901a625fa0f383c5f6d3541a64646c330,unimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,5,unique,"[[""df7008318a29295ca160"", ""5265086307bacf7df849""], [""72eebdfddb78a8d5da2a"", ""6e436e9879b7e6c528d0""], [""4b06a3805f8a5aeac160""]]",[],3,2,2,0.4,0.4,0.0,0.0,30;35,1;18,df7008318a29295ca160,30,029ab641e0fb5a8de64ab122fdc7c663b583eb20066fc3b74e68ddf291ed9a68,supported_multimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,4,unique,"[[""e33b39ba56ff49c56427"", ""013253d9bc0db4d66615""], [""fcb7e53adf42c4422ae7""], [""b078bba0e08aacd86658""]]",[],3,2,1,0.5,0.25,0.25,0.3333333333333333,29;34,37,e33b39ba56ff49c56427,29,26746b5597ade7701662f1b879b81a60a281d301d425fde62bc99493b32c5351,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,22,unique,"[[""0f006ad814591f20f1d7"", ""a5582527e1e55759fca4"", ""ddc38d03eaf0ed686dbe"", ""762aad63d41c0473582f"", ""944fc693a5243b08b5ee"", ""d37f314fba3b67c55956"", ""9e082eaf47377454a352"", ""779f777343654b55ad95"", ""3e053dc275632e30f220"", ""c71f04cf03f04f83010c"", ""1aa87c4e8b0db18c1ccd"", ""efdd3af8bbe9661a922f"", ""0545d5cfd8fca3b793bc"", ""a899e204555a9b64f4b5"", ""b52612c32e32fb20b8c2"", ""bbe40bd3ad25e4383c92"", ""b26eb0a9d329d8a255fd"", ""6037abe04bcfa1d308ed"", ""432d23215497f235714b"", ""58fcb37f432cd01e22a1""], [""beebb1979f052693f701""], [""1623fbedf957f0be9421""]]",[],3,20,1,0.9090909090909091,0.045454545454545456,0.8636363636363636,0.9047619047619048,27;28;29;30;31;32;33;34;35;1;10;11;12;13;15;17;18;2;6;8,36,58fcb37f432cd01e22a1,8,b8a1e62c4cf69952b52430a1c302c7979a6131c600397803edb2e0554c360dad,dominant_with_dissent,unique_complete_link_partition
