project_id,runtime_task_id,worker_id,base_task_id,condition,dataset_group,assignment_provenance,canonical_annotation_ids,canonical_annotation_count,revision_count,multiple_annotation_versions,revision_audit_status,timing_validation_basis,time_basis,timestamp_precision,timing_validation_strength,timing_protocol_deviation,annotation_exact_validated,timing_preassignment_order_status,formal_assignment_eligible,formal_assignment_exclusion_reason,timing_context_eligible,timing_context_exclusion_reason,raw_event_count,deduplicated_event_count,session_count,eligible_session_count,excluded_session_count,cross_worker_selection_event_count,task_worker_active_seconds,task_worker_time_analysis_eligible,timing_identity_level,timing_rule_version,timing_status,timing_exclusion_reason
66,3182,27,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['0f006ad814591f20f1d7'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,23,19,3,3,0,3,284.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,28,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['a5582527e1e55759fca4'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,16,16,2,2,0,3,181.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,29,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['ddc38d03eaf0ed686dbe'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,2,2,1,1,0,0,23.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,30,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['762aad63d41c0473582f'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,15,15,1,1,0,5,116.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,31,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['944fc693a5243b08b5ee'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,17,17,2,1,1,8,170.0,True,task_worker,c1_task_worker_active_time_v1,eligible_partial_session_coverage,
66,3182,32,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['d37f314fba3b67c55956'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,32,30,3,2,1,8,222.0,True,task_worker,c1_task_worker_active_time_v1,eligible_partial_session_coverage,
66,3182,33,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['9e082eaf47377454a352'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,14,14,1,1,0,0,172.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,34,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['779f777343654b55ad95'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,0,0,0,0,0,0,,False,task_worker,c1_task_worker_active_time_v1,not_evaluable,no_active_log_session
66,3182,35,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['3e053dc275632e30f220'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,13,13,1,1,0,5,144.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,36,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['beebb1979f052693f701'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,97,97,2,2,0,11,1821.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3182,37,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,original_assignment,['1623fbedf957f0be9421'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,17,17,1,1,0,0,555.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,27,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['3c91745dff848ace0009'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,22,21,1,1,0,1,385.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,28,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['0f5e3fb0af36b839fed2'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,25,24,2,2,0,0,296.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,29,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['9fe10525cafa9b114fa8'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,22,21,1,1,0,12,300.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,30,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['4bee42371b5ecdf799ee'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,11,11,1,1,0,2,126.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,31,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['169fc30c432425281989'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,22,19,2,2,0,5,141.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
66,3183,32,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Calibration_anchor,original_assignment,['e4c35e7a0869954598a0'],1,0,False,version_disposition_bound,not_applicable,,,not_applicable,,,not_applicable,True,,True,,19,18,2,2,0,3,200.0,True,task_worker,c1_task_worker_active_time_v1,eligible,
