condition,target,design,method,baseline,n,groups,delta,lo,hi,group_macro
manual,cdf_early7,same_main_cross_building,dinov3__block12__faces_concat,source_frequency,37,14,0.106486486486,0.0129011579818,0.200835227273,0.15094047619
manual,cdf_early7,same_main_cross_building,dinov3__block12__faces_global,source_frequency,37,14,0.0705405405405,-0.0194868421053,0.173033492823,0.0977261904762
manual,cdf_early7,same_main_cross_building,dinov3__block12__faces_local16,source_frequency,37,14,0.166486486486,0.0378707070707,0.306429621849,0.234535714286
manual,cdf_early7,same_main_cross_building,dinov3__block12__faces_local96,source_frequency,37,14,0.105945945946,-0.0517583841463,0.237786904762,0.120845238095
manual,cdf_early7,same_main_cross_building,dinov3__block12__panorama_global,source_frequency,37,14,0.0862162162162,-0.0100030487805,0.209668055556,0.131083333333
manual,cdf_early7,same_main_cross_building,dinov3__block12__panorama_local16,source_frequency,37,14,0.0151351351351,-0.148273097826,0.192946468298,0.03975
manual,cdf_early7,same_main_cross_building,dinov3__block12__panorama_mean,source_frequency,37,14,0.102702702703,-0.00425564348729,0.248387079832,0.188583333333
manual,cdf_early7,same_main_cross_building,dinov3__block3__faces_concat,source_frequency,37,14,0.037027027027,-0.0467904135338,0.123442471591,0.0591547619048
manual,cdf_early7,same_main_cross_building,dinov3__block3__faces_global,source_frequency,37,14,0.167027027027,0.0142851890756,0.31229952307,0.196083333333
manual,cdf_early7,same_main_cross_building,dinov3__block3__faces_local16,source_frequency,37,14,0.169459459459,0.0246577060932,0.308723642801,0.187273809524
manual,cdf_early7,same_main_cross_building,dinov3__block3__faces_local96,source_frequency,37,14,0.103513513514,-0.0322147727273,0.219406114719,0.067130952381
manual,cdf_early7,same_main_cross_building,dinov3__block3__panorama_global,source_frequency,37,14,0.168648648649,0.0761458177044,0.283338709677,0.22855952381
manual,cdf_early7,same_main_cross_building,dinov3__block3__panorama_local16,source_frequency,37,14,0.0983783783784,0.012256490952,0.210646889401,0.157392857143
manual,cdf_early7,same_main_cross_building,dinov3__block3__panorama_mean,source_frequency,37,14,0.102702702703,0.000448049872123,0.24503515625,0.206654761905
manual,cdf_early7,same_main_cross_building,dinov3__block6__faces_concat,source_frequency,37,14,0.0345945945946,-0.069550543886,0.156940217391,0.06025
manual,cdf_early7,same_main_cross_building,dinov3__block6__faces_global,source_frequency,37,14,0.0764864864865,-0.0271212121212,0.171117816092,0.0787023809524
manual,cdf_early7,same_main_cross_building,dinov3__block6__faces_local16,source_frequency,37,14,0.103513513514,-0.0482361788618,0.267341176471,0.145369047619
manual,cdf_early7,same_main_cross_building,dinov3__block6__faces_local96,source_frequency,37,14,0.0672972972973,-0.0488714157706,0.165619725064,0.0170119047619
manual,cdf_early7,same_main_cross_building,dinov3__block6__panorama_global,source_frequency,37,14,0.0756756756757,-0.0335767374517,0.175175505051,0.0757023809524
manual,cdf_early7,same_main_cross_building,dinov3__block6__panorama_local16,source_frequency,37,14,0.0397297297297,-0.0724249188312,0.152445151033,0.0234642857143
manual,cdf_early7,same_main_cross_building,dinov3__block6__panorama_mean,source_frequency,37,14,0.0335135135135,-0.0773553571429,0.14579871633,0.0214166666667
manual,cdf_early7,same_main_cross_building,dinov3__block9__faces_concat,source_frequency,37,14,0.0545945945946,-0.0504286363636,0.167972826087,0.0680833333333
manual,cdf_early7,same_main_cross_building,dinov3__block9__faces_global,source_frequency,37,14,0.0432432432432,-0.05047265625,0.12425094697,0.0254880952381
