condition,singleton_policy,max_total,medium_kind,grade_candidate,image_condition_units
manual,absolute2,6,cluster,,122
manual,absolute2,6,cluster,difficult_candidate,12
manual,absolute2,6,cluster,medium_candidate,31
manual,absolute2,6,cluster,simple_candidate,22
manual,absolute2,6,process,,151
manual,absolute2,6,process,difficult_candidate,12
manual,absolute2,6,process,medium_candidate,2
manual,absolute2,6,process,simple_candidate,22
manual,absolute2,7,cluster,,122
manual,absolute2,7,cluster,difficult_candidate,12
manual,absolute2,7,cluster,medium_candidate,31
manual,absolute2,7,cluster,simple_candidate,22
manual,absolute2,7,process,,151
manual,absolute2,7,process,difficult_candidate,12
manual,absolute2,7,process,medium_candidate,2
manual,absolute2,7,process,simple_candidate,22
manual,count_band,6,cluster,,123
manual,count_band,6,cluster,difficult_candidate,12
manual,count_band,6,cluster,medium_candidate,30
manual,count_band,6,cluster,simple_candidate,22
manual,count_band,6,process,,151
manual,count_band,6,process,difficult_candidate,12
manual,count_band,6,process,medium_candidate,2
manual,count_band,6,process,simple_candidate,22
manual,count_band,7,cluster,,122
manual,count_band,7,cluster,difficult_candidate,12
manual,count_band,7,cluster,medium_candidate,31
manual,count_band,7,cluster,simple_candidate,22
manual,count_band,7,process,,151
manual,count_band,7,process,difficult_candidate,12
manual,count_band,7,process,medium_candidate,2
manual,count_band,7,process,simple_candidate,22
manual,count_band_lenient,6,cluster,,122
manual,count_band_lenient,6,cluster,difficult_candidate,12
manual,count_band_lenient,6,cluster,medium_candidate,31
manual,count_band_lenient,6,cluster,simple_candidate,22
manual,count_band_lenient,6,process,,151
manual,count_band_lenient,6,process,difficult_candidate,12
manual,count_band_lenient,6,process,medium_candidate,2
manual,count_band_lenient,6,process,simple_candidate,22
manual,count_band_lenient,7,cluster,,119
manual,count_band_lenient,7,cluster,difficult_candidate,12
manual,count_band_lenient,7,cluster,medium_candidate,34
manual,count_band_lenient,7,cluster,simple_candidate,22
manual,count_band_lenient,7,process,,151
manual,count_band_lenient,7,process,difficult_candidate,12
manual,count_band_lenient,7,process,medium_candidate,2
manual,count_band_lenient,7,process,simple_candidate,22
manual,fixed10pct,6,cluster,,137
manual,fixed10pct,6,cluster,difficult_candidate,12
manual,fixed10pct,6,cluster,medium_candidate,22
manual,fixed10pct,6,cluster,simple_candidate,16
manual,fixed10pct,6,process,,157
manual,fixed10pct,6,process,difficult_candidate,12
manual,fixed10pct,6,process,medium_candidate,2
manual,fixed10pct,6,process,simple_candidate,16
manual,fixed10pct,7,cluster,,137
manual,fixed10pct,7,cluster,difficult_candidate,12
manual,fixed10pct,7,cluster,medium_candidate,22
manual,fixed10pct,7,cluster,simple_candidate,16
manual,fixed10pct,7,process,,157
manual,fixed10pct,7,process,difficult_candidate,12
manual,fixed10pct,7,process,medium_candidate,2
manual,fixed10pct,7,process,simple_candidate,16
semi,absolute2,6,cluster,,30
semi,absolute2,6,cluster,medium_candidate,8
semi,absolute2,6,cluster,simple_candidate,5
semi,absolute2,6,process,,38
semi,absolute2,6,process,simple_candidate,5
semi,absolute2,7,cluster,,30
semi,absolute2,7,cluster,medium_candidate,8
semi,absolute2,7,cluster,simple_candidate,5
semi,absolute2,7,process,,38
semi,absolute2,7,process,simple_candidate,5
semi,count_band,6,cluster,,27
semi,count_band,6,cluster,medium_candidate,11
semi,count_band,6,cluster,simple_candidate,5
semi,count_band,6,process,,37
semi,count_band,6,process,medium_candidate,1
semi,count_band,6,process,simple_candidate,5
semi,count_band,7,cluster,,27
semi,count_band,7,cluster,medium_candidate,11
semi,count_band,7,cluster,simple_candidate,5
semi,count_band,7,process,,37
semi,count_band,7,process,medium_candidate,1
semi,count_band,7,process,simple_candidate,5
semi,count_band_lenient,6,cluster,,27
semi,count_band_lenient,6,cluster,medium_candidate,11
semi,count_band_lenient,6,cluster,simple_candidate,5
semi,count_band_lenient,6,process,,37
semi,count_band_lenient,6,process,medium_candidate,1
semi,count_band_lenient,6,process,simple_candidate,5
semi,count_band_lenient,7,cluster,,26
semi,count_band_lenient,7,cluster,medium_candidate,12
semi,count_band_lenient,7,cluster,simple_candidate,5
semi,count_band_lenient,7,process,,37
semi,count_band_lenient,7,process,medium_candidate,1
semi,count_band_lenient,7,process,simple_candidate,5
semi,fixed10pct,6,cluster,,32
semi,fixed10pct,6,cluster,medium_candidate,8
semi,fixed10pct,6,cluster,simple_candidate,3
semi,fixed10pct,6,process,,40
semi,fixed10pct,6,process,simple_candidate,3
semi,fixed10pct,7,cluster,,32
semi,fixed10pct,7,cluster,medium_candidate,8
semi,fixed10pct,7,cluster,simple_candidate,3
semi,fixed10pct,7,process,,40
semi,fixed10pct,7,process,simple_candidate,3
