n,fixed10pct,absolute2,count_band,lenient,one_person_fraction
2,0,0,0,0,0.5
3,0,1,0,0,0.333333333333
4,0,2,1,1,0.25
5,0,2,1,1,0.2
6,0,2,1,1,0.166666666667
7,0,2,1,1,0.142857142857
8,0,2,1,1,0.125
9,0,2,2,2,0.111111111111
10,1,2,2,2,0.1
11,1,2,2,2,0.0909090909091
12,1,2,2,2,0.0833333333333
13,1,2,2,2,0.0769230769231
14,1,2,2,2,0.0714285714286
15,1,2,2,2,0.0666666666667
16,1,2,2,2,0.0625
17,1,2,3,4,0.0588235294118
18,1,2,3,4,0.0555555555556
19,1,2,3,4,0.0526315789474
20,2,2,3,4,0.05
21,2,2,3,4,0.047619047619
22,2,2,3,4,0.0454545454545
23,2,2,3,4,0.0434782608696
24,2,2,3,4,0.0416666666667
