base_task_id,condition,building_scene_id,corner_count_set,mixed_topology,a0_public_gt_quality,clean_a2_public_gt_quality,task_paired_delta_clean_a2_minus_a0,a0_status,clean_a2_status,a2_definition,evaluation_role
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,4;6,True,0.8273930469565495,0.8273930469565495,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,8,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,7y3sRwLe3Va,6;8;10,True,0.9676446818632537,0.9676446818632537,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,7y3sRwLe3Va,7;8;10,True,0.9802568312419374,0.9802568312419374,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7y3sRwLe3Va,4,False,0.9722104498395593,0.9722104498395593,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,7y3sRwLe3Va,5;6,True,0.9521166408435916,0.9558182527433389,0.0037016118997472702,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,B6ByNegPMKs,4;6,True,0.7339369477473546,0.7339369477473546,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,B6ByNegPMKs,4,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,B6ByNegPMKs,4,False,0.9772891002806026,0.9595101880877743,-0.017778912192828233,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,B6ByNegPMKs,4;5,True,0.9571598695898327,0.9571598695898327,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,B6ByNegPMKs,4;6,True,0.9125201918328744,0.9125201918328744,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,B6ByNegPMKs,4;9;10,True,0.9596907408557411,0.9596907408557411,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
