variance_scenario,total_variance,icc_scenario,icc_value,icc_estimation_status,n_tasks,n_buildings,true_delta_assumption,t_approx_power_conservative_no_cluster,clustered_simulation_power,clustered_se,design_effect,sigma_u2,sigma_e2,residual_sum_variance,df,critical_value,variance_source,icc_source,alpha,test,seed,replicates,power_is_observed_effect,current_building_capacity_status
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.005,0.1739318976089615,0.1792,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.01,0.6492747085281727,0.6458,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.011,0.7414797386285685,0.7518,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.013,0.8804057494087707,0.8924,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.015,0.9560072531722639,0.9606,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.016,0.9756193670900253,0.9778,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.018,0.9937864250343291,0.9926,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.02,0.998772692492554,0.9978,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,10,0.025,0.9999932438595625,1.0,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,9,2.2621571628,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28270817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,12,0.005,0.1901233800381884,0.1924,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,11,2.2009851601,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28272817,5000,False,within_current_13
central,0.0011430578779364888,icc_0,0.0,predeclared_sensitivity,80,12,0.01,0.6716722895090043,0.6668,0.0037799766499551435,1.0,0.0,0.0011430578779364888,0.0914446302349191,11,2.2009851601,empirical_A2_minus_A0_task_delta_variance_central_or_2x_pessimistic,unbalanced_one_way_random_effects; empirical_is_small_cluster_noisy,0.05,two_sided_t_df_J_minus_1,28272817,5000,False,within_current_13
