condition,final_scope,runtime_contexts,unique_images,canonical_rows,unique_workers,topology_replay_role
manual,in_scope,58,29,753,26,primary_development_lane
manual,oos_insufficient,2,1,26,26,separate_sensitivity_or_scope_lane
oos,oos_geometry,2,1,26,26,separate_sensitivity_or_scope_lane
oos,oos_insufficient,2,1,26,26,separate_sensitivity_or_scope_lane
oos,oos_open_boundary,4,2,52,26,separate_sensitivity_or_scope_lane
oos,oos_split_level,10,5,130,26,separate_sensitivity_or_scope_lane
semi,in_scope,36,18,468,26,separate_sensitivity_or_scope_lane
