scenario,canonical_rows,normalizer_valid_rows,normalizer_invalid_rows,unique_images,min_valid_k,max_valid_k,tasks_k_ge_5,selection_role
all_completed_combined,753,721,32,29,23,26,29,roster_or_inadmissible_sensitivity
c1_eligible_chinese,348,345,3,29,10,12,29,eligible_replay
c1_eligible_english,319,317,2,29,10,11,29,eligible_replay
c1_eligible_combined,667,662,5,29,21,23,29,eligible_replay
current20_combined,580,576,4,29,19,20,29,roster_or_inadmissible_sensitivity
c1_eligible_excluding_copy_risk,580,575,5,29,18,20,29,eligible_replay
