condition,expert_tag,draft_grade,images
manual,中等,,8
manual,中等,medium_candidate,2
manual,中等,simple_candidate,1
manual,困难,,7
manual,困难,difficult_candidate,2
manual,困难,medium_candidate,2
manual,简单,,4
manual,简单,difficult_candidate,1
manual,简单,medium_candidate,3
manual,简单,simple_candidate,3
semi,中等,,1
semi,中等,simple_candidate,1
semi,简单,,4
semi,简单,medium_candidate,1
semi,简单,simple_candidate,1
