stage,condition,contexts,panels,enumerated_fixed_variance,independent_variance,ratio
C1,manual,12,15504,1.3916319460217608e-05,1.5000905144132947e-05,0.927698650615124
C2-B,manual,1,15504,1.0079650669275717e-05,1.0079650669275715e-05,1.0000000000000002
P1,manual,24,15504,1.5058755645550109e-05,6.7183000997935015e-06,2.2414532577984967
P1,oos,5,15504,0.00010650765906880934,8.301965783650243e-05,1.2829209592571893
P1,semi,15,15504,3.8066348286938973e-05,7.700818419866882e-06,4.943156196065327
