deployment_pool_id,building_scene_id,stage,round_id,condition,base_task_id,task_id,project_id,ls_runtime_task_id,variant,a0_action_disposition,variant_action_disposition,a0_candidate_annotation_id,variant_candidate_annotation_id,changed_action,a0_gt_primary_analysis_eligible,variant_gt_primary_analysis_eligible,a0_structurally_valid,variant_structurally_valid,a0_quality_geometry_conflict,variant_quality_geometry_conflict,a0_iou_to_gt,variant_iou_to_gt,a0_delivery_adjusted_quality,variant_delivery_adjusted_quality,delta_iou_to_gt,delta_delivery_adjusted_quality,public_gt_primary_paired_evaluable,public_reference_reason,all_conflict_pool_hit,paired_conflict_exclusion,strict_conflict_exclusion,strict_paired_evaluable,strict_reference_reason,operational_corrected_reference_status,paired_evaluable,exclusion_reason
079848362f7b08ec269bef8d89a064d59a8de6f97d698844f17bb47638a1884f,uNb9QFRL6hY,C1,C1,semi,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,487,72,3381,A4-S,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
079848362f7b08ec269bef8d89a064d59a8de6f97d698844f17bb47638a1884f,uNb9QFRL6hY,C1,C1,semi,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,487,72,3381,A4-C,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
079848362f7b08ec269bef8d89a064d59a8de6f97d698844f17bb47638a1884f,uNb9QFRL6hY,C1,C1,semi,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,487,72,3381,A4-L,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
08cc8ee1eb80cb7b088a2b9db88e66333d647cfc3cc0d699af48644af2cb7601,wc2JMjhGNzB,C1,C1,semi,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,596,72,3396,A4-S,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
08cc8ee1eb80cb7b088a2b9db88e66333d647cfc3cc0d699af48644af2cb7601,wc2JMjhGNzB,C1,C1,semi,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,596,72,3396,A4-C,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
08cc8ee1eb80cb7b088a2b9db88e66333d647cfc3cc0d699af48644af2cb7601,wc2JMjhGNzB,C1,C1,semi,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,596,72,3396,A4-L,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
0a7965d967a00bd0498f454609717f0c26d95c0187ce63a37e344df38bb9e96d,x8F5xyUWy9e,C1,C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,67,3249,A4-S,selected,selected,4037a331e55f681c4016,4037a331e55f681c4016,false,true,true,true,true,false,false,0.9466076046882738,0.9466076046882738,0.9466076046882738,0.9466076046882738,0.0,0.0,True,paired_public_gt_primary,False,False,False,True,paired_strict_conflict_free,not_evaluable/source_absent,True,
0a7965d967a00bd0498f454609717f0c26d95c0187ce63a37e344df38bb9e96d,x8F5xyUWy9e,C1,C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,67,3249,A4-C,selected,selected,4037a331e55f681c4016,d8477b008e3d9ccfeff5,true,true,true,true,true,false,false,0.9466076046882738,0.9547086957261757,0.9466076046882738,0.9547086957261757,0.008101091037901909,0.008101091037901909,True,paired_public_gt_primary,False,False,False,True,paired_strict_conflict_free,not_evaluable/source_absent,True,
0a7965d967a00bd0498f454609717f0c26d95c0187ce63a37e344df38bb9e96d,x8F5xyUWy9e,C1,C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,67,3249,A4-L,selected,selected,4037a331e55f681c4016,d8477b008e3d9ccfeff5,true,true,true,true,true,false,false,0.9466076046882738,0.9547086957261757,0.9466076046882738,0.9547086957261757,0.008101091037901909,0.008101091037901909,True,paired_public_gt_primary,False,False,False,True,paired_strict_conflict_free,not_evaluable/source_absent,True,
0b0099a91d399ae2d55424ae15091d8d236ffc37aebb13b064e46726a4a5734e,uNb9QFRL6hY,C1,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,626,66,3188,A4-S,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
0b0099a91d399ae2d55424ae15091d8d236ffc37aebb13b064e46726a4a5734e,uNb9QFRL6hY,C1,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,626,66,3188,A4-C,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
0b0099a91d399ae2d55424ae15091d8d236ffc37aebb13b064e46726a4a5734e,uNb9QFRL6hY,C1,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,626,66,3188,A4-L,unresolved,unresolved,,,false,false,false,false,false,false,false,,,,,,,False,a0_or_variant_unresolved,False,False,False,False,a0_or_variant_unresolved,not_evaluable/source_absent,False,a0_or_variant_unresolved
0b3a0a198af5cabf0e0e5e18fae47854e306314d62ee78f1161e6f8e1ce7c724,yqstnuAEVhm,C1,C1,manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,67,3252,A4-S,selected,selected,76b3ab610fcfd2be4a60,76b3ab610fcfd2be4a60,false,true,true,true,true,false,false,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.0,0.0,True,paired_public_gt_primary,True,True,True,False,strict_conflict_exclusion,not_evaluable/source_absent,True,
0b3a0a198af5cabf0e0e5e18fae47854e306314d62ee78f1161e6f8e1ce7c724,yqstnuAEVhm,C1,C1,manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,67,3252,A4-C,selected,selected,76b3ab610fcfd2be4a60,76b3ab610fcfd2be4a60,false,true,true,true,true,false,false,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.0,0.0,True,paired_public_gt_primary,True,True,True,False,strict_conflict_exclusion,not_evaluable/source_absent,True,
0b3a0a198af5cabf0e0e5e18fae47854e306314d62ee78f1161e6f8e1ce7c724,yqstnuAEVhm,C1,C1,manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,67,3252,A4-L,selected,selected,76b3ab610fcfd2be4a60,76b3ab610fcfd2be4a60,false,true,true,true,true,false,false,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.8308755476028876,0.0,0.0,True,paired_public_gt_primary,True,True,True,False,strict_conflict_exclusion,not_evaluable/source_absent,True,
0cb509c4728a58ef3a0752df2917e0388b094a5092dbaa6a9962e1d488cc23de,B6ByNegPMKs,C1,C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,465,67,3213,A4-S,selected,selected,d102c6b86a1606f32bd3,d102c6b86a1606f32bd3,false,true,true,true,true,false,false,0.4363079078728435,0.4363079078728435,0.4363079078728435,0.4363079078728435,0.0,0.0,True,paired_public_gt_primary,False,False,False,True,paired_strict_conflict_free,not_evaluable/source_absent,True,
0cb509c4728a58ef3a0752df2917e0388b094a5092dbaa6a9962e1d488cc23de,B6ByNegPMKs,C1,C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,465,67,3213,A4-C,selected,selected,d102c6b86a1606f32bd3,d102c6b86a1606f32bd3,false,true,true,true,true,false,false,0.4363079078728435,0.4363079078728435,0.4363079078728435,0.4363079078728435,0.0,0.0,True,paired_public_gt_primary,False,False,False,True,paired_strict_conflict_free,not_evaluable/source_absent,True,
