variant,reference_regime,aggregation_level,building_scene_id,n,building_count,task_weighted_mean_delta,median_delta,sd_delta,delivery_adjusted_mean_delta,delivery_adjusted_n,changed_action_count,changed_only_n,changed_only_mean,direction,effect_band,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,bootstrap_replicates,bootstrap_cluster_unit
A4-S,public_gt_primary,overall,,58,9,-0.0033598089513616775,0.0,0.028921051386301876,-0.0033598089513616775,58,10,10,-0.01948689191789773,not_evaluable,no_go,-0.007085920922193251,0.003460690614523668,20260817,5000,building
A4-S,public_gt_primary,building,B6ByNegPMKs,6,1,0.0,0.0,0.0,0.0,6,0,0,,nonnegative,,,,,,
A4-S,public_gt_primary,building,UwV83HsGsw3,4,1,0.01959920959677333,0.0,0.03919841919354666,0.01959920959677333,4,1,1,0.07839683838709333,positive,,,,,,
A4-S,public_gt_primary,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-S,public_gt_primary,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-S,public_gt_primary,building,rPc6DW4iMge,7,1,-0.0071067078528653,0.0,0.01880258161907139,-0.0071067078528653,7,1,1,-0.0497469549700571,negative,,,,,,
A4-S,public_gt_primary,building,uNb9QFRL6hY,17,1,-0.008620755735382516,0.0,0.04701769545210027,-0.008620755735382516,17,5,5,-0.029310569500300553,negative,,,,,,
A4-S,public_gt_primary,building,wc2JMjhGNzB,8,1,-0.008778119810736756,0.0,0.01857167695084281,-0.008778119810736756,8,2,2,-0.035112479242947026,negative,,,,,,
A4-S,public_gt_primary,building,x8F5xyUWy9e,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-S,public_gt_primary,building,yqstnuAEVhm,11,1,-0.0006128178735106102,0.0,0.0020324869512581695,-0.0006128178735106102,11,1,1,-0.006740996608616712,negative,,,,,,
A4-C,public_gt_primary,overall,,58,9,-0.008049451458339114,0.0,0.033141082671421226,-0.008049451458339114,58,36,36,-0.012968560682879684,not_evaluable,no_go,-0.013125113216849837,0.0001710630840181186,20260817,5000,building
A4-C,public_gt_primary,building,B6ByNegPMKs,6,1,-0.011554876838399267,0.0,0.0208443618829252,-0.011554876838399267,6,2,2,-0.0346646305151978,negative,,,,,,
A4-C,public_gt_primary,building,UwV83HsGsw3,4,1,0.018907770172809313,0.0014522027088641476,0.039818904630950114,0.018907770172809313,4,3,3,0.025210360230412416,positive,,,,,,
