field,raw_value,count
difficulty,occlusion,435
difficulty,trivial,154
difficulty,reflection,97
difficulty,low_texture,77
difficulty,seam,68
difficulty,low_quality,23
scope,normal,540
scope,oos_open_boundary,54
scope,oos_geometry,34
scope,oos_split_level,13
scope,oos_insufficient,7
