condition,outer_building,method,C,status
manual,7y3sRwLe3Va,prefix,0.1,training_building_cv
manual,7y3sRwLe3Va,image_prefix,0.1,training_building_cv
manual,7y3sRwLe3Va,person_prefix,0.1,training_building_cv
manual,7y3sRwLe3Va,joint,0.1,training_building_cv
manual,7y3sRwLe3Va,interaction,0.1,training_building_cv
manual,B6ByNegPMKs,prefix,0.1,training_building_cv
manual,B6ByNegPMKs,image_prefix,0.1,training_building_cv
manual,B6ByNegPMKs,person_prefix,0.1,training_building_cv
manual,B6ByNegPMKs,joint,0.1,training_building_cv
manual,B6ByNegPMKs,interaction,0.1,training_building_cv
manual,S9hNv5qa7GM,prefix,0.1,training_building_cv
manual,S9hNv5qa7GM,image_prefix,0.1,training_building_cv
manual,S9hNv5qa7GM,person_prefix,0.1,training_building_cv
manual,S9hNv5qa7GM,joint,0.1,training_building_cv
manual,S9hNv5qa7GM,interaction,0.1,training_building_cv
manual,UwV83HsGsw3,prefix,0.1,training_building_cv
manual,UwV83HsGsw3,image_prefix,0.1,training_building_cv
manual,UwV83HsGsw3,person_prefix,0.1,training_building_cv
manual,UwV83HsGsw3,joint,0.1,training_building_cv
manual,UwV83HsGsw3,interaction,0.1,training_building_cv
manual,VFuaQ6m2Qom,prefix,0.1,training_building_cv
manual,VFuaQ6m2Qom,image_prefix,0.1,training_building_cv
manual,VFuaQ6m2Qom,person_prefix,0.1,training_building_cv
manual,VFuaQ6m2Qom,joint,0.1,training_building_cv
manual,VFuaQ6m2Qom,interaction,0.1,training_building_cv
manual,X7HyMhZNoso,prefix,0.1,training_building_cv
manual,X7HyMhZNoso,image_prefix,0.1,training_building_cv
manual,X7HyMhZNoso,person_prefix,0.1,training_building_cv
manual,X7HyMhZNoso,joint,0.1,training_building_cv
manual,X7HyMhZNoso,interaction,0.1,training_building_cv
manual,Z6MFQCViBuw,prefix,0.1,training_building_cv
manual,Z6MFQCViBuw,image_prefix,0.1,training_building_cv
manual,Z6MFQCViBuw,person_prefix,0.1,training_building_cv
manual,Z6MFQCViBuw,joint,0.1,training_building_cv
manual,Z6MFQCViBuw,interaction,0.1,training_building_cv
manual,b8cTxDM8gDG,prefix,0.1,training_building_cv
manual,b8cTxDM8gDG,image_prefix,0.1,training_building_cv
manual,b8cTxDM8gDG,person_prefix,0.1,training_building_cv
manual,b8cTxDM8gDG,joint,0.1,training_building_cv
manual,b8cTxDM8gDG,interaction,0.1,training_building_cv
manual,e9zR4mvMWw7,prefix,0.1,training_building_cv
manual,e9zR4mvMWw7,image_prefix,0.1,training_building_cv
manual,e9zR4mvMWw7,person_prefix,0.1,training_building_cv
manual,e9zR4mvMWw7,joint,0.1,training_building_cv
manual,e9zR4mvMWw7,interaction,0.1,training_building_cv
manual,jh4fc5c5qoQ,prefix,0.1,training_building_cv
manual,jh4fc5c5qoQ,image_prefix,0.1,training_building_cv
manual,jh4fc5c5qoQ,person_prefix,0.1,training_building_cv
manual,jh4fc5c5qoQ,joint,0.1,training_building_cv
manual,jh4fc5c5qoQ,interaction,0.1,training_building_cv
manual,jtcxE69GiFV,prefix,0.1,training_building_cv
manual,jtcxE69GiFV,image_prefix,0.1,training_building_cv
manual,jtcxE69GiFV,person_prefix,0.1,training_building_cv
manual,jtcxE69GiFV,joint,0.1,training_building_cv
manual,jtcxE69GiFV,interaction,0.1,training_building_cv
manual,pRbA3pwrgk9,prefix,0.1,training_building_cv
manual,pRbA3pwrgk9,image_prefix,0.1,training_building_cv
manual,pRbA3pwrgk9,person_prefix,0.1,training_building_cv
manual,pRbA3pwrgk9,joint,0.1,training_building_cv
manual,pRbA3pwrgk9,interaction,0.1,training_building_cv
manual,pa4otMbVnkk,prefix,0.1,training_building_cv
manual,pa4otMbVnkk,image_prefix,0.1,training_building_cv
manual,pa4otMbVnkk,person_prefix,0.1,training_building_cv
manual,pa4otMbVnkk,joint,0.1,training_building_cv
manual,pa4otMbVnkk,interaction,0.1,training_building_cv
manual,q9vSo1VnCiC,prefix,0.1,training_building_cv
manual,q9vSo1VnCiC,image_prefix,0.1,training_building_cv
manual,q9vSo1VnCiC,person_prefix,0.1,training_building_cv
manual,q9vSo1VnCiC,joint,0.1,training_building_cv
manual,q9vSo1VnCiC,interaction,0.1,training_building_cv
manual,rPc6DW4iMge,prefix,0.1,training_building_cv
manual,rPc6DW4iMge,image_prefix,0.1,training_building_cv
manual,rPc6DW4iMge,person_prefix,0.1,training_building_cv
manual,rPc6DW4iMge,joint,0.1,training_building_cv
manual,rPc6DW4iMge,interaction,0.1,training_building_cv
manual,uNb9QFRL6hY,prefix,0.1,training_building_cv
manual,uNb9QFRL6hY,image_prefix,0.1,training_building_cv
manual,uNb9QFRL6hY,person_prefix,0.1,training_building_cv
manual,uNb9QFRL6hY,joint,0.1,training_building_cv
manual,uNb9QFRL6hY,interaction,0.1,training_building_cv
manual,wc2JMjhGNzB,prefix,0.1,training_building_cv
manual,wc2JMjhGNzB,image_prefix,0.1,training_building_cv
manual,wc2JMjhGNzB,person_prefix,0.1,training_building_cv
manual,wc2JMjhGNzB,joint,0.1,training_building_cv
manual,wc2JMjhGNzB,interaction,0.1,training_building_cv
manual,x8F5xyUWy9e,prefix,0.1,training_building_cv
manual,x8F5xyUWy9e,image_prefix,0.1,training_building_cv
manual,x8F5xyUWy9e,person_prefix,0.1,training_building_cv
manual,x8F5xyUWy9e,joint,0.1,training_building_cv
manual,x8F5xyUWy9e,interaction,0.1,training_building_cv
manual,yqstnuAEVhm,prefix,0.1,training_building_cv
manual,yqstnuAEVhm,image_prefix,0.1,training_building_cv
manual,yqstnuAEVhm,person_prefix,0.1,training_building_cv
manual,yqstnuAEVhm,joint,0.1,training_building_cv
manual,yqstnuAEVhm,interaction,0.1,training_building_cv
manual,zsNo4HB9uLZ,prefix,0.1,training_building_cv
manual,zsNo4HB9uLZ,image_prefix,0.1,training_building_cv
manual,zsNo4HB9uLZ,person_prefix,0.1,training_building_cv
manual,zsNo4HB9uLZ,joint,0.1,training_building_cv
manual,zsNo4HB9uLZ,interaction,0.1,training_building_cv
semi,7y3sRwLe3Va,prefix,0.1,training_building_cv
semi,7y3sRwLe3Va,image_prefix,0.1,training_building_cv
semi,7y3sRwLe3Va,person_prefix,1.0,training_building_cv
semi,7y3sRwLe3Va,joint,1.0,training_building_cv
semi,7y3sRwLe3Va,interaction,1.0,training_building_cv
semi,B6ByNegPMKs,prefix,0.1,training_building_cv
semi,B6ByNegPMKs,image_prefix,0.1,training_building_cv
semi,B6ByNegPMKs,person_prefix,1.0,training_building_cv
semi,B6ByNegPMKs,joint,0.1,training_building_cv
semi,B6ByNegPMKs,interaction,0.1,training_building_cv
semi,UwV83HsGsw3,prefix,0.1,training_building_cv
semi,UwV83HsGsw3,image_prefix,0.1,training_building_cv
semi,UwV83HsGsw3,person_prefix,1.0,training_building_cv
semi,UwV83HsGsw3,joint,0.1,training_building_cv
semi,UwV83HsGsw3,interaction,0.1,training_building_cv
semi,X7HyMhZNoso,prefix,0.1,training_building_cv
semi,X7HyMhZNoso,image_prefix,0.1,training_building_cv
semi,X7HyMhZNoso,person_prefix,0.1,training_building_cv
semi,X7HyMhZNoso,joint,0.1,training_building_cv
semi,X7HyMhZNoso,interaction,0.1,training_building_cv
semi,Z6MFQCViBuw,prefix,0.1,training_building_cv
semi,Z6MFQCViBuw,image_prefix,0.1,training_building_cv
semi,Z6MFQCViBuw,person_prefix,0.1,training_building_cv
semi,Z6MFQCViBuw,joint,0.1,training_building_cv
semi,Z6MFQCViBuw,interaction,0.1,training_building_cv
semi,b8cTxDM8gDG,prefix,0.1,training_building_cv
semi,b8cTxDM8gDG,image_prefix,0.1,training_building_cv
semi,b8cTxDM8gDG,person_prefix,0.1,training_building_cv
semi,b8cTxDM8gDG,joint,0.1,training_building_cv
semi,b8cTxDM8gDG,interaction,0.1,training_building_cv
semi,e9zR4mvMWw7,prefix,0.1,training_building_cv
semi,e9zR4mvMWw7,image_prefix,0.1,training_building_cv
semi,e9zR4mvMWw7,person_prefix,0.1,training_building_cv
semi,e9zR4mvMWw7,joint,0.1,training_building_cv
semi,e9zR4mvMWw7,interaction,0.1,training_building_cv
semi,q9vSo1VnCiC,prefix,0.1,training_building_cv
semi,q9vSo1VnCiC,image_prefix,0.1,training_building_cv
semi,q9vSo1VnCiC,person_prefix,0.1,training_building_cv
