condition,k,method,image_id,building,brier,uncovered_brier,p_new_count,p_new_same_count_geometry
manual,2,closed_seed_assumes_no_novelty,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,1.7272727272727273,0.8636363636363636,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,1.0,0.5,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,0.5,0.25,0.0,0.0
