canonical_annotation_id,base_task_id,stage,stage_subset,project_id,runtime_task_id,worker_id,annotation_id,language,building_id,official_split,condition,independence_status,independence_reason,process_analysis_eligible,quality_process_pass,scope_eligible,strict_geometry_valid,strict_geometry_invalid_reason,strict_geometry_source,current_canonical_geometry_valid,formal_geometry_score_gate_passed,geometry_structurally_computable,gt_primary_analysis_eligible,peer_analysis_eligible,geometry_score,reference_regime,exclusion_reason,source_contract_note
738a28459a248984,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,1,4813,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.8102896,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
8857a2ec2d3444ba,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,10,3190,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.89381384,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
538db2a79188e4ef,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,11,3541,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.88363368,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
13f3eff18a52453b,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,12,3453,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.82478226,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
ae0b6b00e971f182,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,13,3358,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.92432388,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
8fceb8fe7a91b34c,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,14,3528,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.91534846,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
d0af5ad0523f8433,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,15,3221,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.91014272,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
07e393557408ab30,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,17,3133,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,manual_cross_worker_exact_geometry_no_parent,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.89855889,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
d7d3126eb509dcae,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,18,4697,Chinese,UwV83HsGsw3,test,manual,non_independent_confirmed,cross_worker_prior_parent_exact_geometry,True,False,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.9801039,expert_hard_single,non_independent_submission;process_failure,P1 peer eligibility intentionally not inferred from quality eligibility
ee2e59495db1c2bf,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,19,4614,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,False,odd_keypoint_count,frozen_dense42_recompute,False,False,False,False,not_materialized,,expert_hard_single,geometry_score_unavailable,P1 peer eligibility intentionally not inferred from quality eligibility
cebf574498a5a20d,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,2,4037,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.9801039,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
695653e48b0aca59,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,21,3696,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.88221191,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
bc019effee879dd8,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,6,3302,Chinese,UwV83HsGsw3,test,manual,non_independent_confirmed,cross_worker_prior_parent_exact_geometry,True,False,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.89855889,expert_hard_single,non_independent_submission;process_failure,P1 peer eligibility intentionally not inferred from quality eligibility
0e52fffeabd5cf25,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,P1,P1_manual,28,3053,8,3742,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.90165845,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
9e9998c2efb5ea77,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,1,4814,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.91058623,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
4a5ea8f6ba8ecaab,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,10,3191,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,manual_cross_worker_exact_geometry_no_parent,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.81598865,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
1a1637b695381c15,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,11,3559,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.81963229,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
f40efaca8c5d3bf1,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,12,3454,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.83416672,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
27682bb9932ff2bb,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,13,3359,Chinese,UwV83HsGsw3,test,manual,non_independent_confirmed,cross_worker_prior_parent_exact_geometry,True,False,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.81598865,expert_hard_single,non_independent_submission;process_failure,P1 peer eligibility intentionally not inferred from quality eligibility
8aa86d5f3b887423,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,14,3529,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.80921524,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
847ff1091d8cc648,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,15,3222,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.81609033,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
2794795e8c4e927b,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,17,3134,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,manual_cross_worker_exact_geometry_no_parent,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.85130704,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
174759c006c73ec0,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,18,4698,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.892121,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
cf3e0b1c47e35600,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,19,4615,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,False,odd_keypoint_count,frozen_dense42_recompute,False,False,False,False,not_materialized,,expert_hard_single,geometry_score_unavailable,P1 peer eligibility intentionally not inferred from quality eligibility
27f4ffac099bc05b,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,2,4039,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.97264227,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
1e50979e05536fe2,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,21,3697,Chinese,UwV83HsGsw3,test,manual,non_independent_suspected,cross_worker_parent_evidence_incomplete,False,True,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.82006164,expert_hard_single,non_independent_submission,P1 peer eligibility intentionally not inferred from quality eligibility
305e3cb3e8b1c4f1,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,6,3303,Chinese,UwV83HsGsw3,test,manual,non_independent_confirmed,cross_worker_prior_parent_exact_geometry,True,False,True,True,,frozen_dense42_recompute,True,True,True,False,not_materialized,0.85130704,expert_hard_single,non_independent_submission;process_failure,P1 peer eligibility intentionally not inferred from quality eligibility
823b2c9be72218a8,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,P1,P1_manual,28,3054,8,3743,Chinese,UwV83HsGsw3,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.81639735,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
8f088bc3d38ce05a,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,P1,P1_manual,28,3055,1,4815,Chinese,uNb9QFRL6hY,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.91880502,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
1707cddacfb80ad2,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,P1,P1_manual,28,3055,10,3192,Chinese,uNb9QFRL6hY,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.95502517,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
97049183eb982350,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,P1,P1_manual,28,3055,11,3560,Chinese,uNb9QFRL6hY,test,manual,independent,no_parent_or_cross_worker_exact_geometry,True,True,True,True,,frozen_dense42_recompute,True,True,True,True,not_materialized,0.96942094,expert_hard_single,,P1 peer eligibility intentionally not inferred from quality eligibility
