base_task_id,building_id,stage,full_mask_distance,boundary_distance_mean,boundary_distance_q90,wall_distance_mean,wall_distance_q90,vertical_boundary_count_disagreement,invalid_submission_rate,selected_support,strict_valid_support,full_cardinality_diverse,recovery_rate_k12,recovery_rate_k15,recovery_gain_k12_to_k15,recovery_mae_k12,recovery_mae_k15,recovery_mae_reduction_k12_to_k15,cardinality_detection_k12,cardinality_detection_k15,cardinality_detection_gain_k12_to_k15,rarefaction_replicates,mask_disagreement_rank
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,0.027604512237937282,0.005970088354557737,0.011389279106002825,0.00676322619095613,0.010589231205241793,0.08,0.038461538461538464,26,25,True,1.0,1.0,0.0,0.004161638341192397,0.0033061703309723136,0.0008554680102200833,0.505,0.584,0.07899999999999996,1000,1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,0.19400517767888337,0.027799818286840066,0.05106183515357694,0.030946278734837924,0.05733813880300752,0.08,0.038461538461538464,26,25,True,0.857,0.945,0.08799999999999997,0.0169762023042882,0.013263133188225142,0.0037130691160630596,0.5,0.585,0.08499999999999996,1000,34
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,0.2667647680420322,0.01832003587894061,0.03278308426926935,0.009136524890727016,0.020249599177172395,0.08333333333333333,0.07692307692307693,26,24,True,0.115,0.264,0.14900000000000002,0.05989271354161568,0.04422939179837185,0.015663321743243835,0.504,0.66,0.15600000000000003,1000,41
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,0.38322083153867936,0.01736568493190824,0.034217646198706285,0.010631033015326252,0.020159977485620706,0.15333333333333332,0.038461538461538464,26,25,True,0.626,0.769,0.14300000000000002,0.0265566239202169,0.020124304195768022,0.006432319724448878,0.752,0.842,0.08999999999999997,1000,42
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,0.1727028423932919,0.04673465829568736,0.06515206775255777,0.07089279537974187,0.13619389422117045,0.6630434782608695,0.07692307692307693,26,24,True,0.969,0.995,0.026000000000000023,0.014231003925105514,0.011254080616869772,0.002976923308235742,1.0,1.0,0.0,1000,30
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,0.10443924453110566,0.02533738688597823,0.044943595316602525,0.034563388894890294,0.07874049003859512,0.23550724637681159,0.07692307692307693,26,24,True,0.956,0.992,0.03600000000000003,0.013270978813466864,0.00975223221615101,0.0035187465973158544,0.909,0.971,0.061999999999999944,1000,20
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,0.0441875928212912,0.011003371092163238,0.027098624451145636,0.011922366610738639,0.02418177797434773,0.08695652173913043,0.0,23,23,True,1.0,1.0,0.0,0.00983117831170733,0.007368586617176596,0.0024625916945307334,0.528,0.649,0.121,1000,5
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,0.0468518432347479,0.009700187377157781,0.020102619404418466,0.011280241984593617,0.014391625107459727,0.0,0.038461538461538464,26,25,False,1.0,1.0,0.0,0.007556033789548487,0.006016511588713684,0.0015395222008348025,0.0,0.0,0.0,1000,6
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,P1,0.2617975432949447,0.06327821686119933,0.09899672145453052,0.08449552181598961,0.13501714027778408,0.7415384615384616,0.0,26,26,True,0.957,0.984,0.027000000000000024,0.012407784417342044,0.010081662474874156,0.002326121942467889,1.0,1.0,0.0,1000,40
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,0.1994211608524914,0.026908792921520035,0.04714613107809679,0.02627946588460201,0.04387032732452384,0.6630434782608695,0.07692307692307693,26,24,True,0.727,0.859,0.132,0.021869018580267,0.016771081813490896,0.005097936766776105,1.0,1.0,0.0,1000,35
