analysis_stratum,metric,k_type,k,estimate,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count_with_value,task_count,building_count,interpretation
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,3,0.521547619047619,0.421230625,0.6363588203463203,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,3,0.04475948924428864,0.03258512703655593,0.058411566971466204,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,3,0.5291081081081082,0.4007875,0.6175657095980311,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,5,0.647547619047619,0.5453690760869565,0.7533081395348838,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,5,0.031971485801724056,0.022649701851991933,0.041972535663807604,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,5,0.6338378378378379,0.49707035714285724,0.724464133986928,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,8,0.7506666666666667,0.6425375000000001,0.8445557971014495,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,8,0.023065262042230448,0.016224964369456158,0.030776071321334423,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,8,0.7305945945945946,0.6124564285714286,0.8067505208333333,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,10,0.804,0.6946916666666666,0.8948496865203761,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,10,0.019295440800192434,0.013549318098380128,0.02567903953928204,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,10,0.7822162162162162,0.6752400000000001,0.8513758290816326,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,12,0.8430952380952381,0.7380905303030303,0.931038782051282,42,42,12,finite historical strict-valid roster recovery; not external quality
