analysis_stratum,metric,threshold,task_equal_ecdf,task_count,interpretation
pooled_42,full_mask_distance,0.027604512237937282,0.023809523809523808,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.02865773782118246,0.047619047619047616,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.03499528678397841,0.07142857142857142,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.03739594788953475,0.09523809523809523,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.0441875928212912,0.11904761904761904,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.0468518432347479,0.14285714285714285,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.05253381103234569,0.16666666666666666,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.05341424254416824,0.19047619047619047,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.055253565715889935,0.21428571428571427,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.05852222855578818,0.23809523809523808,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.060971918440313085,0.2619047619047619,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.06457111216113183,0.2857142857142857,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.06587695858896252,0.30952380952380953,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.0662447203126673,0.3333333333333333,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
pooled_42,full_mask_distance,0.07582660788668251,0.35714285714285715,42,ECDF of task-level disagreement summaries; not a pair-pooled histogram
