analysis_stratum,weighting,k_valid,task_count,building_count,simulation_replicates_per_task,reference_interpretation,resolved_rate,resolved_rate_ci95_lower_building_bootstrap,resolved_rate_ci95_upper_building_bootstrap,resolved_rate_task_count_with_value,partition_unique_rate,partition_unique_rate_ci95_lower_building_bootstrap,partition_unique_rate_ci95_upper_building_bootstrap,partition_unique_rate_task_count_with_value,supported_multimodal_rate,supported_multimodal_rate_ci95_lower_building_bootstrap,supported_multimodal_rate_ci95_upper_building_bootstrap,supported_multimodal_rate_task_count_with_value,not_evaluable_rate,not_evaluable_rate_ci95_lower_building_bootstrap,not_evaluable_rate_ci95_upper_building_bootstrap,not_evaluable_rate_task_count_with_value,resolved_only_quality,resolved_only_quality_ci95_lower_building_bootstrap,resolved_only_quality_ci95_upper_building_bootstrap,resolved_only_quality_task_count_with_value,delivery_adjusted_quality,delivery_adjusted_quality_ci95_lower_building_bootstrap,delivery_adjusted_quality_ci95_upper_building_bootstrap,delivery_adjusted_quality_task_count_with_value
C1_primary_12,task_equal; pooled rows are image-equal,3,12,5,200,programmatically independent frozen public GT,0.7154166666666667,0.59875,0.94375,12,0.96375,0.8996153846153845,0.9940909090909091,12,0.0,0.0,0.0,12,0.28458333333333335,0.05625,0.40124999999999994,12,0.9242034401045514,0.8943346894001525,0.9678612058521253,12,0.6717534487162644,0.5462273720779112,0.9147303740647343,12
C1_primary_12,task_equal; pooled rows are image-equal,4,12,5,200,programmatically independent frozen public GT,0.7725,0.6808333333333333,0.9456249999999999,12,0.95125,0.8800000000000001,0.9904545454545454,12,0.059166666666666666,0.026875,0.0753125,12,0.16833333333333333,0.020625,0.25076923076923074,12,0.9267306448166716,0.8955428653278942,0.9721675821974223,12,0.722828102799006,0.6166042040372052,0.9203549880141888,12
C1_primary_12,task_equal; pooled rows are image-equal,5,12,5,200,programmatically independent frozen public GT,0.7329166666666667,0.641875,0.915,12,0.9541666666666666,0.8983333333333332,0.9883333333333333,12,0.16875,0.07055555555555555,0.22076923076923077,12,0.09833333333333333,0.013125000000000001,0.1476923076923077,12,0.9299135411800666,0.8982629518098075,0.9750290961888006,12,0.6882171280965044,0.5832680944197559,0.8934133494028477,12
C1_primary_12,task_equal; pooled rows are image-equal,6,12,5,200,programmatically independent frozen public GT,0.6404166666666666,0.49187500000000006,0.879375,12,0.94625,0.87,0.9875,12,0.2866666666666667,0.10812500000000001,0.37692307692307697,12,0.07291666666666667,0.0125,0.133,12,0.9308595716155621,0.9008619271169658,0.9763722956856381,12,0.6067151232160034,0.46064596723490175,0.8602468528059365,12
C1_primary_12,task_equal; pooled rows are image-equal,7,12,5,200,programmatically independent frozen public GT,0.5445833333333333,0.36888888888888893,0.8512500000000001,12,0.93875,0.87,0.9862500000000001,12,0.3879166666666667,0.135,0.514375,12,0.0675,0.01375,0.13333333333333333,12,0.9319012217678327,0.8983717802173543,0.9773533976587268,12,0.5218050095718217,0.35040129254148145,0.8341886337570561,12
C1_primary_12,task_equal; pooled rows are image-equal,8,12,5,200,programmatically independent frozen public GT,0.47791666666666666,0.29388888888888887,0.825625,12,0.92875,0.8633333333333334,0.983125,12,0.45,0.1575,0.59625,12,0.07208333333333333,0.016875,0.13666666666666666,12,0.9351856667719679,0.9013097620847861,0.9791027252967945,12,0.46261157483660653,0.27957495723966447,0.8101491444068597,12
C1_primary_12,task_equal; pooled rows are image-equal,9,12,5,200,programmatically independent frozen public GT,0.43125,0.24125000000000005,0.803125,12,0.92,0.8638461538461539,0.98,12,0.48875,0.176875,0.6446875,12,0.08,0.02,0.13749999999999998,12,0.939032419617348,0.9029004804816457,0.9793346787212336,12,0.41966615404103286,0.23247247886728958,0.7885554136939715,12
C1_primary_12,task_equal; pooled rows are image-equal,10,12,5,200,programmatically independent frozen public GT,0.4025,0.21,0.780625,12,0.9179166666666667,0.8657692307692308,0.979375,12,0.5154166666666666,0.19875000000000004,0.6737500000000001,12,0.08208333333333333,0.020625,0.1342307692307692,12,0.939707566773057,0.9001116596803942,0.9805418381221395,11,0.39266272456596507,0.20369870799975145,0.7671817791304076,12
C1_primary_12,task_equal; pooled rows are image-equal,11,12,5,200,programmatically independent frozen public GT,0.37916666666666665,0.1819230769230769,0.763125,12,0.9087500000000001,0.8678125000000001,0.97375,12,0.5295833333333333,0.21062500000000003,0.6911538461538462,12,0.09125,0.02625,0.1321875,12,0.95868335323451,0.9391333574588948,0.9818245982085343,10,0.37073941133256827,0.1761664929186489,0.7505277438955587,12
C1_primary_12,task_equal; pooled rows are image-equal,12,12,5,200,programmatically independent frozen public GT,0.36125,0.16153846153846155,0.74,12,0.8987499999999999,0.8621052631578947,0.97125,12,0.5375,0.23125,0.7015384615384617,12,0.10125,0.02875,0.13789473684210526,12,0.9714974726034601,0.9620378155920013,0.9818928232724938,8,0.3537118161996643,0.15651013464166602,0.7285705121029289,12
