metric,metric_zh,k_from,k_to,estimate,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,leave_one_building_out_min,leave_one_building_out_max,task_count,building_count,positive_task_count,zero_task_count,negative_task_count,ci_excludes_zero,equivalence_decision,interpretation
reference_free_recovery_gain_12_to_15,无reference分歧恢复率增益,12,15,0.06604761904761905,0.036975,0.09604038888888884,0.05491666666666667,0.07244736842105264,42,12,28,14,0,True,not_tested_SESOI_not_frozen,positive means better recovery of the finite full-roster disagreement
reference_free_mae_reduction_12_to_15,无reference恢复MAE下降,12,15,0.0037572221556286586,0.0025297556903576606,0.005208077518979993,0.003267508580945165,0.004012761551824307,42,12,42,0,0,True,not_tested_SESOI_not_frozen,positive means smaller recovery error
cardinality_diversity_detection_gain_12_to_15,角点数多样性检出率增益,12,15,0.05497297297297297,0.040666509433962245,0.07418227272727268,0.05008823529411764,0.06114814814814814,37,11,21,16,0,True,not_tested_SESOI_not_frozen,conditional on the full roster containing more than one boundary count
material_output_change_rate_12_to_13,新增第13条后输出发生实质变化的概率,12,13,0.020365853658536586,0.010571428571428572,0.031000000000000003,0.017631578947368422,0.023,41,11,15,26,0,True,not_tested_SESOI_not_frozen,not a quality gain; lower means more stable output
delivery_adjusted_quality_gain_12_to_13,交付规则敏感质量变化,12,13,-0.018905051751931502,-0.028496354567200392,-0.009813483862852272,-0.02131920048351233,-0.016465094796585242,41,11,9,8,24,True,not_tested_SESOI_not_frozen,non-delivery is encoded as zero and is not geometry quality
resolved_pair_quality_gain_12_to_13,两端均可交付时的几何质量变化,12,13,-0.00011643228181168302,-0.0007285776050446516,0.00039861054363875254,-0.0002813596140502898,8.385074883826282e-05,29,10,13,2,14,False,not_tested_SESOI_not_frozen,conditional on both prefixes resolving; selection-limited
reference_relative_quality_12_to_15,reference相对质量12到15平台,12,15,,,,,,0,0,,,,,not_identifiable_common_quality_support_ends_at_k13,cannot claim a 12-15 quality plateau from the current reference-ready common support
