base_task_id,building_id,stage,k_from,k_to,replicates,material_output_change_rate,mean_output_distance_when_both_resolved,delivery_adjusted_quality_gain,resolved_pair_quality_gain,resolved_pair_replicates
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,3,4,200,0.0,0.0022542648946702053,0.002520957200000001,0.002520957200000001,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,4,5,200,0.0,0.0021646440871335134,0.0010578311500000015,0.0010578311500000015,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,5,6,200,0.0,0.0016299455531219725,0.0008843206500000028,0.0008843206500000028,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,6,7,200,0.0,0.0014243722102842832,0.0007347893500000024,0.0007347893500000024,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,7,8,200,0.0,0.0012208808037575403,0.00040825595000000157,0.00040825595000000157,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,8,9,200,0.0,0.0012071018053970279,0.0003872745999999988,0.0003872745999999988,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,9,10,200,0.0,0.0008545668242661391,0.0005590765500000039,0.0005590765500000039,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,10,11,200,0.0,0.0010067768877222655,0.0009109404500000012,0.0009109404500000012,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,11,12,200,0.0,0.0007042229764899205,-0.00023672965000000047,-0.00023672965000000047,200
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,12,13,200,0.0,0.000543726893175468,-0.0004738827999999995,-0.0004738827999999995,200
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,3,4,200,0.07,0.0030469837741640706,0.041308959949999995,0.004774198064516125,186
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,4,5,200,0.04,0.002235104128339941,-0.0214307706,0.004448767894736843,190
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,5,6,200,0.04,0.0024053718537975464,-0.0354673972,0.0012510049180327859,183
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,6,7,200,0.05,0.0019968067277939933,-0.0442097832,0.0007207978034682072,173
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,7,8,200,0.04,0.0015380978064040004,-0.03753011375,-0.000823635575757578,165
