analysis_stratum,metric,task_count,building_count,mean,sd_across_tasks,minimum,q10,q25,median,q75,q90,maximum,mean_ci95_lower_building_bootstrap,mean_ci95_upper_building_bootstrap,mean_leave_one_building_out_min,mean_leave_one_building_out_max,interpretation
pooled_42,full_mask_distance,42,12,0.12630266586703098,0.08031656016463247,0.027604512237937282,0.04445401786263687,0.06187171687051777,0.1076934728204915,0.18088107236097573,0.22452564647627526,0.38322083153867936,0.10057998095957948,0.16348752032897026,0.11437746638860787,0.1320346771277779,task-equal distribution; channels are not merged
pooled_42,boundary_distance_mean,42,12,0.025122018820083462,0.016104459553782542,0.005970088354557737,0.009654821647562168,0.012002687514959155,0.018816961611675825,0.035932741958877794,0.04670640841746887,0.07025254189516769,0.021015138018518384,0.02910128431912135,0.023705416138233765,0.025927821300529185,task-equal distribution; channels are not merged
pooled_42,boundary_distance_q90,42,12,0.045976590022256465,0.03066950850924552,0.011389279106002825,0.016829867010953493,0.021747150357891473,0.03833042257272095,0.06092356605972364,0.08453024783938662,0.13339972018849805,0.03774914990373325,0.05333774806301242,0.042743069237097295,0.04702239284950931,task-equal distribution; channels are not merged
pooled_42,wall_distance_mean,42,12,0.028382487836863358,0.019866944560660835,0.0037527709270861642,0.006829391320645768,0.011936155304906059,0.025858873967840517,0.03711863794302866,0.05185753869630193,0.08449552181598961,0.02343361292771543,0.03292108003659487,0.02701387725200662,0.029265401346342815,task-equal distribution; channels are not merged
pooled_42,wall_distance_q90,42,12,0.055887258165250524,0.03897426566174604,0.006868925188499464,0.01083605490811343,0.024206437287666277,0.04829588576186186,0.08450366615130755,0.1111776037728992,0.13820914165068446,0.0441297565279737,0.06512924969031436,0.05142685010026379,0.05767992634550568,task-equal distribution; channels are not merged
pooled_42,vertical_boundary_count_disagreement,42,12,0.3675665880013706,0.32329310483916585,0.0,0.008000000000000044,0.08423913043478261,0.23,0.7219147157190635,0.8378458498023715,0.8695652173913043,0.26396126738286896,0.4354939653115604,0.3285327762466612,0.3877212828048948,task-equal distribution; channels are not merged
pooled_42,invalid_submission_rate,42,12,0.038461538461538464,0.0328999585680116,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.02975326560232221,0.05016722408026755,0.03643724696356276,0.044665012406947896,task-equal distribution; channels are not merged
pooled_42,recovery_rate_k12,42,12,0.8430952380952381,0.2524984240012453,0.115,0.4217000000000001,0.85975,0.97,1.0,1.0,1.0,0.7403065476190478,0.9323573051948052,0.8273421052631579,0.88175,task-equal distribution; channels are not merged
pooled_42,recovery_rate_k15,42,12,0.9091428571428571,0.18182550887992177,0.264,0.6943000000000001,0.9492499999999999,0.993,1.0,1.0,1.0,0.8321632843414359,0.9728165873015872,0.8997894736842105,0.9366666666666666,task-equal distribution; channels are not merged
pooled_42,recovery_gain_k12_to_k15,42,12,0.06604761904761905,0.09420034497916023,0.0,0.0,0.0,0.02350000000000002,0.09324999999999997,0.212,0.3970000000000001,0.03751189024390244,0.09573086734693877,0.05491666666666667,0.07244736842105264,task-equal distribution; channels are not merged
pooled_42,recovery_mae_k12,42,12,0.016287276096611125,0.013204533005247798,0.0021229319212110387,0.004968207447314511,0.0077876948118268145,0.012744545552080013,0.018837407038608457,0.03386459968184848,0.05989271354161568,0.011339625034293243,0.021941799296341446,0.014287260393814035,0.01735224556885997,task-equal distribution; channels are not merged
pooled_42,recovery_mae_k15,42,12,0.012530053940982468,0.009966080785519766,0.0016765975927487233,0.003744181209013857,0.006207371205549674,0.009878959346997838,0.014966837093855564,0.025960340397241363,0.04422939179837185,0.008810615235887364,0.016741318779391803,0.01101975181286887,0.013339484017035661,task-equal distribution; channels are not merged
pooled_42,recovery_mae_reduction_k12_to_k15,42,12,0.0037572221556286586,0.0032930763074042442,0.00044633432846231534,0.001220878184757775,0.0016250268528258582,0.0026007594754641375,0.004284251210798373,0.007904259284607118,0.015663321743243835,0.002528304502522183,0.005210974822508459,0.003267508580945165,0.004012761551824307,task-equal distribution; channels are not merged
P1_stage_sensitivity,full_mask_distance,30,12,0.13319036514120253,0.08742065157604698,0.027604512237937282,0.045906253700226586,0.06229011890840164,0.10543639333911693,0.1907714874146375,0.2529406505118243,0.38322083153867936,0.10116705417078603,0.17505174785924033,0.11673037692505485,0.1390025102154955,task-equal distribution; channels are not merged
P1_stage_sensitivity,boundary_distance_mean,30,12,0.025165910920096887,0.016653206330730773,0.005970088354557737,0.009554115633584548,0.012590565730820088,0.018816961611675825,0.03320467950901028,0.04706175680165459,0.07025254189516769,0.020609873004190205,0.029744216320921415,0.023851693473851975,0.025995895637234593,task-equal distribution; channels are not merged
P1_stage_sensitivity,boundary_distance_q90,30,12,0.04583315997590805,0.029914110147675598,0.011389279106002825,0.016139085971718068,0.021760484958298694,0.03900364245700226,0.06092356605972364,0.08692679500700427,0.12500579256897493,0.03682661974676263,0.052819475003324935,0.043525505784462196,0.04753088138131337,task-equal distribution; channels are not merged
P1_stage_sensitivity,wall_distance_mean,30,12,0.029220518343615654,0.02126016537260358,0.0037527709270861642,0.007358712358162874,0.012000012637103465,0.025858873967840517,0.03711863794302866,0.0666732884992922,0.08449552181598961,0.021555522819705956,0.036678560795554156,0.02731448374112,0.030742689035542663,task-equal distribution; channels are not merged
P1_stage_sensitivity,wall_distance_q90,30,12,0.058845848276788515,0.04131439602516498,0.006868925188499464,0.012306071562723992,0.021897041305389664,0.05438290561381605,0.09195086660413379,0.11425283256997547,0.13820914165068446,0.040737223609366054,0.0742481644161425,0.05222274879856734,0.06184525555089695,task-equal distribution; channels are not merged
P1_stage_sensitivity,vertical_boundary_count_disagreement,30,12,0.3400214181953312,0.3174829297013442,0.0,0.0,0.08083333333333334,0.22833333333333333,0.6630434782608695,0.8370553359683796,0.8695652173913043,0.2348853170817189,0.43176693063195026,0.3134370980190378,0.36607318071086187,task-equal distribution; channels are not merged
P1_stage_sensitivity,invalid_submission_rate,30,12,0.05384615384615385,0.025948641063969442,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.04524886877828055,0.06307692307692307,0.0521978021978022,0.057692307692307696,task-equal distribution; channels are not merged
