analysis_stratum,metric,task_count,building_count,mean,sd_across_tasks,minimum,q10,q25,median,q75,q90,maximum,mean_ci95_lower_building_bootstrap,mean_ci95_upper_building_bootstrap,mean_leave_one_building_out_min,mean_leave_one_building_out_max,interpretation
pooled_42,full_mask_distance,42,12,0.12630266586703098,0.08031656016463247,0.027604512237937282,0.04445401786263687,0.06187171687051777,0.1076934728204915,0.18088107236097573,0.22452564647627526,0.38322083153867936,0.10057998095957948,0.16348752032897026,0.11437746638860787,0.1320346771277779,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_rate_k12,30,12,0.8089,0.27448024236413787,0.115,0.3025,0.65125,0.961,1.0,1.0,1.0,0.7102830357142856,0.9109576086956519,0.7853461538461538,0.8441923076923077,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_rate_k15,30,12,0.8929666666666667,0.19396755564701576,0.264,0.6693000000000001,0.8614999999999999,0.9924999999999999,1.0,1.0,1.0,0.8217082175925926,0.9648898809523809,0.877576923076923,0.9189259259259259,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_gain_k12_to_k15,30,12,0.08406666666666668,0.10531854253785916,0.0,0.0,0.0,0.029000000000000026,0.14025,0.22240000000000004,0.3970000000000001,0.0458517094017094,0.1192858082706767,0.07038461538461539,0.09223076923076924,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_mae_k12,30,12,0.0176925381971692,0.013994543122888937,0.0021229319212110387,0.0048214170649545805,0.010263435623641562,0.013176142750142422,0.02152698911624883,0.03576292315550769,0.05989271354161568,0.012102164647515809,0.023064602033707606,0.01582780022773908,0.018990748091817423,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_mae_k15,30,12,0.013632453745970404,0.010540743846563533,0.0016765975927487233,0.0036518972852886233,0.0077163035528955495,0.010132888551485137,0.01648938228282138,0.02763629828269574,0.04422939179837185,0.009417645587274844,0.01757912220424979,0.012272473451731375,0.014619381910072133,task-equal distribution; channels are not merged
P1_stage_sensitivity,recovery_mae_reduction_k12_to_k15,30,12,0.004060084451198794,0.0035183866998784808,0.00044633432846231534,0.0011695197796659574,0.0017317048396532841,0.002937057683478803,0.005037606833427448,0.008126624872811954,0.015663321743243835,0.002711448589290416,0.0054922564767597715,0.0035553267760077057,0.004371366181745289,task-equal distribution; channels are not merged
C1_stage_sensitivity,full_mask_distance,12,5,0.10908341768160214,0.05867534857223271,0.02865773782118246,0.0456210563947409,0.06305889125979591,0.11494352153697909,0.14363846917704273,0.18561592922639567,0.21569254231033766,0.0657211368172307,0.1418100835945132,0.09723748302887847,0.12144663157690808,task-equal distribution; channels are not merged
C1_stage_sensitivity,boundary_distance_mean,12,5,0.025012288570049904,0.015346740495939181,0.009226610127568827,0.011057059828323258,0.011884709323926452,0.020476640054132803,0.03638078199745858,0.04548678956922455,0.054450597443030824,0.015975533569390046,0.03357885737111213,0.021788954377103716,0.027892132643238254,task-equal distribution; channels are not merged
C1_stage_sensitivity,boundary_distance_q90,12,5,0.04633516513812751,0.03386127201813131,0.015487573363455631,0.020747113561064602,0.02206091934078721,0.03380737531274097,0.056744812013970886,0.07466023998043476,0.13339972018849805,0.028538496735784277,0.06865037661114108,0.03728784691265487,0.05189844851920138,task-equal distribution; channels are not merged
C1_stage_sensitivity,wall_distance_mean,12,5,0.02628741156998262,0.016517014990367052,0.005081192657504678,0.007126670538790485,0.01173940564279016,0.024498877053012076,0.03616463177362364,0.04983587649544771,0.05200507233518908,0.01586662211486707,0.034213976848686066,0.023816866884988068,0.02975832846954067,task-equal distribution; channels are not merged
C1_stage_sensitivity,wall_distance_q90,12,5,0.048490782886405556,0.03283586823182604,0.008668410072786514,0.011923440645614715,0.024255755914303376,0.042159532545749584,0.06376321487976942,0.08746028838879152,0.11605197189330604,0.03051335683463252,0.06532303879180475,0.043597641627632064,0.05470475762446003,task-equal distribution; channels are not merged
C1_stage_sensitivity,vertical_boundary_count_disagreement,12,5,0.43642951251646905,0.3414569676514799,0.0,0.08695652173913043,0.08695652173913043,0.46640316205533594,0.7717391304347826,0.8351778656126483,0.8458498023715415,0.19713438735177866,0.5678524374176548,0.30999435347261434,0.4984189723320158,task-equal distribution; channels are not merged
C1_stage_sensitivity,invalid_submission_rate,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_rate_k12,12,5,0.9285833333333333,0.1668839871033622,0.407,0.9236000000000001,0.93875,0.9855,1.0,1.0,1.0,0.7989,0.996375,0.9028571428571428,0.9794,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_rate_k15,12,5,0.9495833333333333,0.1467610663836312,0.485,0.969,0.9824999999999999,0.9964999999999999,1.0,1.0,1.0,0.8346,0.999,0.9208571428571428,0.9941,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_gain_k12_to_k15,12,5,0.020999999999999994,0.02707229378735925,0.0,0.0,0.0,0.01100000000000001,0.03025,0.06159999999999995,0.07800000000000001,0.0026250000000000023,0.035700000000000016,0.01469999999999999,0.025199999999999993,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_mae_k12,12,5,0.012774120845215946,0.01071034980770496,0.003025146624564125,0.0056833428764097695,0.00685054788341664,0.01058858627150775,0.013602060276887425,0.01615824616084999,0.04430619720134199,0.00742198890115099,0.02067687593329732,0.009568355462900021,0.014178162563936544,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_mae_k15,12,5,0.009774054428512627,0.00810452909956517,0.0024178550504353555,0.004259322271292238,0.005243127760207701,0.008291152012948163,0.010751046092782489,0.011910944691144162,0.033636897502306785,0.005821938803035446,0.01599002905495895,0.007295037427691796,0.010809084803565853,task-equal distribution; channels are not merged
C1_stage_sensitivity,recovery_mae_reduction_k12_to_k15,12,5,0.0030000664167033194,0.002628427204053801,0.0006072915741287695,0.0014202882639357992,0.0016260818291176024,0.002297434258559588,0.00335248140539231,0.004247301469705829,0.010669299699035205,0.001572027702923061,0.004846144054329622,0.002273318035208225,0.0033690777603706907,task-equal distribution; channels are not merged
