analysis_stratum,task_count,building_count,quality_eligible_annotation_count,aggregation,individual_quality_mean,individual_quality_mean_ci95_lower_building_bootstrap,individual_quality_mean_ci95_upper_building_bootstrap,individual_quality_mean_task_count_with_value,individual_quality_median,individual_quality_median_ci95_lower_building_bootstrap,individual_quality_median_ci95_upper_building_bootstrap,individual_quality_median_task_count_with_value,individual_quality_q25,individual_quality_q25_ci95_lower_building_bootstrap,individual_quality_q25_ci95_upper_building_bootstrap,individual_quality_q25_task_count_with_value,individual_quality_q75,individual_quality_q75_ci95_lower_building_bootstrap,individual_quality_q75_ci95_upper_building_bootstrap,individual_quality_q75_task_count_with_value
C1_primary_12,12,5,263,task-equal summary of within-task individual-quality distributions,0.9095435212621864,0.8874037214997303,0.9480247733294922,12,0.9171273830996691,0.8875484444973663,0.9669814122230768,12,0.8907251885309734,0.8621766875874357,0.9368623776108033,12,0.9431305410783182,0.9207199792856373,0.9776900696522488,12
P1_sensitivity_29,29,11,507,task-equal summary of within-task individual-quality distributions,0.8832425807557807,0.8511807711266447,0.911790858615441,29,0.8920521181034483,0.8577382252366071,0.9184082974369565,29,0.8589103029310344,0.8127691873529829,0.8949418569791666,29,0.9166061188793103,0.8942456675603961,0.9372284474643879,29
P1_excluding_revision_28,28,11,489,task-equal summary of within-task individual-quality distributions,0.8825524356637252,0.8496373929370199,0.9113694368633956,28,0.89110275125,0.8573722922004311,0.9183717763822463,28,0.8574006816964286,0.8118510074609375,0.8953931906057062,28,0.9155983848214286,0.8935246965052085,0.937080936872619,28
pooled_image_equal_41,41,11,770,task-equal summary of within-task individual-quality distributions,0.8909404170015579,0.8640479056905216,0.9110600013324918,41,0.8993912200535618,0.8722749439759346,0.9182033307651238,41,0.868221976765163,0.8305749413840108,0.893164716159313,41,0.9243693644009712,0.9060999016431651,0.9374999130677503,41
