worker_id,round_id,family,n_observed,n_fail,failure_rate,support_status,interpretation_level,interpretation_allowed,source_stages,profile_version
31,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
31,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
31,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
31,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
32,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
33,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
34,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
35,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
36,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
37,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
6,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,worker_caused_structural_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,geometry_quality_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,scope_oos_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,semi_correction_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,undercoverage_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
8,C1,process_failure,0,0,,insufficient,none,false,,worker_profile_sidecar_C1_v1
