round_id,project_id,ls_runtime_task_id,worker_id,annotation_id,canonical_annotation_id,active_time,active_time_source,active_time_match_status,active_time_source_file,active_time_session_count,active_time_event_count,unassigned_active_time_seconds,unknown_annotation_event_count,unknown_annotation_session_count,known_unknown_oscillation_flag,unassigned_audit_present,unassigned_active_time_exclusion_reason,active_time_integrity_status,system_collection_issue,active_time_exclusion_reason,audit_only,primary_active_time_eligible,sensitivity_active_time_eligible
C1,66,3182,27,5817,0f006ad814591f20f1d7,448.71500000000003,lead_time_fallback,missing,,0,0,59.0,3,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,28,5763,a5582527e1e55759fca4,178.975,lead_time_fallback,missing,,0,0,9.0,3,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,29,6359,ddc38d03eaf0ed686dbe,266.194,lead_time_fallback,missing,,0,0,0.0,0,0,false,false,,lead_time_fallback,false,,false,false,true
C1,66,3182,30,5998,762aad63d41c0473582f,200.773,lead_time_fallback,missing,,0,0,48.0,5,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,31,5934,944fc693a5243b08b5ee,184.994,lead_time_fallback,missing,,0,0,70.0,9,2,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,32,6347,d37f314fba3b67c55956,267.398,lead_time_fallback,missing,,0,0,70.0,10,3,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,33,5762,9e082eaf47377454a352,921.478,lead_time_fallback,missing,,0,0,1.0,1,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,34,5875,779f777343654b55ad95,149.289,lead_time_fallback,missing,,0,0,0.0,0,0,false,false,,lead_time_fallback,false,,false,false,true
C1,66,3182,35,5921,3e053dc275632e30f220,163.673,lead_time_fallback,missing,,0,0,27.0,5,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,36,5861,beebb1979f052693f701,2178.514,lead_time_fallback,missing,,0,0,569.0,12,2,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3182,37,5862,1623fbedf957f0be9421,555.0,log,project+task+annotator,active_times_2026-07-06.jsonl,1,17,0.0,0,0,false,false,,task_level_fallback,false,,false,false,true
C1,66,3183,27,5842,3c91745dff848ace0009,508.353,lead_time_fallback,missing,,0,0,20.0,1,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3183,28,5764,0f5e3fb0af36b839fed2,458.52,lead_time_fallback,missing,,0,0,0.0,0,0,false,false,,lead_time_fallback,false,,false,false,true
C1,66,3183,29,6419,9fe10525cafa9b114fa8,140.009,lead_time_fallback,missing,,0,0,300.0,13,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3183,31,5937,169fc30c432425281989,175.809,lead_time_fallback,missing,,0,0,29.0,7,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
C1,66,3183,32,6348,e4c35e7a0869954598a0,202.898,lead_time_fallback,missing,,0,0,24.0,5,1,false,true,unknown_annotation_audit_only,lead_time_fallback,true,,false,false,true
