schema_version,rule_version,source_artifact,source_sha256,dependency_bundle_id,dependency_bundle_json,stage,pool,condition,validity_status,interpretation_allowed,worker_id,label_family,n_responses,trivial_rate,acceptable_rate,any_specific_label_rate,multi_select_rate_given_specific,mean_specific_label_count,frequent_label_combinations,routing_eligible
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,1,difficulty,32,0.34375,0.0,0.65625,0.047619,0.6875,"{""low_texture"": 2, ""low_texture;occlusion"": 1, ""occlusion"": 17, ""reflection"": 1, ""trivial"": 11}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,1,model_issue,32,0.0,0.0,0.09375,0.0,0.09375,"{""none"": 29, ""over_parsing"": 1, ""overextend_adjacent"": 1, ""underextend"": 1}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,10,difficulty,31,0.16129,0.0,0.83871,0.269231,1.064516,"{""low_texture"": 2, ""low_texture;occlusion"": 1, ""low_texture;reflection"": 1, ""occlusion"": 15, ""occlusion;reflection"": 3, ""occlusion;seam"": 1, ""reflection"": 1, ""reflection;seam"": 1, ""seam"": 1, ""trivial"": 5}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,10,model_issue,31,0.0,0.0,0.096774,0.666667,0.16129,"{""corner_drift;overextend_adjacent"": 2, ""none"": 28, ""over_parsing"": 1}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,11,difficulty,31,0.419355,0.0,0.580645,0.055556,0.612903,"{""low_quality"": 1, ""low_texture"": 3, ""low_texture;occlusion"": 1, ""occlusion"": 11, ""reflection"": 2, ""trivial"": 13}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,11,model_issue,31,0.0,0.0,0.096774,0.333333,0.129032,"{""corner_drift"": 2, ""corner_drift;topology_failure"": 1, ""none"": 28}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,12,difficulty,32,0.125,0.0,0.875,0.392857,1.25,"{""low_texture;occlusion"": 5, ""low_texture;reflection"": 1, ""low_texture;reflection;seam"": 1, ""low_texture;seam"": 1, ""occlusion"": 15, ""occlusion;reflection"": 2, ""occlusion;seam"": 1, ""reflection"": 2, ""trivial"": 4}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,12,model_issue,32,0.0,0.0,0.03125,1.0,0.0625,"{""corner_duplicate;over_parsing"": 1, ""none"": 31}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,13,difficulty,33,0.151515,0.0,0.848485,0.285714,1.151515,"{""low_texture"": 3, ""low_texture;occlusion;reflection"": 2, ""occlusion"": 16, ""occlusion;reflection"": 2, ""occlusion;seam"": 4, ""reflection"": 1, ""trivial"": 5}",false
paper_a_vfinal_sidecar_v1,meta_label_three_state_v3,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,9ade48ba328b425f8d5b18882141da5fafae4bc231afe28d59362b4ae73d18b8,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,,,dry_run,false,13,model_issue,33,0.0,0.0,0.090909,0.0,0.090909,"{""none"": 30, ""over_parsing"": 2, ""overextend_adjacent"": 1}",false
