worker_id,round_id,r_u_calib,r_u_calib_lcb,r_u_calib_ci_low,r_u_calib_ci_high,r_geometry_u,geometry_reliability_status,geometry_reliability_exclusion_reason,r_scope_u,correction_reliability_u,coverage_reliability_u,blind_trust_or_correction_failure_rate,undercoverage_failure_rate,T_u,U_u,T_u_direction,U_u_direction,process_reliability,profile_confidence,protocol_confidence,diagnostic_profile_confidence,profile_confidence_notes,n_calib_support,n_geometry_support,n_scope_support,n_semi_support,n_semi_issue_recognition_support,n_semi_geometry_correction_support,n_undercoverage_support,n_process_support,n_process_forensic_audit,calib_support_status,geometry_support_status,scope_support_status,semi_support_status,semi_issue_recognition_support_status,semi_geometry_correction_support_status,undercoverage_support_status,process_support_status,profile_version,profile_freeze_status,notes,n_total_tasks,n_primary_active_time_tasks,n_fallback_tasks,n_sensitivity_active_time,forensic_timing_audit_count,n_missing_time_tasks,primary_active_time_coverage,fallback_only_flag,long_open_draft_count,parent_derived_timing_count,timing_evidence_status,p1_geometry_iou_median,p1_geometry_component,p1_geometry_support_status
1,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,32,0,0,0,0,0,0.000000,false,0,0,unavailable,,,
10,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,31,0,31,31,0,0,0.000000,true,0,0,fallback_only,,,
11,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,31,0,31,31,0,0,0.000000,true,0,0,fallback_only,,,
12,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,32,0,32,32,0,0,0.000000,true,0,0,fallback_only,,,
13,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,33,0,33,33,0,0,0.000000,true,0,0,fallback_only,,,
14,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,0,0,0,0,0,0,,false,0,0,unavailable,,,
15,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,0,0,0,0,0,0,,false,0,0,unavailable,,,
17,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,28,0,28,28,0,0,0.000000,true,0,0,fallback_only,,,
18,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,0,0,0,0,0,0,,false,0,0,unavailable,,,
2,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,32,0,30,30,0,0,0.000000,true,0,0,fallback_only,,,
27,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,33,0,32,32,0,0,0.000000,true,0,0,fallback_only,,,
28,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,33,0,33,33,0,0,0.000000,true,0,0,fallback_only,,,
29,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,33,0,33,33,0,0,0.000000,true,0,0,fallback_only,,,
30,C1,,,,,,not_evaluable,insufficient_compatible_geometry_components,,,,,,,,higher_is_worse_failure_rate,higher_is_worse_failure_rate,,insufficient,insufficient,insufficient,protocol_confidence_from_calibration_support;diagnostic_profile_confidence_from_non_protocol_dimensions,0,0,0,0,0,0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,insufficient,worker_profile_sidecar_C1_v1,C1_provisional,sidecar_only_no_prescreen_writeback,32,0,32,32,0,0,0.000000,true,0,0,fallback_only,,,
