design_id,common_anchor_count,bridge_per_worker,unique_bridge_tasks,min_task_support,n_assignments,projected_max_ci_half_width,worker_task_graph_connected,stratum_balance_valid,design_method,feasible,failure_reason
rehearsal_a2_b2_u6,2,2,6,2,92,0.43826932358995874,true,true,candidate_projection_or_dryrun_fallback,true,
rehearsal_a3_b3_u9,3,3,9,2,138,0.37040518354904267,true,true,candidate_projection_or_dryrun_fallback,true,
rehearsal_a4_b4_u9,4,4,9,2,184,0.32666666666666666,true,true,candidate_projection_or_dryrun_fallback,true,
