feature,stratum,excluded,reason,n_test
dinov3__block9__faces_local96,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2
dinov3__block9__faces_local96,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4
dinov3__block9__faces_local96,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7
dinov3__block9__faces_local96,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4
dinov3__block9__faces_local96,无法判断,wc2JMjhGNzB,no_training_in_stratum,1
dinov3__block9__faces_local96,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17
dinov3__block9__faces_local96,通行与连接,B6ByNegPMKs,no_training_in_stratum,3
