condition,image_a,image_b,n_a,n_b,point_disagreement_a,point_disagreement_b,modes_a,modes_b,geometry_a,geometry_b,late_novelty_a,late_novelty_b,late_novelty_gap
manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,22,23,0.822510822511,0.826086956522,1,6,0.126127869842,0.123682529476,0.73,0.384545454545,0.345454545455
manual,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,24,23,0.300724637681,0.320158102767,2,3,0.0276600046382,0.0420133613513,0.0441666666667,0.219090909091,0.174924242424
semi,Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,24,24,0.289855072464,0.300724637681,3,3,0.0569505314899,0.049745027015,0.0183333333333,0.1775,0.159166666667
manual,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,23,23,0.810276679842,0.826086956522,6,6,0.104060511475,0.123682529476,0.227272727273,0.384545454545,0.157272727273
