image_id,condition,cut,n,mean_abs_seen_count_difference,mean_abs_supported_count_difference,max_abs_supported_count_difference
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,3,0,0,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,3,0,0,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,3,0,0,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,3,0.00777777777767,0.00777777777767,0.023333333333
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,3,0,0,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,3,0,0,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,1,0,0,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,1,0,0,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,1,0,0,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,5,4.4408920985e-17,1.11022302463e-17,5.55111512313e-17
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,0.028,0.006,0.03
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,5,0.028,0.012,0.06
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.05,24,0.292337962963,0.358522544283,0.633318077803
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.2,24,0,0,0
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,0.191274154589,0.0983574879227,0.221304347826
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,0.0424427243447,0.0360620892371,0.100869565217
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.2,24,0.0868055555556,0.0515821256037,0.119130434782
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.05,5,0.01,0.01,0.03
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,5,0.014,0.014,0.03
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.2,5,0.018,0.018,0.06
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,1.33334084514e-12,1.9428902931e-16,6.66133814778e-16
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,0.025,0.0250000000001,0.05
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.2,6,0.0166666666667,0.0166666666666,0.056666666666
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,6,0.028888888889,0.015,0.05
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,6,0.0227777777783,0.0166666666667,0.06
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,6,0.015,0.01,0.05
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.05,4,0,0,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.1,4,0,0,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.2,4,0,0,0
