image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,kind
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,0.1,通行与连接,3,1,1,1,0,1,0,0,0.0180451230639,,0.0179958424951,0.0179958424951,0.0179958424951,0.0179958424951,-0,-0,1,0,False,3,0,C2-A-RP,2,0,not_supported_multimodal
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,0.1,卧室,3,1,1,1,0,1,0,0,0.0570017219548,,0.065568976242,0.065568976242,0.065568976242,0.065568976242,-0,-0,1,0,False,3,0,C2-A-RP,2,0,not_supported_multimodal
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,0.1,卧室,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,not_supported_multimodal
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,0.1,开放复合空间,5,2,1,0.8,0.2,0.8,0.4,0,0.0499724608918,,0.0626401137484,0.0626401137484,0.0626401137484,0.0626401137484,0.721928094887,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.1,复合／待定,24,1,1,1,0,1,0,0,0.0237532403307,,0.022511757592,0.022511757592,0.022511757592,0.022511757592,-0,-0,1,0,False,24,0,P1,1,0,not_supported_multimodal
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.1,通行与连接,24,7,2,0.791666666667,0.208333333333,0.708333333333,0.235507246377,0.350710900474,0.0285367041843,0.193008944991,0.0227007242427,0.0227007242427,0.0143491656483,0.0495689986325,1.60634298817,0.658351422456,2,1,False,24,0,P1,1,0,different_point_only_multimodal
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,0.1,通行与连接,5,4,1,0.4,0.6,0.4,0.4,0.833333333333,0,0.370790551524,0,0,0,0.340566354372,1.92192809489,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,0.1,开放复合空间,6,5,1,0.333333333333,0.666666666667,0.333333333333,0.6,0.833333333333,0.0871720435997,0.372398623934,0.0871720435997,0.0871720435997,0.0871720435997,0.29368440964,2.25162916739,1,1,0,False,6,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,0.1,开放复合空间,6,3,1,0.666666666667,0.333333333333,0.666666666667,0.6,0,0.016328125738,,0.0177253478985,0.0177253478985,0.0177253478985,0.0177253478985,1.25162916739,1.25162916739,1,0,False,6,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,0.1,开放复合空间,4,1,1,1,0,1,0,0,0,,0,0,0,0,-0,-0,1,0,False,4,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,0.1,通行与连接,5,3,1,0.6,0.4,0.6,0.7,0,0.0676645913109,,0.059708590451,0.059708590451,0.059708590451,0.059708590451,1.37095059445,1.37095059445,1,0,False,5,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,0.1,通行与连接,4,3,1,0.5,0.5,0.5,0.833333333333,0,0,,0,0,0,0,1.5,1.5,1,0,False,4,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,0.1,通行与连接,5,3,1,0.6,0.4,0.6,0.4,0.5,0.0444725678271,0.300868811305,0.0489397819144,0.0489397819144,0.0489397819144,0.171666556658,1.37095059445,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.1,卫浴,5,2,1,0.8,0.2,0.8,0,0.4,0.0624083472846,0.178715732803,0.0498200930069,0.0498200930069,0.0498200930069,0.0910591231823,0.721928094887,-0,1,0,False,5,0,C1,1,0,not_supported_multimodal
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.1,复合／待定,5,2,1,0.8,0.2,0.8,0.4,0,0.051651374592,,0.0499534341062,0.0499534341062,0.0499534341062,0.0499534341062,0.721928094887,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,24,7,5,0.916666666667,0.0833333333333,0.541666666667,0.365942028986,0.52,0.0227372478968,0.148605846538,0.00600367283515,0.0823840309565,0.0425148003767,0.0907383953165,2.1324373408,0.940566239988,2,4,True,24,0,P1,1,0,mixed_point_and_geometry_multimodal
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,通行与连接,24,6,3,0.875,0.125,0.5,0.0833333333333,0.652173913043,0.0383144252945,0.267944705662,0.0352443604896,0.0794073947257,0.0411274762225,0.117198373746,1.89033606476,0.249882292833,1,1,True,24,0,P1,1,0,same_point_only_multimodal
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.1,工作与学习,5,4,1,0.4,0.6,0.4,0.4,0.833333333333,0.0664213357058,0.113489515276,0.0664213357058,0.0664213357058,0.0664213357058,0.106489725455,1.92192809489,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.1,工作与学习,4,2,1,0.75,0.25,0.75,0,0.5,0.000529430084086,0.252141174169,0.000794145126129,0.000794145126129,0.000794145126129,0.126378464749,0.811278124459,-0,1,0,False,4,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,5,1,1,1,0,1,0,0,0.0469036935208,,0.0481958237761,0.0481958237761,0.0481958237761,0.0481958237761,-0,-0,1,0,False,5,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.1,起居与休闲,4,2,1,0.75,0.25,0.75,0.5,0,0.0466805990078,,0.0428401304102,0.0428401304102,0.0428401304102,0.0428401304102,0.811278124459,0.811278124459,1,0,False,4,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,通行与连接,24,8,4,0.833333333333,0.166666666667,0.541666666667,0,0.699275362319,0.00816943544218,0.341574926432,0.000254299981506,0.0945328213567,0.0447582592673,0.235693693691,2.21577067414,-0,1,3,True,24,0,P1,1,0,same_point_only_multimodal
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,通行与连接,23,11,5,0.739130434783,0.260869565217,0.217391304348,0.0869565217391,0.896103896104,0.0470985597408,0.228217726512,0.0410193457332,0.0902451309604,0.0446289553035,0.209626699836,3.14922976152,0.258018668665,1,4,True,24,1,P1,1,0,same_point_only_multimodal
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,通行与连接,6,4,2,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.8,0.0278884200636,0.261896278021,0.0278884200636,0.0296620246809,0.0278884200636,0.26286352262,1.91829583405,0.650022421648,1,0,True,6,0,C1,1,0,same_point_only_multimodal
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.1,通行与连接,4,3,1,0.5,0.5,0.5,0.5,0.666666666667,0.0267439092136,0.11628618058,0.0267439092136,0.0267439092136,0.0267439092136,0.104944865922,1.5,0.811278124459,1,0,False,4,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,通行与连接,24,15,5,0.583333333333,0.416666666667,0.25,0.159420289855,0.918103448276,0.0367569984812,0.386022754157,0.0606399566131,0.0835475578406,0.0547806549702,0.346355599574,3.60538854221,0.413816850304,1,4,True,24,0,P1,1,0,same_point_only_multimodal
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.1,通行与连接,5,3,1,0.6,0.4,0.6,0.7,0,0.0842045325516,,0.0812562313061,0.0812562313061,0.0812562313061,0.0812562313061,1.37095059445,1.37095059445,1,0,False,5,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.1,通行与连接,6,4,1,0.5,0.5,0.5,0,0.8,0.00485499621569,0.294265344375,0.00728249432353,0.00728249432353,0.00728249432353,0.262841002007,1.79248125036,-0,1,0,False,6,0,C1,1,0,not_supported_multimodal
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,5,2,2,1,0,0.6,0,0.6,0.0492805853829,0.196834703328,0.06549650016,0.0661293412115,0.06549650016,0.171176560432,0.970950594455,-0,1,0,True,5,0,C1,1,0,same_point_only_multimodal
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,卫浴,19,8,3,0.736842105263,0.263157894737,0.421052631579,0.105263157895,0.771241830065,0.0538127251618,0.146255375712,0.0527956265025,0.097113490016,0.0691213079614,0.108076976833,2.45845382923,0.297472248919,1,1,True,20,1,C2-B,1,0,same_point_only_multimodal
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,manual,0.1,卫浴,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,not_supported_multimodal
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,0.1,卫浴,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,not_supported_multimodal
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,0.1,复合／待定,3,2,1,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0,0.0243538101763,,0.0243538101763,0.0243538101763,0.0243538101763,0.0243538101763,0.918295834054,0.918295834054,1,0,False,4,1,C2-A-RP,2,0,not_supported_multimodal
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,manual,0.1,通行与连接,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-B,1,0,not_supported_multimodal
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,0.1,卫浴,2,1,1,1,0,1,0,0,0.0676319616488,,0.0676319616488,0.0676319616488,0.0676319616488,0.0676319616488,-0,-0,1,0,False,2,0,C2-B,1,0,not_supported_multimodal
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,20,2,1,0.95,0.05,0.95,0,0.1,0.0368277591163,0.0785447632819,0.0360594464715,0.0360594464715,0.0360594464715,0.0376011871379,0.286396957116,-0,1,0,False,20,0,C2-B,1,0,not_supported_multimodal
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,manual,0.1,卫浴,2,1,1,1,0,1,0,0,0.0686243012273,,0.0686243012273,0.0686243012273,0.0686243012273,0.0686243012273,-0,-0,1,0,False,2,0,C2-B,1,0,not_supported_multimodal
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,manual,0.1,卧室,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,not_supported_multimodal
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,manual,0.1,卫浴,3,1,1,1,0,1,0,0,0.0633933484233,,0.0613472900077,0.0613472900077,0.0613472900077,0.0613472900077,-0,-0,1,0,False,3,0,C2-A-RP;C2-B,2,0,not_supported_multimodal
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.1,复合／待定,4,4,0,0,1,0.25,1,,,,,,,,2,2,0,0,False,5,1,C1,1,0,not_supported_multimodal
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.1,复合／待定,4,3,1,0.5,0.5,0.5,0.833333333333,0,0.00902094649736,,0.00902094649736,0.00902094649736,0.00902094649736,0.00902094649736,1.5,1.5,1,0,False,4,0,C1,1,0,not_supported_multimodal
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,0.1,厨房与用餐,5,2,1,0.8,0.2,0.8,0.4,0,0.0434484265944,,0.0493877253044,0.0493877253044,0.0493877253044,0.0493877253044,0.721928094887,0.721928094887,1,0,False,5,0,C1,1,0,not_supported_multimodal
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,通行与连接,24,9,5,0.833333333333,0.166666666667,0.333333333333,0.663043478261,0.559139784946,0.0211364049715,0.212064342576,0.0165757236051,0.0533910068111,0.0320630591295,0.13511365969,2.77205520887,1.71577067414,4,4,True,24,0,P1,1,0,mixed_point_and_geometry_multimodal
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.1,卫浴,24,8,3,0.791666666667,0.208333333333,0.583333333333,0.235507246377,0.549763033175,0.0454016997919,0.129091063173,0.0490592565359,0.0527088124171,0.0403207641646,0.0841691693751,2.08255181693,0.658351422456,2,2,True,24,0,P1,1,0,mixed_point_and_geometry_multimodal
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.1,卧室,6,4,2,0.666666666667,0.333333333333,0.333333333333,0.8,0.333333333333,0.0241978122244,0.128194333066,0.0241978122244,0.0467829540047,0.0241978122244,0.0467829540047,1.91829583405,1.58496250072,2,0,False,7,1,C1,1,0,different_point_only_multimodal
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,semi,0.1,卧室,4,3,1,0.5,0.5,0.5,0.833333333333,0,0.0339200933769,,0.0339200933769,0.0339200933769,0.0339200933769,0.0339200933769,1.5,1.5,1,0,False,4,0,C1,1,0,not_supported_multimodal
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,0.1,起居与休闲,5,4,1,0.4,0.6,0.4,0.9,0,0.0807933801821,,0.0807933801821,0.0807933801821,0.0807933801821,0.0807933801821,1.92192809489,1.92192809489,1,0,False,5,0,C1,1,0,not_supported_multimodal
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,0.1,卫浴,23,3,1,0.913043478261,0.0869565217391,0.913043478261,0.0869565217391,0.0909090909091,0.0272429559898,0.155212394656,0.023919853283,0.023919853283,0.023919853283,0.0254288688354,0.513185178737,0.258018668665,1,0,False,23,0,C1,1,0,not_supported_multimodal
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.1,卧室,5,2,2,1,0,0.6,0.6,0,0.0414672157133,,0.0440070008921,0.0511403046723,0.0360910552809,0.0440070008921,0.970950594455,0.970950594455,2,0,False,5,0,C1,1,0,different_point_only_multimodal
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,manual,0.1,卫浴,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,not_supported_multimodal
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,manual,0.1,卧室,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,not_supported_multimodal
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,0.1,卫浴,7,3,2,0.857142857143,0.142857142857,0.571428571429,0.666666666667,0,0.0533810002577,,0.0564633984323,0.0565653472616,0.056514372847,0.0564633984323,1.37878349349,1.37878349349,2,0,False,7,0,C2-A-RP;C2-B,3,0,different_point_only_multimodal
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.1,卫浴,19,6,4,0.894736842105,0.105263157895,0.421052631579,0.719298245614,0.166666666667,0.0372988250155,0.107037259863,0.0382801226227,0.0525850640742,0.0418269172731,0.0409992494907,2.16320959374,1.92482406674,4,2,False,20,1,C2-B,1,0,different_point_only_multimodal
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,manual,0.1,卫浴,5,4,1,0.4,0.6,0.4,0.9,0,0.0794784990697,,0.0794784990697,0.0794784990697,0.0794784990697,0.0794784990697,1.92192809489,1.92192809489,1,0,False,5,0,C2-A-RP;C2-B,2,0,not_supported_multimodal
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,manual,0.1,起居与休闲,2,1,1,1,0,1,0,0,0.000921623958422,,0.000921623958422,0.000921623958422,0.000921623958422,0.000921623958422,-0,-0,1,0,False,2,0,C2-B,1,0,not_supported_multimodal
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.1,复合／待定,24,5,2,0.875,0.125,0.791666666667,0.235507246377,0.184834123223,0.0121631411603,0.272650058088,0.00430640097743,0.0343876255339,0.0193470132557,0.0201791916513,1.13868655258,0.658351422456,2,1,False,24,0,P1,1,0,different_point_only_multimodal
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,0.1,厨房与用餐,5,3,2,0.8,0.2,0.4,0.4,0.666666666667,0.0411047156361,0.104282116469,0.0411047156361,0.0822094312721,0.0411047156361,0.0881660508633,1.52192809489,0.721928094887,1,0,True,5,0,C1,1,0,same_point_only_multimodal
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.1,卫浴,24,2,2,1,0,0.75,0,0.391304347826,0.0303729474248,0.0543413994438,0.0275991289816,0.034037773799,0.0305953420796,0.0369651835105,0.811278124459,-0,1,0,True,24,0,P1,1,0,same_point_only_multimodal
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,0.1,卫浴,5,3,1,0.6,0.4,0.6,0.7,0,0.0440182282537,,0.0597743087537,0.0597743087537,0.0597743087537,0.0597743087537,1.37095059445,1.37095059445,1,0,False,5,0,C1,1,0,not_supported_multimodal
